source,leave_one_source_out_auprc,leave_one_source_out_auroc,cosine_auprc,cosine_auroc,name,source_order,delta_auprc,delta_auroc
dgidb,0.5449939071066665,0.8371082,0.1975768175296858,0.5495238314814815,DGIdb,2,0.3474170895769807,0.28758436851851843
drugrep,0.559856388589262,0.8544000777777777,0.18867058567578865,0.5361846814814815,DrugRep,3,0.37118580291347336,0.31821539629629625
hetionet,0.4523733884248376,0.780161374074074,0.1870091753864819,0.5322477555555555,Hetionet,4,0.26536421303835567,0.24791361851851856
openbiolink,0.4211910784569659,0.7678012814814815,0.1867731893127832,0.5339822481481481,OpenBioLink,5,0.2344178891441827,0.23381903333333343
pharmebinet,0.4287803177258119,0.7670446000000001,0.18449762537326567,0.5260523055555556,PharMeBINet,6,0.2442826923525462,0.24099229444444448
