setting,metric,summary_type,mean,sd,random_ranking_mean,random_ranking_sd
CGP-Align,Mean Top-1,Mean,0.20469163749820932,0.00916894638784287,0.029899658268587818,2.096155743076459e-05
CGP-Align,HMean Top-1,HMean,0.15206142164382616,0.010623821179927499,0.016522683773118718,1.9057387902383285e-06
CGP-Align,Mean Top-10,Mean,0.5805615262898501,0.009098552366771182,0.2523374878660239,0.00010158190007200516
CGP-Align,HMean Top-10,HMean,0.5256013933373456,0.011480738770506278,0.1591696742008449,1.448592406084646e-05
