source,name,leave_one_source_out_auprc,leave_one_source_out_auroc,cosine_auprc,cosine_auroc,delta_auprc,delta_auroc,source_order
dgidb,DGIdb,0.5570280975217073,0.8526155703703704,0.211255136665986,0.5604461037037036,0.34577296085572135,0.2921694666666667,2
drugrep,DrugRep,0.5818462222019046,0.8696119037037037,0.20141953656875772,0.5465922740740741,0.38042668563314697,0.3230196296296296,3
hetionet,Hetionet,0.47010031435962735,0.7913765962962962,0.18220078588249972,0.5249681333333334,0.28789952847712763,0.26640846296296294,4
openbiolink,OpenBioLink,0.43810436212737813,0.7862218740740741,0.1901393567163165,0.5393715722222223,0.24796500541106165,0.2468503018518518,5
pharmebinet,PharMeBINet,0.4438351399358277,0.779672348148148,0.18073798710186595,0.5237110277777778,0.26309715283396173,0.2559613203703703,6
