Method,Benchmark group,independent_run,metrics_path,compound_top10_1to100,compound_top10_1to1000,gene_top10_1to100,gene_top10_1to1000,overall_top10_1to100,overall_top10_1to1000,checkpoint_epoch,best_score,Design
CGP-Align,ablation,13,supplementary_ablation_run_1_metrics.json,0.7097668393782383,0.2960708117443869,0.47911051212938005,0.10372866127583111,0.5944386757538092,0.199899736510109,35,0.5804728635074929,3 adapters: compound / ORF / CRISPR
CGP-Align,ablation,17,supplementary_ablation_run_2_metrics.json,0.7179792746113989,0.30845423143350603,0.4766846361185984,0.10431266846361187,0.5973319553649986,0.20638344994855895,45,0.5831689333587511,3 adapters: compound / ORF / CRISPR
CGP-Align,ablation,23,supplementary_ablation_run_3_metrics.json,0.706139896373057,0.29466321243523314,0.47322551662174306,0.10660377358490566,0.5896827064974,0.20063349301006939,35,0.575770261427477,3 adapters: compound / ORF / CRISPR
Source-free control,ablation,13,supplementary_ablation_run_4_metrics.json,0.6912262521588947,0.28642487046632126,0.47394429469901167,0.10494159928122192,0.5825852734289532,0.1956832348737716,70,0.5609378757737672,"shared profile encoder, no source adapters"
Source-free control,ablation,17,supplementary_ablation_run_5_metrics.json,0.6843868739205526,0.28151122625215885,0.4736298292902066,0.10422282120395326,0.5790083516053797,0.19286702372805606,55,0.5694672659399286,"shared profile encoder, no source adapters"
Source-free control,ablation,23,supplementary_ablation_run_6_metrics.json,0.6954058721934369,0.29087219343696025,0.4700359389038634,0.10274034141958671,0.5827209055486502,0.19680626742827348,70,0.5693506115505349,"shared profile encoder, no source adapters"
"2 adapters, compound-favored",ablation,13,supplementary_ablation_run_7_metrics.json,0.719412780656304,0.3107167530224525,0.4717430368373765,0.09797843665768194,0.5955779087468402,0.2043475948400672,50,0.5724551862203802,2 adapters: compound / gene perturbation
"2 adapters, compound-favored",ablation,17,supplementary_ablation_run_8_metrics.json,0.7081347150259067,0.2960103626943005,0.4716082659478886,0.10435759209344114,0.5898714904868977,0.2001839773938708,35,0.5741985453960119,2 adapters: compound / gene perturbation
"2 adapters, compound-favored",ablation,23,supplementary_ablation_run_9_metrics.json,0.7169430051813472,0.3079533678756477,0.4717879604672057,0.10247079964061095,0.5943654828242765,0.20521208375812933,45,0.5746612516576397,2 adapters: compound / gene perturbation
