dataset,modality,mean_abs_mean,median_std,num_fit_rows,num_apply_rows
Compound,Compound,0.025689352303743362,0.9736218452453613,520557,649876
Gene,CRISPR,0.09258726239204407,1.7776036262512207,34690,43138
Gene,ORF,0.08207487314939499,1.813047170639038,60775,76050
