method,num_pairs,mean_prism_response_corr,median_shared_top50_genes,mean_shared_top50_genes,mean_shared_gene_jaccard,mean_shared_gene_neglog10p,fraction_with_category_hit,mean_unique_categories,fraction_with_known_target_hit
CGP-Align,1032,0.3886575788375019,17.0,16.924418604651162,0.21654385835662793,27.127383324360036,0.939922480620155,2.074612403100775,0.0048449612403100775
RDKit2D,632,0.38777951302030417,10.0,11.639240506329115,0.14580783083430895,17.82964125627016,0.7895569620253164,1.4984177215189873,0.0031645569620253164
NYAN,621,0.3902246750495284,10.0,10.879227053140097,0.13532713689558443,16.475060074646287,0.748792270531401,1.3687600644122384,0.001610305958132045
Morgan,454,0.38537055076744064,9.0,10.808370044052863,0.13483056354747372,16.425591773765696,0.751101321585903,1.407488986784141,0.00881057268722467
AtomPair,635,0.3814062752592282,10.0,11.281889763779528,0.14088887388071406,17.17381396570288,0.7905511811023622,1.4740157480314962,0.0015748031496062992
Avalon,557,0.38535829356585627,8.0,9.635547576301615,0.11936363331276897,14.439752872927714,0.7073608617594255,1.2567324955116697,0.003590664272890485
Random,344,0.37942555295520053,4.0,6.305232558139535,0.07522553817599871,8.691718913257906,0.6366279069767442,1.0087209302325582,0.0029069767441860465
