dataset,factor,groups,max_r2,mean_r2,median_r2,p90_r2
Compound,entity,115786,0.4718118524009251,0.30720507734181424,0.3077713065116079,0.3444782366680248
Compound,plate,1668,0.0027330554319375646,0.0010975787932363946,0.001002771380577707,0.0016790912402861668
Compound,well,1526,0.005755427418178958,0.0027262778699365456,0.00260147895025164,0.003949707743462444
Gene,entity,23100,0.6463346228833767,0.43365224420204596,0.4284968882629173,0.5138349172118519
Gene,plate,366,0.0015454300580149873,0.0007620102951337937,0.0007677115800912104,0.0008661106875210872
Gene,well,380,0.00290103591300256,0.001853270555479347,0.0018576218414541527,0.002227859753607142
