display,representation,n_task,mean_auprc,sd_endpoint_auprc,mean_auroc,sd_endpoint_auroc
CGP-Align,CGP-Align,5,0.4818363338054724,0.16189318007845238,0.8494243341438855,0.03852889487822918
RDKit2D,RDKit2D,5,0.43081792422788234,0.1727876648727516,0.8376519396736729,0.0412648213912958
NYAN,NYAN_latent,5,0.3806013317144537,0.16176237590959025,0.8010992127957944,0.04398384778363213
AtomPair,AtomPair2048,5,0.3784955584729099,0.15993225605129735,0.7900126279621459,0.04862212681894142
Avalon,Avalon1024,5,0.35885575994866736,0.1458630731983878,0.7818815450637281,0.04411226483190991
Morgan,Morgan2048,5,0.35531108011812595,0.13236351243858718,0.791366788089086,0.0277617969713479
