query_name,query_moa,retrieved_name,retrieved_moa,rank,prism_response_corr,morgan_tanimoto,method_score,query_inchikey,retrieved_inchikey
NMS-E973,HSP inhibitor,dovitinib,"EGFR inhibitor, FGFR inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",1,0.4235435426235199,0.13861386477947235,0.7927103638648987,YLQODGGPIHWTHR-UHFFFAOYSA-N,PIQCTGMSNWUMAF-UHFFFAOYSA-N
TAS-103,topoisomerase inhibitor,NMS-1286937,PLK inhibitor,1,0.40584930777549744,0.11214952915906906,0.8706697225570679,ROWSTIYZUWEOMM-UHFFFAOYSA-N,QHLVBNKYJGBCQJ-UHFFFAOYSA-N
cetrimonium,,NH125,eukaryotic translation elongation factor 2 inhibitor,1,0.402028352022171,0.190476194024086,0.9211357235908508,RLGQACBPNDBWTB-UHFFFAOYSA-N,ZZXUNAFAKNKXFW-UHFFFAOYSA-N
NH125,eukaryotic translation elongation factor 2 inhibitor,cetrimonium,,1,0.402028352022171,0.190476194024086,0.9211357235908508,ZZXUNAFAKNKXFW-UHFFFAOYSA-N,RLGQACBPNDBWTB-UHFFFAOYSA-N
GSK1292263,glucose dependent insulinotropic receptor agonist,EVP4593,NFkB pathway inhibitor,1,0.40027984976768494,0.10638298094272614,0.638658344745636,AYJRTVVIBJSSKN-UHFFFAOYSA-N,IBAKVEUZKHOWNG-UHFFFAOYSA-N
JNJ-7706621,CDK inhibitor,defactinib,focal adhesion kinase inhibitor,1,0.3966182470321655,0.19565217196941376,0.7374606728553772,KDKUVYLMPJIGKA-UHFFFAOYSA-N,FWLMVFUGMHIOAA-UHFFFAOYSA-N
TW-37,BCL inhibitor,gossypol,"BCL inhibitor, MCL1 inhibitor",1,0.38936808705329895,0.15584415197372437,0.8417125344276428,PQAPVTKIEGUPRN-UHFFFAOYSA-N,QBKSWRVVCFFDOT-UHFFFAOYSA-N
gossypol,"BCL inhibitor, MCL1 inhibitor",TW-37,BCL inhibitor,1,0.38936808705329895,0.15584415197372437,0.8417125344276428,QBKSWRVVCFFDOT-UHFFFAOYSA-N,PQAPVTKIEGUPRN-UHFFFAOYSA-N
TG-101348,"FLT3 inhibitor, JAK inhibitor",GSK1070916,Aurora kinase inhibitor,1,0.3864699602127075,0.11965811997652054,0.9416683912277222,JOOXLOJCABQBSG-UHFFFAOYSA-N,QTBWCSQGBMPECM-UHFFFAOYSA-N
GSK1070916,Aurora kinase inhibitor,TG-101348,"FLT3 inhibitor, JAK inhibitor",1,0.3864699602127075,0.11965811997652054,0.9416683912277222,QTBWCSQGBMPECM-UHFFFAOYSA-N,JOOXLOJCABQBSG-UHFFFAOYSA-N
mocetinostat,HDAC inhibitor,CYC116,Aurora kinase inhibitor,1,0.3835877478122711,0.1666666716337204,0.8044436573982239,HRNLUBSXIHFDHP-UHFFFAOYSA-N,GPSZYOIFQZPWEJ-UHFFFAOYSA-N
napabucasin,STAT inhibitor,YM-155,survivin inhibitor,1,0.38283538818359375,0.1818181872367859,0.8694359660148621,DPHUWDIXHNQOSY-UHFFFAOYSA-N,OTSOOHRUMBRSHZ-UHFFFAOYSA-N
YM-155,survivin inhibitor,napabucasin,STAT inhibitor,1,0.38283538818359375,0.1818181872367859,0.8694359660148621,OTSOOHRUMBRSHZ-UHFFFAOYSA-N,DPHUWDIXHNQOSY-UHFFFAOYSA-N
EVP4593,NFkB pathway inhibitor,dapivirine,non-nucleoside reverse transcriptase inhibitor,1,0.37347087264060974,0.08974359184503555,0.8069490790367126,IBAKVEUZKHOWNG-UHFFFAOYSA-N,ILAYIAGXTHKHNT-UHFFFAOYSA-N
IKK-2-inhibitor-V,"IKK inhibitor, NFkB pathway inhibitor",SB-225002,CC chemokine receptor antagonist,1,0.3708348572254181,0.1803278625011444,0.8488600850105286,CHILCFMQWMQVAL-UHFFFAOYSA-N,MQBZVUNNWUIPMK-UHFFFAOYSA-N
SB-225002,CC chemokine receptor antagonist,IKK-2-inhibitor-V,"IKK inhibitor, NFkB pathway inhibitor",1,0.3708348572254181,0.1803278625011444,0.8488600850105286,MQBZVUNNWUIPMK-UHFFFAOYSA-N,CHILCFMQWMQVAL-UHFFFAOYSA-N
erdafitinib,FGFR inhibitor,PD-173074,"FGFR inhibitor, VEGFR inhibitor",1,0.3704759180545807,0.17475728690624237,0.9145894646644592,OLAHOMJCDNXHFI-UHFFFAOYSA-N,DXCUKNQANPLTEJ-UHFFFAOYSA-N
PHA-793887,CDK inhibitor,AT-7519,CDK inhibitor,1,0.3676287829875946,0.1325301229953766,0.7769970893859863,HUXYBQXJVXOMKX-UHFFFAOYSA-N,OVPNQJVDAFNBDN-UHFFFAOYSA-N
erlotinib,EGFR inhibitor,taselisib,PI3K inhibitor,1,0.3647175431251526,0.056603774428367615,0.8841220140457153,AAKJLRGGTJKAMG-UHFFFAOYSA-N,BEUQXVWXFDOSAQ-UHFFFAOYSA-N
AP26113,ALK tyrosine kinase receptor inhibitor,TAK-901,Aurora kinase inhibitor,1,0.3618382215499878,0.12931033968925476,0.9237192273139954,OVDSPTSBIQCAIN-UHFFFAOYSA-N,WKDACQVEJIVHMZ-UHFFFAOYSA-N
ethacridine-lactate-monohydrate,DNA intercalating agent,proflavine-hemisulfate,topical anesthetic,1,0.36168232560157776,0.19565217196941376,0.8877005577087402,CIKWKGFPFXJVGW-UHFFFAOYSA-N,WDVSHHCDHLJJJR-UHFFFAOYSA-N
proflavine-hemisulfate,topical anesthetic,ethacridine-lactate-monohydrate,DNA intercalating agent,1,0.36168232560157776,0.19565217196941376,0.8877005577087402,WDVSHHCDHLJJJR-UHFFFAOYSA-N,CIKWKGFPFXJVGW-UHFFFAOYSA-N
PHA-848125,"CDK inhibitor, growth factor receptor inhibitor",GSK1070916,Aurora kinase inhibitor,1,0.36163753271102905,0.13513512909412384,0.9367431402206421,RXZMYLDMFYNEIM-UHFFFAOYSA-N,QTBWCSQGBMPECM-UHFFFAOYSA-N
CYC116,Aurora kinase inhibitor,PP242,mTOR inhibitor,1,0.35219767689704895,0.13953489065170288,0.861008882522583,GPSZYOIFQZPWEJ-UHFFFAOYSA-N,MFAQYJIYDMLAIM-UHFFFAOYSA-N
octenidine,membrane integrity inhibitor,pentamidine,anti-pneumocystis agent,1,0.3510221242904663,0.1304347813129425,0.768278956413269,ZVXNYZWXUADSRV-UHFFFAOYSA-N,XDRYMKDFEDOLFX-UHFFFAOYSA-N
CCT129202,Aurora kinase inhibitor,R406,SYK inhibitor,1,0.3492100238800049,0.1160714253783226,0.8550320267677307,QYKHWEFPFAGNEV-UHFFFAOYSA-N,NHHQJBCNYHBUSI-UHFFFAOYSA-N
AVL-292,Bruton's tyrosine kinase (BTK) inhibitor,R406,SYK inhibitor,1,0.3490830957889557,0.1881188154220581,0.9146739840507507,KXBDTLQSDKGAEB-UHFFFAOYSA-N,NHHQJBCNYHBUSI-UHFFFAOYSA-N
aurora-a-inhibitor-i,Aurora kinase inhibitor,MK-1775,WEE1 kinase inhibitor,1,0.338108628988266,0.18421052396297455,0.9101042747497559,AKSIZPIFQAYJGF-UHFFFAOYSA-N,BKWJAKQVGHWELA-UHFFFAOYSA-N
NVP-TAE684,ALK tyrosine kinase receptor inhibitor,ribociclib,CDK inhibitor,1,0.32818883657455444,0.1875,0.9174391031265259,QQWUGDVOUVUTOY-UHFFFAOYSA-N,RHXHGRAEPCAFML-UHFFFAOYSA-N
BI-78D3,JNK inhibitor,stattic,,1,0.31672364473342896,0.15942029654979706,0.8373884558677673,QFRLDZGQEZCCJZ-UHFFFAOYSA-N,ZRRGOUHITGRLBA-UHFFFAOYSA-N
