epoch,component,loss
46,Compound-profile,4.365775067465646
46,ORF-profile,4.7471700940813335
46,CRISPR-profile,3.9261571884155275
47,Alignment objective,8.659853097370693
47,Compound-profile,4.345136703763689
47,ORF-profile,4.740540606634958
47,CRISPR-profile,3.888892214638846
48,Alignment objective,8.672330931254795
48,Compound-profile,4.344088983535767
48,ORF-profile,4.729155383791242
48,CRISPR-profile,3.927328487804958
49,Alignment objective,8.662964160101755
49,Compound-profile,4.346471071243286
49,ORF-profile,4.713328783852713
49,CRISPR-profile,3.9196574108941213
50,Alignment objective,8.624398606164114
50,Compound-profile,4.3360580103737965
50,ORF-profile,4.71984394618443
50,CRISPR-profile,3.8568372385842458
51,Alignment objective,8.615884154183524
51,Compound-profile,4.336586107526506
51,ORF-profile,4.664336599622454
51,CRISPR-profile,3.8942594562258037
52,Alignment objective,8.590314163480485
52,Compound-profile,4.318161419459751
52,ORF-profile,4.680755063465663
52,CRISPR-profile,3.863550363268171
53,Alignment objective,8.61708906718663
53,Compound-profile,4.336061443601336
53,ORF-profile,4.678900841304234
53,CRISPR-profile,3.883154399054391
54,Alignment objective,8.563910647800991
54,Compound-profile,4.30498286655971
54,ORF-profile,4.680999306270055
54,CRISPR-profile,3.8368562153407506
55,Alignment objective,8.559412663323538
55,Compound-profile,4.3120055607387
55,ORF-profile,4.6931760787963865
55,CRISPR-profile,3.8016381434031894
56,Alignment objective,8.543367276872907
56,Compound-profile,4.297057499204363
56,ORF-profile,4.663601507459368
56,CRISPR-profile,3.8290180751255583
57,Alignment objective,8.505836520876203
57,Compound-profile,4.288611030578613
57,ORF-profile,4.647977106911796
57,CRISPR-profile,3.7864739418029787
58,Alignment objective,8.50134710584368
58,Compound-profile,4.288895300456455
58,ORF-profile,4.62107116154262
58,CRISPR-profile,3.8038325003215245
59,Alignment objective,8.52421988078526
59,Compound-profile,4.303235476357596
59,ORF-profile,4.652908509118216
59,CRISPR-profile,3.789060265677316
60,Alignment objective,8.500831644875664
60,Compound-profile,4.292879554203578
60,ORF-profile,4.6519033772604805
60,CRISPR-profile,3.7640008177076067
61,Alignment objective,8.483774968555995
61,Compound-profile,4.299068655286517
61,ORF-profile,4.617141594205584
61,CRISPR-profile,3.7522710187094552
62,Alignment objective,8.475457954406739
62,Compound-profile,4.294291693823678
62,ORF-profile,4.626545476913452
62,CRISPR-profile,3.735787149838039
63,Alignment objective,8.462213724000113
63,Compound-profile,4.28188739504133
63,ORF-profile,4.615415968213763
63,CRISPR-profile,3.7452366828918455
64,Alignment objective,8.43904140336173
64,Compound-profile,4.271412202290127
64,ORF-profile,4.603200401578631
64,CRISPR-profile,3.732057966504778
65,Alignment objective,8.421612974575588
65,Compound-profile,4.265576205934797
65,ORF-profile,4.604738167354038
65,CRISPR-profile,3.7073354039873396
66,Alignment objective,8.406344778197152
66,Compound-profile,4.268679223741803
66,ORF-profile,4.610085739408221
66,CRISPR-profile,3.66524532863072
67,Alignment objective,8.379716219220843
67,Compound-profile,4.253606578281947
67,ORF-profile,4.590217202050345
67,CRISPR-profile,3.662002042361668
68,Alignment objective,8.353228572436741
68,Compound-profile,4.242301443644933
68,ORF-profile,4.546829066957746
68,CRISPR-profile,3.6750251599720545
69,Alignment objective,8.362123703956605
69,Compound-profile,4.239116947991508
69,ORF-profile,4.569933462142944
69,CRISPR-profile,3.6760800634111677
70,Alignment objective,8.345996962274825
70,Compound-profile,4.241745601381575
70,ORF-profile,4.563721990585327
70,CRISPR-profile,3.644780785696847
71,Alignment objective,8.366009657723563
71,Compound-profile,4.2575351510729105
71,ORF-profile,4.567303739275251
71,CRISPR-profile,3.649645291055952
72,Alignment objective,8.330680431638445
72,Compound-profile,4.2341674736567905
72,ORF-profile,4.548969786507743
72,CRISPR-profile,3.644056132861546
73,Alignment objective,8.33412536552974
73,Compound-profile,4.241490370886666
73,ORF-profile,4.548176043374198
73,CRISPR-profile,3.6370939697538103
74,Alignment objective,8.29322954245976
74,Compound-profile,4.222544356754848
74,ORF-profile,4.513644198008946
74,CRISPR-profile,3.6277261631829396
75,Alignment objective,8.29913364819118
75,Compound-profile,4.232325472150531
75,ORF-profile,4.5315200669424875
75,CRISPR-profile,3.602096257890974
76,Alignment objective,8.284202517781939
76,Compound-profile,4.228170258658273
76,ORF-profile,4.510684081486294
76,CRISPR-profile,3.601380395889282
77,Alignment objective,8.274308606556485
77,Compound-profile,4.212595122201102
77,ORF-profile,4.509493827819824
77,CRISPR-profile,3.6139331545148576
78,Alignment objective,8.251508964811052
78,Compound-profile,4.220779364449637
78,ORF-profile,4.516434485571725
78,CRISPR-profile,3.545024745804923
79,Alignment objective,8.24671917302268
79,Compound-profile,4.215219974517822
79,ORF-profile,4.495268651417324
79,CRISPR-profile,3.5677297251565117
80,Alignment objective,8.231686455862864
80,Compound-profile,4.191398617199489
80,ORF-profile,4.492556013379779
80,CRISPR-profile,3.588019732066563
81,Alignment objective,8.199039571625846
81,Compound-profile,4.196966327939715
81,ORF-profile,4.472715479987008
81,CRISPR-profile,3.5314310107912337
82,Alignment objective,8.208412095478604
82,Compound-profile,4.205729287011283
82,ORF-profile,4.4769741126469205
82,CRISPR-profile,3.52839150088174
83,Alignment objective,8.220245194435119
83,Compound-profile,4.2241335936955045
83,ORF-profile,4.454791491372244
83,CRISPR-profile,3.5374317339488437
84,Alignment objective,8.175542569160461
84,Compound-profile,4.209018233844212
84,ORF-profile,4.46934906414577
84,CRISPR-profile,3.463699640546526
85,Alignment objective,8.181054500171117
85,Compound-profile,4.202676555088588
85,ORF-profile,4.46232100895473
85,CRISPR-profile,3.4944349186761037
86,Alignment objective,8.16678751536778
86,Compound-profile,4.189314562933785
86,ORF-profile,4.462787226268223
86,CRISPR-profile,3.492158654757908
87,Alignment objective,8.158320103372846
87,Compound-profile,4.19561322416578
87,ORF-profile,4.4411180973052975
87,CRISPR-profile,3.4842956372669764
88,Alignment objective,8.159596337590898
88,Compound-profile,4.195192388125828
88,ORF-profile,4.434549556459699
88,CRISPR-profile,3.4942583663122995
89,Alignment objective,8.162141353743417
89,Compound-profile,4.20359788622175
89,ORF-profile,4.448392541067941
89,CRISPR-profile,3.4686943803514754
90,Alignment objective,8.114369569505964
90,Compound-profile,4.179843868528094
90,ORF-profile,4.427998774392265
90,CRISPR-profile,3.4410526377814157
91,Alignment objective,8.11736343588148
91,Compound-profile,4.189500451087952
91,ORF-profile,4.433786487579345
91,CRISPR-profile,3.4219394751957486
92,Alignment objective,8.077132671219962
92,Compound-profile,4.168009400367737
92,ORF-profile,4.419615541185651
92,CRISPR-profile,3.39863099030086
93,Alignment objective,8.071652262551444
93,Compound-profile,4.149724667412894
93,ORF-profile,4.4101474012647355
93,CRISPR-profile,3.4337077958243234
94,Alignment objective,8.119910897527422
94,Compound-profile,4.186680289677211
94,ORF-profile,4.429649571010045
94,CRISPR-profile,3.4368116208485193
95,Alignment objective,8.08261570930481
95,Compound-profile,4.172233118329729
95,ORF-profile,4.406457192557198
95,CRISPR-profile,3.4143079723630634
96,Alignment objective,8.046228647232056
96,Compound-profile,4.168708235876901
96,ORF-profile,4.374930940355573
96,CRISPR-profile,3.380109872136797
97,Alignment objective,8.068017373766217
97,Compound-profile,4.188320084980556
97,ORF-profile,4.3914472716195245
97,CRISPR-profile,3.3679473195757184
98,Alignment objective,8.035730607169015
98,Compound-profile,4.1584818703787665
98,ORF-profile,4.3716970103127615
98,CRISPR-profile,3.3828004223959787
99,Alignment objective,8.05644062587193
99,Compound-profile,4.174368354252406
99,ORF-profile,4.3740508215768
99,CRISPR-profile,3.3900937148502894
100,Alignment objective,8.026656668526787
100,Compound-profile,4.159638118743897
100,ORF-profile,4.360050862176077
100,CRISPR-profile,3.3739862510136196
101,Alignment objective,7.977936387062073
101,Compound-profile,4.1423211744853425
101,ORF-profile,4.345847225189209
101,CRISPR-profile,3.3253831897463115
102,Alignment objective,7.962625619343349
102,Compound-profile,4.133823387963432
102,ORF-profile,4.333167403084891
102,CRISPR-profile,3.324437025615147
103,Alignment objective,7.999188719476972
103,Compound-profile,4.152504757472447
103,ORF-profile,4.37859320640564
103,CRISPR-profile,3.3147747039794924
104,Alignment objective,7.943432242529733
104,Compound-profile,4.1181730474744525
104,ORF-profile,4.309413875852313
104,CRISPR-profile,3.3411045006343296
105,Alignment objective,7.9570094006402154
105,Compound-profile,4.1390431676592145
105,ORF-profile,4.328747626713344
105,CRISPR-profile,3.3071848256247383
106,Alignment objective,7.952573803492955
106,Compound-profile,4.147980189323425
106,ORF-profile,4.325149202346802
106,CRISPR-profile,3.284038015774318
107,Alignment objective,7.9520035028457645
107,Compound-profile,4.143911835125515
107,ORF-profile,4.314816270555768
107,CRISPR-profile,3.3013670853206087
108,Alignment objective,7.949852102143423
108,Compound-profile,4.144913680212838
108,ORF-profile,4.31703474181039
108,CRISPR-profile,3.2928420850208826
109,Alignment objective,7.942315530776977
109,Compound-profile,4.1338935545512605
109,ORF-profile,4.289684649876186
109,CRISPR-profile,3.327159295763288
110,Alignment objective,7.936986875534058
110,Compound-profile,4.131934520176479
110,ORF-profile,4.326397044318063
110,CRISPR-profile,3.283707662991115
111,Alignment objective,7.923191230637687
111,Compound-profile,4.136231684684754
111,ORF-profile,4.301458747046334
111,CRISPR-profile,3.2724603618894306
112,Alignment objective,7.909319414411273
112,Compound-profile,4.13660068171365
112,ORF-profile,4.288570914949689
112,CRISPR-profile,3.256866536821638
113,Alignment objective,7.877411385944911
113,Compound-profile,4.1279160703931534
113,ORF-profile,4.2824555601392476
113,CRISPR-profile,3.2165350607463292
114,Alignment objective,7.8872582026890345
114,Compound-profile,4.132310584613255
114,ORF-profile,4.273541361945016
114,CRISPR-profile,3.2363538537706646
115,Alignment objective,7.84164525781359
115,Compound-profile,4.10330137525286
115,ORF-profile,4.258942140851702
115,CRISPR-profile,3.2177456447056363
116,Alignment objective,7.85921881198883
116,Compound-profile,4.118408840043204
116,ORF-profile,4.249095688547407
116,CRISPR-profile,3.232524265561785
117,Alignment objective,7.844839515004839
117,Compound-profile,4.1190265314919605
117,ORF-profile,4.274718257359096
117,CRISPR-profile,3.176907706260681
118,Alignment objective,7.848156806400844
118,Compound-profile,4.10399625982557
118,ORF-profile,4.276419469288418
118,CRISPR-profile,3.2119016204561506
119,Alignment objective,7.8336446659905565
119,Compound-profile,4.104936586107526
119,ORF-profile,4.258699124200003
119,CRISPR-profile,3.198717018536159
120,Alignment objective,7.805893526758466
120,Compound-profile,4.09798892225538
120,ORF-profile,4.2069923809596474
120,CRISPR-profile,3.2088168348584856
121,Alignment objective,7.804219044957842
121,Compound-profile,4.108982426779611
121,ORF-profile,4.246711533410209
121,CRISPR-profile,3.143761726788112
122,Alignment objective,7.824132125718253
122,Compound-profile,4.114642017228263
122,ORF-profile,4.228453009469169
122,CRISPR-profile,3.190527221134731
123,Alignment objective,7.779648361887251
123,Compound-profile,4.099638673237392
123,ORF-profile,4.204666539600917
123,CRISPR-profile,3.155352847916739
124,Alignment objective,7.770097248894828
124,Compound-profile,4.094681201662336
124,ORF-profile,4.224997527258736
124,CRISPR-profile,3.125834584236145
125,Alignment objective,7.755938676425389
125,Compound-profile,4.094511144501823
125,ORF-profile,4.225376009941101
125,CRISPR-profile,3.097479043688093
126,Alignment objective,7.753309086390903
126,Compound-profile,4.091595537321908
126,ORF-profile,4.198787137440273
126,CRISPR-profile,3.1246399572917394
127,Alignment objective,7.7533196278980805
127,Compound-profile,4.083558702468872
127,ORF-profile,4.231657913752964
127,CRISPR-profile,3.1078639336994716
128,Alignment objective,7.735206368991307
128,Compound-profile,4.076096255438668
128,ORF-profile,4.188534082685198
128,CRISPR-profile,3.1296861103602818
129,Alignment objective,7.764751485415868
129,Compound-profile,4.098518119539533
129,ORF-profile,4.1981011492865425
129,CRISPR-profile,3.134365575654166
130,Alignment objective,7.73700897693634
130,Compound-profile,4.091767256600516
130,ORF-profile,4.218419064794268
130,CRISPR-profile,3.07206438268934
131,Alignment objective,7.746596877915518
131,Compound-profile,4.095224472454616
131,ORF-profile,4.210085671288627
131,CRISPR-profile,3.092659136227199
132,Alignment objective,7.6981213092803955
132,Compound-profile,4.068685191018241
132,ORF-profile,4.18612642628806
132,CRISPR-profile,3.07274580342429
133,Alignment objective,7.7080442326409475
133,Compound-profile,4.090893908909389
133,ORF-profile,4.1519050768443515
133,CRISPR-profile,3.082395567212786
134,Alignment objective,7.7289668730327055
134,Compound-profile,4.08792427607945
134,ORF-profile,4.186627510615757
134,CRISPR-profile,3.0954576969146728
135,Alignment objective,7.689913620267595
135,Compound-profile,4.070481559208461
135,ORF-profile,4.194243570736476
135,CRISPR-profile,3.0446205275399345
136,Alignment objective,7.708124991825649
136,Compound-profile,4.084958004951477
136,ORF-profile,4.196916423525129
136,CRISPR-profile,3.049417540005275
137,Alignment objective,7.6821923937116345
137,Compound-profile,4.080511181695121
137,ORF-profile,4.149602157729013
137,CRISPR-profile,3.0537602594920568
138,Alignment objective,7.645936989784241
138,Compound-profile,4.067599647385734
138,ORF-profile,4.130487077576774
138,CRISPR-profile,3.0261876276561193
139,Alignment objective,7.6621653863361905
139,Compound-profile,4.07187419959477
139,ORF-profile,4.114280441829137
139,CRISPR-profile,3.066301928247724
140,Alignment objective,7.688731810024807
140,Compound-profile,4.099888593809945
140,ORF-profile,4.142503166198731
140,CRISPR-profile,3.035183269636972
141,Alignment objective,7.6232399599892755
141,Compound-profile,4.059978263718741
141,ORF-profile,4.1283564976283484
141,CRISPR-profile,2.9981668881007604
142,Alignment objective,7.646842929295131
142,Compound-profile,4.083416897909982
142,ORF-profile,4.114357474872044
142,CRISPR-profile,3.0124945981161937
143,Alignment objective,7.628324484825134
143,Compound-profile,4.060354195322309
143,ORF-profile,4.117430969646999
143,CRISPR-profile,3.0185095855167936
144,Alignment objective,7.611763640812464
144,Compound-profile,4.0566857814788815
144,ORF-profile,4.10583290372576
144,CRISPR-profile,3.004322814941406
145,Alignment objective,7.6211394105638774
145,Compound-profile,4.061850105013166
145,ORF-profile,4.123497530392238
145,CRISPR-profile,2.9950810534613472
146,Alignment objective,7.608754682540893
146,Compound-profile,4.07261552129473
146,ORF-profile,4.106104700905936
146,CRISPR-profile,2.9661736147744313
147,Alignment objective,7.5899968453816005
147,Compound-profile,4.061696883610317
147,ORF-profile,4.103544528143747
147,CRISPR-profile,2.95305540561676
148,Alignment objective,7.611713576316834
148,Compound-profile,4.071356054714748
148,ORF-profile,4.096498012542725
148,CRISPR-profile,2.9842170340674263
149,Alignment objective,7.572393863541739
149,Compound-profile,4.063682464190892
149,ORF-profile,4.110865599768502
149,CRISPR-profile,2.906557209151132
150,Alignment objective,7.572099379130772
150,Compound-profile,4.04823750768389
150,ORF-profile,4.091828891209194
150,CRISPR-profile,2.955894865308489
151,Alignment objective,7.591876394408089
151,Compound-profile,4.0780453852244785
151,ORF-profile,4.0885217019489835
151,CRISPR-profile,2.9391403164182393
152,Alignment objective,7.57009858403887
152,Compound-profile,4.0674893651689805
152,ORF-profile,4.071544292994908
152,CRISPR-profile,2.9336741311209544
153,Alignment objective,7.552308624131339
153,Compound-profile,4.043867911611285
153,ORF-profile,4.073120267050607
153,CRISPR-profile,2.9437611750194006
154,Alignment objective,7.520123662267412
154,Compound-profile,4.056152609416417
154,ORF-profile,4.052353736332485
154,CRISPR-profile,2.8755883625575476
155,Alignment objective,7.538184492928641
155,Compound-profile,4.05497385433742
155,ORF-profile,4.063275527954102
155,CRISPR-profile,2.9031457764761788
156,Alignment objective,7.518952124459403
156,Compound-profile,4.048252480370658
156,ORF-profile,4.040525347845895
156,CRISPR-profile,2.900873919895717
157,Alignment objective,7.52849543435233
157,Compound-profile,4.060097581999642
157,ORF-profile,4.058768020357404
157,CRISPR-profile,2.87802768434797
158,Alignment objective,7.49048593044281
158,Compound-profile,4.040265754290989
158,ORF-profile,4.045740556716919
158,CRISPR-profile,2.854699798992702
159,Alignment objective,7.501017679486956
159,Compound-profile,4.040605269159589
159,ORF-profile,4.054494132314409
159,CRISPR-profile,2.866330705370222
160,Alignment objective,7.475908422470092
160,Compound-profile,4.021705484390258
160,ORF-profile,4.036666699818203
160,CRISPR-profile,2.8717391661235263
161,Alignment objective,7.486115315982274
161,Compound-profile,4.034204953057426
161,ORF-profile,4.014458751678466
161,CRISPR-profile,2.88936197076525
162,Alignment objective,7.4869220495224
162,Compound-profile,4.043546462059021
162,ORF-profile,4.022129934174674
162,CRISPR-profile,2.864621220316206
163,Alignment objective,7.4489630017961765
163,Compound-profile,4.0365243298666815
163,ORF-profile,4.00637423651559
163,CRISPR-profile,2.8185031277792794
164,Alignment objective,7.447463117327009
164,Compound-profile,4.033767373221261
164,ORF-profile,4.017820409366062
164,CRISPR-profile,2.8095710822514124
165,Alignment objective,7.454613007817949
165,Compound-profile,4.019998070171901
165,ORF-profile,4.001906991004944
165,CRISPR-profile,2.8673228774751935
166,Alignment objective,7.44131898198809
166,Compound-profile,4.03809586252485
166,ORF-profile,3.990234637260437
166,CRISPR-profile,2.816211615289961
167,Alignment objective,7.444899589674813
167,Compound-profile,4.050492933818272
167,ORF-profile,3.9730170692716325
167,CRISPR-profile,2.815796249253409
168,Alignment objective,7.4278187717710225
168,Compound-profile,4.0173133373260494
168,ORF-profile,3.9792473997388567
168,CRISPR-profile,2.8417634759630475
169,Alignment objective,7.394398713111878
169,Compound-profile,4.009011816978455
169,ORF-profile,3.9943619353430613
169,CRISPR-profile,2.776411853517805
170,Alignment objective,7.418812894821167
170,Compound-profile,4.018764117785863
170,ORF-profile,3.972684843199594
170,CRISPR-profile,2.8274127006530763
171,Alignment objective,7.403776165417263
171,Compound-profile,4.0129901341029575
171,ORF-profile,3.9964521612439836
171,CRISPR-profile,2.785119891166687
172,Alignment objective,7.406926815850395
172,Compound-profile,4.0249035290309365
172,ORF-profile,3.9651157549449376
172,CRISPR-profile,2.7989307982581004
173,Alignment objective,7.413820995603288
173,Compound-profile,4.029633957999093
173,ORF-profile,3.9611932379858836
173,CRISPR-profile,2.8071808440344674
174,Alignment objective,7.376080475534712
174,Compound-profile,4.031597781181335
174,ORF-profile,3.933933891568865
174,CRISPR-profile,2.755031486919948
175,Alignment objective,7.369321468898228
175,Compound-profile,4.019031643867493
175,ORF-profile,3.9563109397888185
175,CRISPR-profile,2.7442686932427542
176,Alignment objective,7.371394770486015
176,Compound-profile,3.9998345715659007
176,ORF-profile,3.9584515401295253
176,CRISPR-profile,2.784668837274824
177,Alignment objective,7.376800274848938
177,Compound-profile,4.024626902171543
177,ORF-profile,3.9586180789130077
177,CRISPR-profile,2.7457286596298216
178,Alignment objective,7.367009942872183
178,Compound-profile,4.026163741520473
178,ORF-profile,3.922765851020813
178,CRISPR-profile,2.7589265584945677
179,Alignment objective,7.353636642864773
179,Compound-profile,4.015667864254543
179,ORF-profile,3.9364525624683924
179,CRISPR-profile,2.739485001564026
180,Alignment objective,7.33397867338998
180,Compound-profile,4.001553876059396
180,ORF-profile,3.944569662639073
180,CRISPR-profile,2.7202799252101353
181,Alignment objective,7.30503785269601
181,Compound-profile,4.0174628938947405
181,ORF-profile,3.90091586794172
181,CRISPR-profile,2.6742340871265955
182,Alignment objective,7.3323065893990655
182,Compound-profile,4.002763080596924
182,ORF-profile,3.9361934798104423
182,CRISPR-profile,2.7228935275759016
183,Alignment objective,7.310775000708444
183,Compound-profile,3.994246006011963
183,ORF-profile,3.9223508834838867
183,CRISPR-profile,2.710707092285156
184,Alignment objective,7.310167142323085
184,Compound-profile,3.9941569668906074
184,ORF-profile,3.9009878158569338
184,CRISPR-profile,2.7310325452259607
185,Alignment objective,7.308749689374651
185,Compound-profile,4.002781973566328
185,ORF-profile,3.9236052513122557
185,CRISPR-profile,2.688330166680472
186,Alignment objective,7.290627537454878
186,Compound-profile,3.990042458261762
186,ORF-profile,3.894925580705915
186,CRISPR-profile,2.7062445776803155
187,Alignment objective,7.298963815825326
187,Compound-profile,4.00380779334477
187,ORF-profile,3.9032820088522775
187,CRISPR-profile,2.687030029296875
188,Alignment objective,7.292087997709002
188,Compound-profile,4.000990421431405
188,ORF-profile,3.8935849632535664
188,CRISPR-profile,2.688610199519566
189,Alignment objective,7.284112330845424
189,Compound-profile,3.9953131914138793
189,ORF-profile,3.8957106624330793
189,CRISPR-profile,2.6818876130240303
190,Alignment objective,7.2608636277062555
190,Compound-profile,3.9802849803652083
190,ORF-profile,3.9031078951699394
190,CRISPR-profile,2.6580494029181345
191,Alignment objective,7.273001473290579
191,Compound-profile,3.9888808591025215
191,ORF-profile,3.8899100371769495
191,CRISPR-profile,2.6783312014171057
192,Alignment objective,7.257056733540127
192,Compound-profile,3.984897790636335
192,ORF-profile,3.861828112602234
192,CRISPR-profile,2.682489766393389
193,Alignment objective,7.239141208784921
193,Compound-profile,3.9844489438193187
193,ORF-profile,3.8412798132215227
193,CRISPR-profile,2.668104703085763
194,Alignment objective,7.237601378985813
194,Compound-profile,3.998699481146676
194,ORF-profile,3.845541432925633
194,CRISPR-profile,2.632262372970581
195,Alignment objective,7.24762077331543
195,Compound-profile,3.9945083039147513
195,ORF-profile,3.863216894013541
195,CRISPR-profile,2.643008051599775
196,Alignment objective,7.234128359385899
196,Compound-profile,3.985218003817967
196,ORF-profile,3.854222856249128
196,CRISPR-profile,2.6435978548867363
197,Alignment objective,7.2395902974264965
197,Compound-profile,3.98535658291408
197,ORF-profile,3.8698412793023245
197,CRISPR-profile,2.6386261565344675
