setting,method,num_queries,num_candidates,random_expected_corr,mean_functional_neighbor_rank_percentile,best_functional_neighbor_rank_percentile,top10_corr,top10_poscorr,ndcg10,retention10,functional_top10_in_top10_rate,oracle_top10_corr,top50_corr,top50_poscorr,ndcg50,retention50,functional_top10_in_top50_rate,oracle_top50_corr,top100_corr,top100_poscorr,ndcg100,retention100,functional_top10_in_top100_rate,oracle_top100_corr,low_tanimoto
low_morgan_lt_0.15,CGP-Align,1856,1604.157327586207,0.0321966285025406,0.4255867791784883,0.07158736052876856,0.04961090333943406,0.05761932736363966,0.23315407522864123,0.06791048222641925,0.01470905172413793,0.227878924157342,0.04626722590059146,0.05471977454867088,0.27118749408819093,0.07074266991032194,0.06772629310344828,0.1835909809136025,0.04454590006655823,0.05316533653319066,0.298186679316255,0.07382937304646635,0.1202586206896552,0.16154131988629472,0.15
low_morgan_lt_0.15,RDKit2D,1856,1604.157327586207,0.0321966285025406,0.4472147238767258,0.07994168827788409,0.03966021779797875,0.04850814480477019,0.20923343819490112,0.03532834039279654,0.01012931034482758,0.227878924157342,0.03847173434710838,0.04776150613846543,0.2460085184097696,0.03507494713413382,0.04612068965517241,0.1835909809136025,0.03815159226159936,0.04746405487554828,0.27338630208739007,0.03818325003396751,0.09030172413793104,0.16154131988629472,0.15
low_morgan_lt_0.15,NYAN,1856,1604.157327586207,0.0321966285025406,0.4465785191120663,0.08089759662040838,0.04158953499401306,0.05063746126900908,0.2127009568764006,0.03579400072035612,0.01287715517241379,0.227878924157342,0.03963487968167721,0.0488341056595277,0.24884907289490457,0.03755557946469361,0.05167025862068965,0.1835909809136025,0.03884707597125329,0.04807376883588823,0.2751532292337875,0.03919264966961496,0.09278017241379312,0.16154131988629472,0.15
low_morgan_lt_0.15,Morgan,1856,1604.157327586207,0.0321966285025406,0.47250095266025954,0.08137470951193328,0.03579158264257465,0.04549090748837845,0.1950661610631153,0.01417288842728083,0.0074353448275862,0.227878924157342,0.0352135395147947,0.04494797537426449,0.23257921668325857,0.01623221675314194,0.03911637931034482,0.1835909809136025,0.03515008737619119,0.04492277856561359,0.2602937569528213,0.01905442213908073,0.07860991379310345,0.16154131988629472,0.15
low_morgan_lt_0.15,AtomPair,1856,1604.157327586207,0.0321966285025406,0.45467356190429303,0.08021333977296528,0.04007798743619103,0.04897029134934991,0.20583855209455376,0.03073234077287311,0.01029094827586207,0.227878924157342,0.03979344274957839,0.04891711138799189,0.24703768379149527,0.03852198630841421,0.04886853448275862,0.1835909809136025,0.03922304966354115,0.04845317150595545,0.2748089615925461,0.04119639987139747,0.09391163793103448,0.16154131988629472,0.15
low_morgan_lt_0.15,Avalon,1856,1604.157327586207,0.0321966285025406,0.4617963302871302,0.0816405632466244,0.03849186418159973,0.04784263849000722,0.20284976349256428,0.02384097587363978,0.01007543103448276,0.227878924157342,0.0376029169597975,0.04713749578631183,0.2404057847004764,0.0263924895608496,0.04207974137931034,0.1835909809136025,0.03761356016066224,0.04711706941882956,0.26856137763705096,0.03095167521771888,0.08636853448275862,0.16154131988629472,0.15
low_morgan_lt_0.15,Random,1856,1604.157327586207,0.0321966285025406,0.4997258141957414,0.09186729905333268,0.03265122250790962,0.04262315276179471,0.18548331296947468,0.00117609273071626,0.00673491379310344,0.227878924157342,0.03216972704564975,0.04222690847370329,0.22107846244545,-4.80797734006e-4,0.03195043103448276,0.1835909809136025,0.03228543136954548,0.04234017701949771,0.2478038171660174,4.171228504368e-4,0.06109913793103448,0.16154131988629472,0.15
low_morgan_lt_0.20,CGP-Align,1856,1797.719827586207,0.03260497016607088,0.4217675645116256,0.07122313844857935,0.05146268714399337,0.059511582521769,0.23295675936162127,0.06921520557783743,0.01519396551724138,0.2340920058926086,0.04793236481652527,0.05631910276718874,0.26956761069130214,0.07290568271656317,0.06454741379310344,0.18896691391035783,0.04625808278372159,0.05480076007776831,0.2954983697866362,0.0764983993193238,0.11352370689655174,0.1670218144034052,0.2
low_morgan_lt_0.20,RDKit2D,1856,1797.719827586207,0.03260497016607088,0.44159569851568986,0.07707143447604302,0.04213129692334996,0.05091689929602963,0.21366067569465247,0.04118343028852758,0.01158405172413793,0.2340920058926086,0.04063063425449664,0.04963625455780479,0.24807441591204096,0.04261335186261714,0.0494073275862069,0.18896691391035783,0.03969555885710865,0.04890560697854664,0.27255860250035946,0.04230679547079672,0.09084051724137931,0.1670218144034052,0.2
low_morgan_lt_0.20,NYAN,1856,1797.719827586207,0.03260497016607088,0.4422837063181587,0.07822648188901155,0.04363834649392833,0.0525477733011134,0.2141809704974876,0.04144660815055356,0.01325431034482758,0.2340920058926086,0.04147344255557196,0.05051387239220934,0.24903959850437143,0.04294384958074942,0.05134698275862068,0.18896691391035783,0.040359732323401,0.0494595364309281,0.2736806375048978,0.0441190151235773,0.09143318965517244,0.1670218144034052,0.2
