method_key,method_label,top10_1000_sd,full_r10_sd,metric,value,sd,metric_label,label,label_x
cgp_align_main,CGP-Align,0.0075886167384963,0.00347816621297864,top10_1000,0.2997294185377087,0.0075886167384963,"Sampled 1:1000
Top-10",30.0%,0.3137294185377087
cgp_align_main,CGP-Align,0.0075886167384963,0.00347816621297864,full_r10,0.0864853195164076,0.00347816621297864,"Full-gallery
Recall@10",8.6%,0.0909853195164076
matched_molformer_smiles,SMILES-LM profile (MoLFormer),0.00316283394057515,0.00129867574264658,top10_1000,0.22831231646225592,0.00316283394057515,"Sampled 1:1000
Top-10",22.8%,0.24231231646225593
matched_molformer_smiles,SMILES-LM profile (MoLFormer),0.00316283394057515,0.00129867574264658,full_r10,0.01150169862382675,0.00129867574264658,"Full-gallery
Recall@10",1.2%,0.01600169862382675
matched_chemberta_smiles,SMILES-LM profile (ChemBERTa),0.00162833592539502,0.00143771120195182,top10_1000,0.2121422813381701,0.00162833592539502,"Sampled 1:1000
Top-10",21.2%,0.2261422813381701
matched_chemberta_smiles,SMILES-LM profile (ChemBERTa),0.00162833592539502,0.00143771120195182,full_r10,0.01043645995278398,0.00143771120195182,"Full-gallery
Recall@10",1.0%,0.01493645995278398
matched_rdkit_morgan,Fingerprint-profile baseline,0.00355170134193364,0.00103674829158927,top10_1000,0.2109662002648701,0.00355170134193364,"Sampled 1:1000
Top-10",21.1%,0.2249662002648701
matched_rdkit_morgan,Fingerprint-profile baseline,0.00355170134193364,0.00103674829158927,full_r10,0.01249496170898826,0.00103674829158927,"Full-gallery
Recall@10",1.2%,0.01699496170898826
