method_label,n_independent_runs,tasks,mean_auprc,sem_auprc,mean_lift_at_top50,sem_lift_at_top50
Expert alerts,5,5,0.4076715798647162,0.0045768188791397045,8.829235623713574,0.2766185164205492
CGP-Align latent,5,5,0.49336641084999566,0.0035130154847922003,11.23843189071329,0.17697249637627901
CGP + alerts,5,5,0.5349359655501308,0.004456563532818205,11.656489100395754,0.19487215116933032
