display,auprc_mean,auroc_mean,auprc_sd,auroc_sd,n_task,auprc_se,auroc_se
AtomPair,0.432764403817564,0.834756995416284,0.177390080001499,0.0456054826821249,5,0.0793312554834953,0.0203953918847842
Avalon,0.413690348928384,0.823949499248424,0.188200393170268,0.0529497183753561,5,0.0841657745041813,0.0236798339353532
CGP-Align,0.503974129806189,0.867212735244148,0.157258294425319,0.0410319904522973,5,0.0703280472721381,0.0183500639806918
Morgan,0.397175449943328,0.821786691256282,0.169475273505635,0.0383514652688019,5,0.0757916464127939,0.0171512966755527
NYAN,0.43051715098615,0.838870852846596,0.189829414356746,0.0515621698680854,5,0.0848942949261318,0.0230593033784861
RDKit2D,0.465889496024331,0.860417903069831,0.191777755287077,0.0484217940002222,5,0.0857656194788446,0.0216548845953977
