row,run,epoch,mapped_edges,C2G_queries,G2C_queries,C2G_MRR,G2C_MRR,C2G_Recall@50,G2C_Recall@50,C2G_Lift@50,G2C_Lift@50,Mean_Lift@50,C2G_TargetDensityLift@50,G2C_TargetDensityLift@50,seed,graph,source
final_seed31,gene_union,220,11424,2311,1797,0.0048208854010519005,0.000704423447044485,0.024231934227607096,0.007234279354479688,1.4772478264244344,2.647509384523761,2.062378605474098,1.7439285714285715,2.6351855742296917,31,broad,dgidb
final_seed31,gene_union,220,5550,2276,1455,0.001913781841448106,0.0005546685893017276,0.015377855887521968,0.002061855670103093,1.8663065382022053,1.254556643288059,1.5604315907451323,2.1115675675675676,1.2517405405405404,31,broad,drugrep
final_seed31,gene_union,220,8484,752,1802,0.02526068773957464,0.0008176868839507586,0.11170212765957446,0.001664816870144284,3.040756504725308,0.821095408479978,1.9309259566026429,4.869186704384725,0.8188543140028288,31,broad,hetionet
final_seed31,gene_union,220,14774,2517,3186,0.0068622278702613095,0.00033891689095785456,0.047278506158124754,0.002197112366603892,2.4901366072078592,1.1002141002184624,1.795175353713161,2.9547867875998377,1.097200487342629,31,broad,openbiolink
final_seed31,gene_union,220,15794,1090,3881,0.020718738567618796,0.0005025920072815887,0.11651376146788991,0.001545993300695697,2.5042134897659802,0.8821628049155191,1.6931881473407497,3.598715968089148,0.8797214131948842,31,broad,pharmebinet
final_seed31,gene_union,220,5916,1753,1280,0.0039907244490830635,0.0006107325730144196,0.02053622361665716,0.00625,1.8078675117494696,3.139559017707213,2.473713264728341,2.3771196754563895,3.52290060851927,31,strict,dgidb
final_seed31,gene_union,220,6549,2472,1645,0.002079492507108235,0.0005756891701887876,0.017394822006472493,0.0024316109422492403,1.9465970792169913,1.417906159863708,1.6822516195403496,2.2815666513971595,1.4143960910062605,31,strict,drugrep
final_seed31,gene_union,220,4958,786,1335,0.027082185776491758,0.0004389943122012767,0.11959287531806616,0.003745318352059925,5.701270916018827,2.342686867671066,4.021978891844947,9.277503025413473,2.3353368293666805,31,strict,hetionet
final_seed31,gene_union,220,18237,2701,3356,0.006414998858004792,0.0004529684696976265,0.052943354313217325,0.004171632896305125,2.4379227754712898,1.784968867297481,2.111445821384385,2.8917256127652577,2.031667489170368,31,strict,openbiolink
final_seed31,gene_union,220,5913,908,1573,0.024511276215316184,0.0004100040779994862,0.11123348017621146,0.003178639542275906,5.156184621011342,1.9641742181169481,3.560179419564145,8.175494672754947,1.9581599864704888,31,strict,pharmebinet
final_seed37,gene_union,90,11424,2311,1797,0.002393462607167261,0.0005007510669306648,0.019039376893119863,0.006121313299944352,1.1606947207620557,2.2402002484431827,1.7004474846026192,1.3848844537815128,3.0405987394957985,37,broad,dgidb
final_seed37,gene_union,90,5550,2276,1455,0.0016201639731051294,0.00025498664806437686,0.00922671353251318,0.0027491408934707906,1.1197839229213231,1.6727421910507454,1.3962630569860344,1.2669405405405405,1.6689873873873873,37,broad,drugrep
final_seed37,gene_union,90,8484,752,1802,0.006659047501342898,0.00032567692457844495,0.05585106382978723,0.003329633740288568,1.520378252362654,1.642190816959956,1.581284534661305,1.5885289957567186,1.9106600660066004,37,broad,hetionet
final_seed37,gene_union,90,14774,2517,3186,0.0021060057815203187,0.00021459317624914024,0.015891934843067144,0.0018832391713747645,0.8370207083051627,0.9430406573301108,0.8900306828176368,0.9320468390415594,0.9404575605793963,37,broad,openbiolink
final_seed37,gene_union,90,15794,1090,3881,0.007539724590959344,0.0003582047102770487,0.06422018348623854,0.0028343210512754443,1.3802751518395167,1.6172984756784516,1.4987868137589841,1.4654565024692923,1.7594428263897683,37,broad,pharmebinet
final_seed37,gene_union,90,5916,1753,1280,0.00197299756506658,0.0003908653758603743,0.012549914432401598,0.00546875,1.1048079238468982,2.7471141404938106,1.9259610321703544,1.5847464503042596,3.9143340094658545,37,strict,dgidb
final_seed37,gene_union,90,6549,2472,1645,0.0016103485460618912,0.0002346059366502842,0.0093042071197411,0.0024316109422492403,1.041203088883507,1.417906159863708,1.2295546243736075,1.1631516262024735,1.7679951137578258,37,strict,drugrep
final_seed37,gene_union,90,4958,786,1335,0.0023948358713523498,0.0002983155843718123,0.013994910941475827,0.0022471910112359553,0.6671700008107138,1.4056121206026397,1.0363910607066766,0.8863856393707139,1.8682694634933443,37,strict,hetionet
final_seed37,gene_union,90,18237,2701,3356,0.0020776882733819805,0.0002320269196562839,0.016660496112550906,0.0020858164481525627,0.7671784957776786,0.8924844336487405,0.8298314647132096,0.7871919723638757,1.015833744585184,37,strict,openbiolink
final_seed37,gene_union,90,5913,908,1573,0.0025004200970137782,0.0002714427948544691,0.015418502202643172,0.0019071837253655435,0.7147186603382057,1.1785045308701687,0.9466115956041872,0.8918721461187215,1.566527989176391,37,strict,pharmebinet
