method,num_queries,topk,corr_threshold,directed_hits,unique_pair_hits,queries_with_hit,query_hit_rate,hit_yield_per_1000_ranked,mean_hit_rank,median_hit_corr,setting,low_tanimoto
CGP-Align,1856,10,0.4,206,153,102,0.05495689655172414,11.099137931034482,5.101941747572815,0.472988098859787,low_morgan_lt_0.20,0.2
RDKit2D,1856,10,0.4,67,56,57,0.030711206896551723,3.609913793103448,5.119402985074627,0.47375863790512085,low_morgan_lt_0.20,0.2
NYAN,1856,10,0.4,78,62,60,0.032327586206896554,4.202586206896552,5.230769230769231,0.4559837430715561,low_morgan_lt_0.20,0.2
Morgan,1856,10,0.4,65,41,50,0.02693965517241379,3.502155172413793,4.753846153846154,0.4649767577648163,low_morgan_lt_0.20,0.2
AtomPair,1856,10,0.4,62,46,50,0.02693965517241379,3.3405172413793105,5.741935483870968,0.45204757153987885,low_morgan_lt_0.20,0.2
Avalon,1856,10,0.4,69,51,53,0.028556034482758622,3.7176724137931036,6.072463768115942,0.47460949420928955,low_morgan_lt_0.20,0.2
Random,1856,10,0.4,19,19,19,0.010237068965517241,1.0237068965517242,5.7368421052631575,0.4613930881023407,low_morgan_lt_0.20,0.2
CGP-Align,1856,50,0.4,735,532,179,0.09644396551724138,7.920258620689656,22.289795918367346,0.4555748999118805,low_morgan_lt_0.20,0.2
RDKit2D,1856,50,0.4,273,208,138,0.07435344827586207,2.9418103448275863,22.926739926739927,0.45995739102363586,low_morgan_lt_0.20,0.2
NYAN,1856,50,0.4,300,217,147,0.07920258620689655,3.2327586206896552,22.81,0.4559837430715561,low_morgan_lt_0.20,0.2
Morgan,1856,50,0.4,239,146,132,0.07112068965517242,2.5754310344827585,21.702928870292887,0.4649767577648163,low_morgan_lt_0.20,0.2
AtomPair,1856,50,0.4,263,190,133,0.07165948275862069,2.834051724137931,24.695817490494296,0.45352405309677124,low_morgan_lt_0.20,0.2
Avalon,1856,50,0.4,271,183,139,0.07489224137931035,2.9202586206896552,22.763837638376383,0.4512271583080292,low_morgan_lt_0.20,0.2
Random,1856,50,0.4,109,107,69,0.037176724137931036,1.1745689655172413,27.623853211009173,0.4438727796077728,low_morgan_lt_0.20,0.2
CGP-Align,1856,100,0.4,1179,824,206,0.11099137931034483,6.352370689655173,41.75996607294317,0.45396217703819275,low_morgan_lt_0.20,0.2
RDKit2D,1856,100,0.4,485,343,173,0.09321120689655173,2.613146551724138,46.11752577319588,0.4555089473724365,low_morgan_lt_0.20,0.2
NYAN,1856,100,0.4,527,356,184,0.09913793103448276,2.8394396551724137,45.27703984819734,0.4574241638183594,low_morgan_lt_0.20,0.2
Morgan,1856,100,0.4,426,261,176,0.09482758620689655,2.2952586206896552,44.659624413145536,0.45679204165935516,low_morgan_lt_0.20,0.2
AtomPair,1856,100,0.4,511,345,178,0.09590517241379311,2.7532327586206895,49.58904109589041,0.4518728256225586,low_morgan_lt_0.20,0.2
Avalon,1856,100,0.4,509,345,183,0.09859913793103449,2.742456896551724,46.648330058939095,0.45013296604156494,low_morgan_lt_0.20,0.2
Random,1856,100,0.4,211,206,99,0.05334051724137931,1.136853448275862,49.62559241706161,0.4452095925807953,low_morgan_lt_0.20,0.2
CGP-Align,1856,10,0.25,824,641,272,0.14655172413793102,44.39655172413793,5.241504854368932,0.33909960091114044,low_morgan_lt_0.25,0.25
RDKit2D,1856,10,0.25,376,301,186,0.10021551724137931,20.25862068965517,5.3138297872340425,0.3346579372882843,low_morgan_lt_0.25,0.25
NYAN,1856,10,0.25,381,294,196,0.10560344827586207,20.528017241379313,5.377952755905512,0.3312317430973053,low_morgan_lt_0.25,0.25
Morgan,1856,10,0.25,353,236,190,0.10237068965517242,19.01939655172414,5.379603399433428,0.3434675335884094,low_morgan_lt_0.25,0.25
AtomPair,1856,10,0.25,344,265,191,0.10290948275862069,18.534482758620687,5.325581395348837,0.3266269862651825,low_morgan_lt_0.25,0.25
Avalon,1856,10,0.25,342,245,189,0.10183189655172414,18.426724137931032,5.2368421052631575,0.33640992641448975,low_morgan_lt_0.25,0.25
Random,1856,10,0.25,120,120,92,0.04956896551724138,6.4655172413793105,5.1,0.325267031788826,low_morgan_lt_0.25,0.25
CGP-Align,1856,50,0.25,3188,2350,374,0.20150862068965517,34.35344827586207,23.36417816813049,0.3325541317462921,low_morgan_lt_0.25,0.25
RDKit2D,1856,50,0.25,1587,1150,335,0.1804956896551724,17.101293103448274,24.464398235664778,0.3271845281124115,low_morgan_lt_0.25,0.25
NYAN,1856,50,0.25,1580,1140,351,0.18911637931034483,17.025862068965516,24.001898734177214,0.3209356963634491,low_morgan_lt_0.25,0.25
Morgan,1856,50,0.25,1410,898,337,0.18157327586206898,15.193965517241379,23.353900709219857,0.3334035873413086,low_morgan_lt_0.25,0.25
AtomPair,1856,50,0.25,1588,1112,342,0.18426724137931033,17.11206896551724,24.632241813602015,0.3247903883457184,low_morgan_lt_0.25,0.25
Avalon,1856,50,0.25,1471,975,342,0.18426724137931033,15.851293103448276,23.889191026512577,0.3276820480823517,low_morgan_lt_0.25,0.25
Random,1856,50,0.25,685,680,273,0.1470905172413793,7.381465517241379,25.944525547445256,0.3210352957248688,low_morgan_lt_0.25,0.25
CGP-Align,1856,100,0.25,5675,3993,425,0.22898706896551724,30.576508620689655,45.711718061674006,0.3273986577987671,low_morgan_lt_0.25,0.25
RDKit2D,1856,100,0.25,2889,1954,401,0.21605603448275862,15.565732758620689,47.81481481481482,0.321254700422287,low_morgan_lt_0.25,0.25
NYAN,1856,100,0.25,2899,1978,411,0.22144396551724138,15.619612068965518,47.38392549154881,0.3162253499031067,low_morgan_lt_0.25,0.25
Morgan,1856,100,0.25,2451,1513,394,0.2122844827586207,13.205818965517242,44.90167278661771,0.3265226483345032,low_morgan_lt_0.25,0.25
AtomPair,1856,100,0.25,3034,2042,412,0.22198275862068967,16.34698275862069,48.59986816084377,0.3209424912929535,low_morgan_lt_0.25,0.25
Avalon,1856,100,0.25,2824,1890,388,0.20905172413793102,15.21551724137931,48.41890934844193,0.3221783936023712,low_morgan_lt_0.25,0.25
Random,1856,100,0.25,1374,1335,348,0.1875,7.4030172413793105,50.62590975254731,0.31544284522533417,low_morgan_lt_0.25,0.25
CGP-Align,1856,10,0.3,565,430,218,0.11745689655172414,30.441810344827587,5.238938053097345,0.3846459984779358,low_morgan_lt_0.25,0.25
RDKit2D,1856,10,0.3,245,198,145,0.078125,13.20043103448276,5.236734693877551,0.402028352022171,low_morgan_lt_0.25,0.25
NYAN,1856,10,0.3,236,185,137,0.0738146551724138,12.71551724137931,5.406779661016949,0.3949296325445175,low_morgan_lt_0.25,0.25
Morgan,1856,10,0.3,240,161,145,0.078125,12.931034482758621,5.375,0.3985927104949951,low_morgan_lt_0.25,0.25
AtomPair,1856,10,0.3,217,166,142,0.07650862068965517,11.691810344827587,5.152073732718894,0.37753453850746155,low_morgan_lt_0.25,0.25
Avalon,1856,10,0.3,232,165,142,0.07650862068965517,12.5,5.331896551724138,0.3866743743419647,low_morgan_lt_0.25,0.25
Random,1856,10,0.3,77,77,66,0.03556034482758621,4.148706896551724,4.974025974025974,0.3545618951320648,low_morgan_lt_0.25,0.25
CGP-Align,1856,50,0.3,2101,1542,294,0.1584051724137931,22.64008620689655,23.225130890052355,0.37495625019073486,low_morgan_lt_0.25,0.25
RDKit2D,1856,50,0.3,1015,730,263,0.14170258620689655,10.9375,24.258128078817734,0.37608441710472107,low_morgan_lt_0.25,0.25
NYAN,1856,50,0.3,938,682,262,0.1411637931034483,10.107758620689655,23.502132196162048,0.3738489896059036,low_morgan_lt_0.25,0.25
Morgan,1856,50,0.3,931,577,267,0.14385775862068967,10.032327586206897,22.77013963480129,0.3877466022968292,low_morgan_lt_0.25,0.25
AtomPair,1856,50,0.3,998,690,267,0.14385775862068967,10.754310344827585,24.517034068136272,0.36864297091960907,low_morgan_lt_0.25,0.25
Avalon,1856,50,0.3,936,615,263,0.14170258620689655,10.086206896551724,23.30128205128205,0.3765125870704651,low_morgan_lt_0.25,0.25
Random,1856,50,0.3,418,416,197,0.10614224137931035,4.504310344827585,25.492822966507177,0.3599666953086853,low_morgan_lt_0.25,0.25
CGP-Align,1856,100,0.3,3629,2551,320,0.1724137931034483,19.552801724137932,44.7296775971342,0.3714843690395355,low_morgan_lt_0.25,0.25
RDKit2D,1856,100,0.3,1771,1183,304,0.16379310344827586,9.542025862068966,46.20722755505364,0.3691421151161194,low_morgan_lt_0.25,0.25
NYAN,1856,100,0.3,1702,1164,313,0.16864224137931033,9.170258620689655,46.86486486486486,0.3686288595199585,low_morgan_lt_0.25,0.25
Morgan,1856,100,0.3,1557,946,293,0.15786637931034483,8.389008620689657,43.35966602440591,0.377484530210495,low_morgan_lt_0.25,0.25
AtomPair,1856,100,0.3,1851,1236,311,0.16756465517241378,9.973060344827585,47.56942193408968,0.3644881546497345,low_morgan_lt_0.25,0.25
Avalon,1856,100,0.3,1747,1166,306,0.1648706896551724,9.412715517241379,47.214653692043505,0.3705939054489136,low_morgan_lt_0.25,0.25
Random,1856,100,0.3,802,783,245,0.1320043103448276,4.321120689655173,48.9788029925187,0.36002369225025177,low_morgan_lt_0.25,0.25
CGP-Align,1856,10,0.4,251,182,116,0.0625,13.523706896551724,4.916334661354582,0.4795624017715454,low_morgan_lt_0.25,0.25
RDKit2D,1856,10,0.4,123,95,83,0.0447198275862069,6.627155172413794,4.951219512195122,0.46970465779304504,low_morgan_lt_0.25,0.25
NYAN,1856,10,0.4,108,84,79,0.04256465517241379,5.81896551724138,5.2407407407407405,0.4524349272251129,low_morgan_lt_0.25,0.25
Morgan,1856,10,0.4,119,80,88,0.04741379310344827,6.411637931034482,5.361344537815126,0.46961337327957153,low_morgan_lt_0.25,0.25
AtomPair,1856,10,0.4,87,68,69,0.037176724137931036,4.6875,5.195402298850575,0.47352683544158936,low_morgan_lt_0.25,0.25
Avalon,1856,10,0.4,101,73,72,0.03879310344827586,5.441810344827585,5.455445544554456,0.4827826917171478,low_morgan_lt_0.25,0.25
Random,1856,10,0.4,22,22,21,0.011314655172413793,1.1853448275862069,4.681818181818182,0.4482637941837311,low_morgan_lt_0.25,0.25
CGP-Align,1856,50,0.4,843,599,193,0.10398706896551724,9.08405172413793,22.062870699881376,0.4606305956840515,low_morgan_lt_0.25,0.25
RDKit2D,1856,50,0.4,415,295,166,0.0894396551724138,4.4719827586206895,22.689156626506023,0.4730927348136902,low_morgan_lt_0.25,0.25
NYAN,1856,50,0.4,378,272,159,0.08566810344827586,4.073275862068965,21.8015873015873,0.45815959572792053,low_morgan_lt_0.25,0.25
Morgan,1856,50,0.4,419,251,171,0.09213362068965517,4.515086206896552,21.085918854415276,0.4750676155090332,low_morgan_lt_0.25,0.25
AtomPair,1856,50,0.4,357,242,153,0.0824353448275862,3.84698275862069,22.92156862745098,0.45718875527381897,low_morgan_lt_0.25,0.25
Avalon,1856,50,0.4,356,228,153,0.0824353448275862,3.836206896551724,21.59269662921348,0.4655367285013199,low_morgan_lt_0.25,0.25
Random,1856,50,0.4,125,125,87,0.046875,1.3469827586206897,24.944,0.4556770622730255,low_morgan_lt_0.25,0.25
CGP-Align,1856,100,0.4,1360,935,217,0.11691810344827586,7.327586206896552,41.86911764705882,0.4581836313009262,low_morgan_lt_0.25,0.25
RDKit2D,1856,100,0.4,665,431,195,0.1050646551724138,3.5829741379310343,42.430075187969926,0.4696570932865143,low_morgan_lt_0.25,0.25
NYAN,1856,100,0.4,641,425,197,0.10614224137931035,3.4536637931034484,43.798751950078,0.4619124233722687,low_morgan_lt_0.25,0.25
Morgan,1856,100,0.4,633,372,193,0.10398706896551724,3.4105603448275863,38.88783570300158,0.4731011390686035,low_morgan_lt_0.25,0.25
AtomPair,1856,100,0.4,632,420,192,0.10344827586206896,3.4051724137931036,45.700949367088604,0.4567645639181137,low_morgan_lt_0.25,0.25
Avalon,1856,100,0.4,639,415,198,0.10668103448275862,3.442887931034483,44.677621283255085,0.4545207917690277,low_morgan_lt_0.25,0.25
Random,1856,100,0.4,243,237,116,0.0625,1.3092672413793105,48.60082304526749,0.45362526178359985,low_morgan_lt_0.25,0.25
CGP-Align,1856,10,0.25,874,673,275,0.14816810344827586,47.09051724137931,5.169336384439359,0.3458583652973175,low_morgan_lt_0.30,0.3
RDKit2D,1856,10,0.25,520,380,223,0.12015086206896551,28.017241379310345,5.107692307692307,0.36977629363536835,low_morgan_lt_0.30,0.3
