query_name,query_moa,retrieved_name,retrieved_moa,rank,query_u2os_lfc,retrieved_u2os_lfc,u2os_absdiff,morgan_tanimoto,method_score,query_inchikey,retrieved_inchikey
BNC105,tubulin polymerization inhibitor,nocodazole,tubulin polymerization inhibitor,1,-2.5902812480926514,-3.1164767742156982,0.5261955261230469,0.17391304671764374,0.7838197946548462,RADMJHVVIZTENA-UHFFFAOYSA-N,KYRVNWMVYQXFEU-UHFFFAOYSA-N
torin-1,mTOR inhibitor,LY2801653,MET inhibitor,1,-1.938051700592041,-2.474260091781616,0.5362083911895752,0.1735537201166153,0.895605206489563,AKCRNFFTGXBONI-UHFFFAOYSA-N,QHADVLVFMKEIIP-UHFFFAOYSA-N
oxibendazole,tubulin polymerization inhibitor,BNC105,tubulin polymerization inhibitor,1,-3.1514179706573486,-2.5902812480926514,0.5611367225646973,0.1515151560306549,0.7093281745910645,RAOCRURYZCVHMG-UHFFFAOYSA-N,RADMJHVVIZTENA-UHFFFAOYSA-N
buparlisib,PI3K inhibitor,AVL-292,Bruton's tyrosine kinase (BTK) inhibitor,1,-2.0706918239593506,-1.4289047718048096,0.641787052154541,0.07070706784725189,0.906227171421051,CWHUFRVAEUJCEF-UHFFFAOYSA-N,KXBDTLQSDKGAEB-UHFFFAOYSA-N
nutlin-3,MDM inhibitor,tazemetostat,histone lysine methyltransferase inhibitor,1,-1.3074134588241577,-1.9712224006652832,0.6638089418411255,0.1260504275560379,0.8360164761543274,BDUHCSBCVGXTJM-UHFFFAOYSA-N,NSQSAUGJQHDYNO-UHFFFAOYSA-N
TW-37,BCL inhibitor,gossypol,"BCL inhibitor, MCL1 inhibitor",1,-1.505128026008606,-2.2371904850006104,0.7320624589920044,0.15584415197372437,0.7612420916557312,PQAPVTKIEGUPRN-UHFFFAOYSA-N,QBKSWRVVCFFDOT-UHFFFAOYSA-N
IDRA-21,glutamate receptor positive allosteric modulator,gamma-aminobutyric-acid,benzodiazepine receptor agonist,1,-2.085556745529175,-1.2799623012542725,0.8055944442749023,0.022727273404598236,0.9224084615707397,VZRNTCHTJRLTMU-UHFFFAOYSA-N,BTCSSZJGUNDROE-UHFFFAOYSA-N
BIIB021,HSP inhibitor,R547,CDK inhibitor,1,-2.8500709533691406,-3.6628036499023438,0.8127326965332031,0.11702127754688263,0.9149529337882996,QULDDKSCVCJTPV-UHFFFAOYSA-N,JRNJNYBQQYBCLE-UHFFFAOYSA-N
LB42708,farnesyltransferase inhibitor,LY2801653,MET inhibitor,1,-1.6142842769622803,-2.474260091781616,0.8599758148193359,0.11764705926179886,0.7941617965698242,GUUIRIMAQGOLHT-UHFFFAOYSA-N,QHADVLVFMKEIIP-UHFFFAOYSA-N
Ro-4987655,MEK inhibitor,BIIB021,HSP inhibitor,1,-1.9349161386489868,-2.8500709533691406,0.9151548147201538,0.057692307978868484,0.8573786616325378,FIMYFEGKMOCQKT-UHFFFAOYSA-N,QULDDKSCVCJTPV-UHFFFAOYSA-N
crystal-violet,other antibiotic,CUDC-907,PI3K inhibitor,1,-2.935340166091919,-3.890882730484009,0.9555425643920898,0.09302325546741486,0.8766198754310608,LGLFFNDHMLKUMI-UHFFFAOYSA-N,JOWXJLIFIIOYMS-UHFFFAOYSA-N
ZM-447439,Aurora kinase inhibitor,VE-822,ATR kinase inhibitor,1,-3.2796010971069336,-2.318206548690796,0.9613945484161377,0.1071428582072258,0.8745560646057129,OGNYUTNQZVRGMN-UHFFFAOYSA-N,JZCWLJDSIRUGIN-UHFFFAOYSA-N
AT13387,HSP antagonist,CCT137690,Aurora kinase inhibitor,1,-3.8142192363739014,-2.8131306171417236,1.0010886192321777,0.18681319057941437,0.8754875063896179,IFRGXKKQHBVPCQ-UHFFFAOYSA-N,GFLQCBTXTRCREJ-UHFFFAOYSA-N
BI-78D3,JNK inhibitor,NSC-697923,ubiquitin-conjugating enzyme inhibitor,1,-2.3891780376434326,-3.445821523666382,1.0566434860229492,0.15492957830429077,0.874424397945404,QFRLDZGQEZCCJZ-UHFFFAOYSA-N,GAUHIPWCDXOLCZ-UHFFFAOYSA-N
LY2606368,CHK inhibitor,AT-7519,CDK inhibitor,1,-2.2406904697418213,-3.3928279876708984,1.1521375179290771,0.08791209012269974,0.7801992297172546,DOTGPNHGTYJDEP-UHFFFAOYSA-N,OVPNQJVDAFNBDN-UHFFFAOYSA-N
AZ3146,monopolar spindle 1 kinase inhibitor,CCT137690,Aurora kinase inhibitor,1,-1.6430096626281738,-2.8131306171417236,1.1701209545135498,0.13084112107753754,0.9086597561836243,YUKWVHPTFRQHMF-UHFFFAOYSA-N,GFLQCBTXTRCREJ-UHFFFAOYSA-N
cyt387,,VE-822,ATR kinase inhibitor,1,-1.1040165424346924,-2.318206548690796,1.2141900062561035,0.19148936867713928,0.805762767791748,ZVHNDZWQTBEVRY-UHFFFAOYSA-N,JZCWLJDSIRUGIN-UHFFFAOYSA-N
PCI-24781,HDAC inhibitor,pyroxamide,HDAC inhibitor,1,-2.449498414993286,-1.1721471548080444,1.2773512601852417,0.1666666716337204,0.7876638174057007,MAUCONCHVWBMHK-UHFFFAOYSA-N,PTJGLFIIZFVFJV-UHFFFAOYSA-N
pyroxamide,HDAC inhibitor,PCI-24781,HDAC inhibitor,1,-1.1721471548080444,-2.449498414993286,1.2773512601852417,0.1666666716337204,0.7876638174057007,PTJGLFIIZFVFJV-UHFFFAOYSA-N,MAUCONCHVWBMHK-UHFFFAOYSA-N
scriptaid,HDAC inhibitor,CUDC-907,PI3K inhibitor,1,-2.5821518898010254,-3.890882730484009,1.3087308406829834,0.1195652186870575,0.8064723610877991,JTDYUFSDZATMKU-UHFFFAOYSA-N,JOWXJLIFIIOYMS-UHFFFAOYSA-N
foretinib,VEGFR inhibitor,rociletinib,EGFR inhibitor,1,-3.5447278022766113,-2.2325007915496826,1.3122270107269287,0.1679999977350235,0.9632927179336548,CXQHYVUVSFXTMY-UHFFFAOYSA-N,HUFOZJXAKZVRNJ-UHFFFAOYSA-N
rociletinib,EGFR inhibitor,foretinib,VEGFR inhibitor,1,-2.2325007915496826,-3.5447278022766113,1.3122270107269287,0.1679999977350235,0.9632927179336548,HUFOZJXAKZVRNJ-UHFFFAOYSA-N,CXQHYVUVSFXTMY-UHFFFAOYSA-N
CD-437,retinoid receptor agonist,crystal-violet,other antibiotic,1,-4.2865142822265625,-2.935340166091919,1.3511741161346436,0.10000000149011612,0.7272903919219971,LDGIHZJOIQSHPB-UHFFFAOYSA-N,LGLFFNDHMLKUMI-UHFFFAOYSA-N
torin-2,mTOR inhibitor,GSK2126458,"mTOR inhibitor, PI3K inhibitor",1,-2.060713052749634,-3.513965129852295,1.4532520771026611,0.18367347121238708,0.8934470415115356,GUXXEUUYCAYESJ-UHFFFAOYSA-N,CGBJSGAELGCMKE-UHFFFAOYSA-N
PHA-793887,CDK inhibitor,barasertib-HQPA,Aurora kinase inhibitor,1,-1.1217535734176636,-2.576854944229126,1.4551013708114624,0.08849557489156723,0.807223379611969,HUXYBQXJVXOMKX-UHFFFAOYSA-N,QYZOGCMHVIGURT-UHFFFAOYSA-N
CCT129202,Aurora kinase inhibitor,PHA-848125,"CDK inhibitor, growth factor receptor inhibitor",1,-3.6262526512145996,-2.131822109222412,1.4944305419921875,0.17757008969783783,0.8956054449081421,QYKHWEFPFAGNEV-UHFFFAOYSA-N,RXZMYLDMFYNEIM-UHFFFAOYSA-N
R547,CDK inhibitor,PHA-848125,"CDK inhibitor, growth factor receptor inhibitor",1,-3.6628036499023438,-2.131822109222412,1.5309815406799316,0.14423076808452606,0.9302841424942017,JRNJNYBQQYBCLE-UHFFFAOYSA-N,RXZMYLDMFYNEIM-UHFFFAOYSA-N
AT-9283,"Aurora kinase inhibitor, JAK inhibitor",defactinib,focal adhesion kinase inhibitor,1,-3.0381343364715576,-1.3698495626449585,1.6682847738265991,0.1071428582072258,0.8862046003341675,LOLPPWBBNUVNQZ-UHFFFAOYSA-N,FWLMVFUGMHIOAA-UHFFFAOYSA-N
CNX-774,Bruton's tyrosine kinase (BTK) inhibitor,foretinib,VEGFR inhibitor,1,-1.8531932830810547,-3.5447278022766113,1.6915345191955566,0.17499999701976776,0.9479479193687439,VVLHQJDAUIPZFH-UHFFFAOYSA-N,CXQHYVUVSFXTMY-UHFFFAOYSA-N
VS-4718,focal adhesion kinase inhibitor,foretinib,VEGFR inhibitor,1,-1.7178410291671753,-3.5447278022766113,1.826886773109436,0.19658119976520538,0.9543563723564148,IGUBBWJDMLCRIK-UHFFFAOYSA-N,CXQHYVUVSFXTMY-UHFFFAOYSA-N
