inchikey,prism_name,broad_id,prism_columns,prism_screens,prism_targets,prism_moa,prism_smiles,_cgp_row,compound_id,canonical_smiles,has_structure,has_compound_profile,num_nonmissing_prism_cell_lines
HEAIZQNMNCHNFD-UHFFFAOYSA-N,AMG-208,BRD-K32285926-001-02-1,1,HTS,MET,tyrosine kinase inhibitor,COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1,29352,HEAIZQNMNCHNFD-UHFFFAOYSA-N,COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1,True,True,563
HEFNNWSXXWATRW-UHFFFAOYSA-N,ibuprofen,BRD-A17655518-001-24-4,1,HTS,"PTGS1, PTGS2",cyclooxygenase inhibitor,CC(C)Cc1ccc(C(C)C(=O)O)cc1,29394,HEFNNWSXXWATRW-UHFFFAOYSA-N,CC(C)Cc1ccc(C(C)C(=O)O)cc1,True,True,572
HEKAIDKUDLCBRU-UHFFFAOYSA-N,TAK-715,BRD-K52751261-001-06-1,1,HTS,MAPK14,p38 MAPK inhibitor,CCc1nc(-c2cccc(C)c2)c(-c2ccnc(NC(=O)c3ccccc3)c2)s1,29417,HEKAIDKUDLCBRU-UHFFFAOYSA-N,CCc1nc(-c2cccc(C)c2)c(-c2cc[nH]c(=NC(=O)c3ccccc3)c2)s1,True,True,569
HELCSESNNDZLFM-UHFFFAOYSA-N,4-IBP,BRD-K62537556-001-02-5,1,HTS,SIGMAR1,sigma receptor agonist,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccc(I)cc1,29424,HELCSESNNDZLFM-UHFFFAOYSA-N,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccc(I)cc1,True,True,563
HEMJJKBWTPKOJG-UHFFFAOYSA-N,gemfibrozil,BRD-K11129031-001-27-5,1,HTS,"LPL, PPARA, SLCO1B1, SLCO1B3, SLCO2B1",lipoprotein lipase activator,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,29432,HEMJJKBWTPKOJG-UHFFFAOYSA-N,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,True,True,544
HEQDZPHDVAOBLN-UHFFFAOYSA-N,HC-030031,BRD-K73815512-001-02-5,1,HTS,TRPA1,TRPA1 channel blocker,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,29459,HEQDZPHDVAOBLN-UHFFFAOYSA-N,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,True,True,574
HESLKTSGTIBHJU-UHFFFAOYSA-N,PF-573228,BRD-K79239947-001-06-8,1,HTS,"CDK1, CDK2, CDK7, GSK3B, IKBKB",focal adhesion kinase inhibitor,CS(=O)(=O)c1cccc(CNc2nc(Nc3ccc4c(c3)CCC(=O)N4)ncc2C(F)(F)F)c1,29476,HESLKTSGTIBHJU-UHFFFAOYSA-N,CS(=O)(=O)c1cccc(CN=c2[nH]c(=Nc3ccc4c(c3)CCC(=O)N4)[nH]cc2C(F)(F)F)c1,True,True,565
HGGAKXAHAYOLDJ-UHFFFAOYSA-N,faropenem,BRD-A49622760-001-01-9,1,HTS,,lactamase inhibitor,CC(O)C1C(=O)N2C(C(=O)O)=C(C3CCCO3)SC12,29756,HGGAKXAHAYOLDJ-UHFFFAOYSA-N,CC(O)C1C(=O)N2C(C(=O)O)=C(C3CCCO3)SC12,True,True,557
HGVNLRPZOWWDKD-UHFFFAOYSA-N,ZSTK-474,BRD-K63068307-001-08-9,1,HTS,"PIK3CB, PIK3CD, PIK3CG",PI3K inhibitor,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,29842,HGVNLRPZOWWDKD-UHFFFAOYSA-N,FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,True,True,565
HGXSLPIXNPASGZ-UHFFFAOYSA-N,IDO5L,BRD-K22356203-001-01-8,1,HTS,IDO1,"indoleamine 2,3-dioxygenase inhibitor",Nc1nonc1/C(=N\c1ccc(F)c(Cl)c1)NO,29858,HGXSLPIXNPASGZ-UHFFFAOYSA-N,N=c1[nH]onc1C(=NO)Nc1ccc(F)c(Cl)c1,True,True,574
HHVJBROTJWPHHX-UHFFFAOYSA-N,ki16198,BRD-A94323479-001-02-8,1,HTS,LPA,lipoprotein antagonist,COC(=O)CCSCc1ccc(-c2onc(C)c2NC(=O)OC(C)c2ccccc2Cl)cc1,30043,HHVJBROTJWPHHX-UHFFFAOYSA-N,COC(=O)CCSCc1ccc(-c2onc(C)c2NC(=O)OC(C)c2ccccc2Cl)cc1,True,True,574
HHZIURLSWUIHRB-UHFFFAOYSA-N,nilotinib,BRD-K81528515-001-13-8,1,HTS,"ABL1, KIT","Abl kinase inhibitor, Bcr-Abl kinase inhibitor",Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,30073,HHZIURLSWUIHRB-UHFFFAOYSA-N,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(N=c4nc(-c5cccnc5)cc[nH]4)c3)cc(C(F)(F)F)c2)cn1,True,True,547
HIANJWSAHKJQTH-UHFFFAOYSA-N,pemirolast,BRD-K31731454-237-02-5,1,HTS,HRH1,mediator release inhibitor,Cc1cccn2c(=O)c(-c3nnn[nH]3)cnc12,30083,HIANJWSAHKJQTH-UHFFFAOYSA-N,Cc1cccn2c(=O)c(-c3nn[nH]n3)cnc12,True,True,563
HIDWEYPGMLIQSN-UHFFFAOYSA-N,RS-102895,BRD-K83063356-003-02-5,1,HTS,CCR2,CCR antagonist,O=C1Nc2ccccc2C2(CCN(CCc3ccc(C(F)(F)F)cc3)CC2)O1,30106,HIDWEYPGMLIQSN-UHFFFAOYSA-N,O=C1Nc2ccccc2C2(CCN(CCc3ccc(C(F)(F)F)cc3)CC2)O1,True,True,565
