setting,active_threshold,topk,baseline,metric,direction,n_queries,mean_delta,ci95_low,ci95_high,paired_win_rate,wilcoxon_greater_p
low_morgan_lt_0.15,-2.0,50,AtomPair,top_mean_absdiff,baseline_minus_cgp,88,0.47041315593881095,0.38937547145272106,0.5530301759948114,0.8977272727272727,6.7110901829162065e-15
low_morgan_lt_0.15,-2.0,50,AtomPair,top_median_absdiff,baseline_minus_cgp,88,0.4583805890433723,0.3632778151594969,0.5568198046762104,0.875,1.2114819532445839e-13
low_morgan_lt_0.15,-2.0,50,Avalon,top_active_fraction,cgp_minus_baseline,88,0.15159090909090908,0.12318181818181818,0.18113636363636365,0.8181818181818182,2.256799477500188e-13
low_morgan_lt_0.15,-2.0,50,Avalon,active_lift,cgp_minus_baseline,88,3.485872596096747,2.8728062907778718,4.101347589932279,0.8181818181818182,1.7809428204849107e-13
low_morgan_lt_0.15,-2.0,50,Avalon,top_mean_absdiff,baseline_minus_cgp,88,0.5364261880221469,0.4500696321470648,0.6259142659909974,0.8977272727272727,1.7692997352411166e-14
low_morgan_lt_0.15,-2.0,50,Avalon,top_median_absdiff,baseline_minus_cgp,88,0.5536407794719377,0.4595210879729662,0.6537210520581787,0.9204545454545454,3.723831563741602e-15
low_morgan_lt_0.15,-2.0,50,Morgan,top_active_fraction,cgp_minus_baseline,88,0.17954545454545456,0.15363068181818182,0.20614772727272723,0.8863636363636364,4.270723928444249e-15
low_morgan_lt_0.15,-2.0,50,Morgan,active_lift,cgp_minus_baseline,88,4.142840125036369,3.530965269751246,4.759012214777731,0.8863636363636364,3.688331296923268e-15
low_morgan_lt_0.15,-2.0,50,Morgan,top_mean_absdiff,baseline_minus_cgp,88,0.6281643144660682,0.5451920326086015,0.708869556483227,0.9204545454545454,5.375404428920198e-16
low_morgan_lt_0.15,-2.0,50,Morgan,top_median_absdiff,baseline_minus_cgp,88,0.622840767120744,0.5322637291806297,0.7196560710869314,0.9545454545454546,4.385630490781736e-16
low_morgan_lt_0.15,-2.0,50,NYAN,top_active_fraction,cgp_minus_baseline,88,0.14363636363636365,0.11795454545454544,0.17204545454545453,0.8295454545454546,1.0038631581601951e-13
low_morgan_lt_0.15,-2.0,50,NYAN,active_lift,cgp_minus_baseline,88,3.294713540445953,2.70110657284793,3.9035762764185344,0.8295454545454546,7.626171106521323e-14
low_morgan_lt_0.15,-2.0,50,NYAN,top_mean_absdiff,baseline_minus_cgp,88,0.45928724495199286,0.3759028081905579,0.5482384476570614,0.8977272727272727,4.7407478307862734e-14
low_morgan_lt_0.15,-2.0,50,NYAN,top_median_absdiff,baseline_minus_cgp,88,0.4697082700599408,0.37172426818586407,0.5750498243368631,0.8636363636363636,3.3407960395298164e-13
low_morgan_lt_0.15,-2.0,50,RDKit2D,top_active_fraction,cgp_minus_baseline,88,0.15613636363636366,0.12909090909090912,0.1840909090909091,0.875,1.9488552785300987e-14
low_morgan_lt_0.15,-2.0,50,RDKit2D,active_lift,cgp_minus_baseline,88,3.5506646266350774,2.951423512965206,4.163910628046661,0.875,2.3917809252561566e-14
low_morgan_lt_0.15,-2.0,50,RDKit2D,top_mean_absdiff,baseline_minus_cgp,88,0.5105138032407294,0.4215287559164803,0.5973008839158661,0.9318181818181818,6.4959807467299556e-15
low_morgan_lt_0.15,-2.0,50,RDKit2D,top_median_absdiff,baseline_minus_cgp,88,0.5363420357938263,0.4372017900872131,0.628858410043292,0.9318181818181818,6.287658989630464e-15
low_morgan_lt_0.15,-2.0,100,AtomPair,top_active_fraction,cgp_minus_baseline,88,0.12079545454545458,0.10102272727272728,0.14057386363636362,0.8977272727272727,4.65881676938338e-14
low_morgan_lt_0.15,-2.0,100,AtomPair,active_lift,cgp_minus_baseline,88,2.7604247114759284,2.3234538851016384,3.1793373553446647,0.8977272727272727,3.0941364607512965e-14
low_morgan_lt_0.15,-2.0,100,AtomPair,top_mean_absdiff,baseline_minus_cgp,88,0.3683001864153233,0.29650970702683815,0.4402587555830031,0.9204545454545454,2.7819646560070677e-13
low_morgan_lt_0.15,-2.0,100,AtomPair,top_median_absdiff,baseline_minus_cgp,88,0.36187549001326924,0.2885544291426496,0.4342995559369724,0.8863636363636364,5.0491535741430034e-14
low_morgan_lt_0.15,-2.0,100,Avalon,top_active_fraction,cgp_minus_baseline,88,0.1228409090909091,0.1012471590909091,0.14454829545454545,0.875,9.895316131068513e-14
low_morgan_lt_0.15,-2.0,100,Avalon,active_lift,cgp_minus_baseline,88,2.811846246867175,2.348743565092249,3.252727196477636,0.875,6.684760520397393e-14
low_morgan_lt_0.15,-2.0,100,Avalon,top_mean_absdiff,baseline_minus_cgp,88,0.4214841116434862,0.34922829008911205,0.49741411956280024,0.8977272727272727,3.922420674417901e-14
low_morgan_lt_0.15,-2.0,100,Avalon,top_median_absdiff,baseline_minus_cgp,88,0.4364541097294767,0.3642520274311954,0.513356466751206,0.9204545454545454,2.9570803983023136e-15
low_morgan_lt_0.15,-2.0,100,Morgan,top_active_fraction,cgp_minus_baseline,88,0.15,0.13045170454545454,0.17148011363636362,0.8977272727272727,1.5644161602224041e-15
low_morgan_lt_0.15,-2.0,100,Morgan,active_lift,cgp_minus_baseline,88,3.45250371969211,3.004251078686512,3.8909733913606,0.8977272727272727,1.5749279955268896e-15
