scope,method,k,n_query,n_gallery,hit_at_k,recall_at_k,precision_enrichment,mean_best_positive_rank,y
compound_to_compound,CGP-Align entity,50,11578,11577,0.1543444463637934,0.02103126619450682,4.8695793746761105,698.7829504232164,2
compound_to_compound,CGP entity -> profile anchor,50,11578,11577,0.20219381585766108,0.04110381758507514,9.5171779236483,787.1167731905338,1
compound_to_compound,Structure feature baseline,50,11578,11577,0.09898082570392124,0.01108999827258593,2.5677782000345486,879.1108136120228,3
