hidden_positive_topn,scope,method,k,n_query,n_gallery,hit_at_k,recall_at_k,precision_enrichment,mean_best_positive_rank
Top-5,compound_to_compound,CGP-Align entity,50,11578,11577,0.0982034893764035,0.0238037657626533,5.511523924684747,1241.2143720849888
Top-5,compound_to_compound,CGP entity -> profile anchor,50,11578,11577,0.1445845569182933,0.0470029366039039,10.883059941267922,1273.463983416825
Top-5,compound_to_compound,Structure feature baseline,50,11578,11577,0.0602867507341509,0.0130419761616859,3.019739160476766,1616.612800138193
Top-10,compound_to_compound,CGP-Align entity,50,11578,11577,0.1543444463637934,0.0210312661945068,4.869579374676111,698.7829504232164
Top-10,compound_to_compound,CGP entity -> profile anchor,50,11578,11577,0.202193815857661,0.0411038175850751,9.5171779236483,787.1167731905338
Top-10,compound_to_compound,Structure feature baseline,50,11578,11577,0.0989808257039212,0.0110899982725859,2.5677782000345486,879.1108136120228
Top-20,compound_to_compound,CGP-Align entity,50,11578,11577,0.2344100880981171,0.0179046467438244,4.145641907065124,383.7779409224391
Top-20,compound_to_compound,CGP entity -> profile anchor,50,11578,11577,0.2839868716531352,0.0349542235273795,8.093300915529452,465.56391432026254
Top-20,compound_to_compound,Structure feature baseline,50,11578,11577,0.1610813612022802,0.0096173777854551,2.226807652444291,455.5444809120746
