display,auprc_mean,auroc_mean,auprc_sd,auroc_sd,n_task,auprc_se,auroc_se,section,task,representation,auprc,auroc,source,endpoint,mean_auprc,sd_endpoint_auprc,mean_auroc,sd_endpoint_auroc,method_label,n_independent_runs,tasks,sem_auprc,mean_lift_at_top50,sem_lift_at_top50
RDKit2D,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-HSE,RDKit2D,0.3034445006469,0.802867862998745,fixed_extratrees_representation_benchmark,SR-HSE,,,,,,,,,,
RDKit2D,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-p53,RDKit2D,0.448897002917574,0.888742043502748,fixed_extratrees_representation_benchmark,SR-p53,,,,,,,,,,
RDKit2D,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-ATAD5,RDKit2D,0.284667932185001,0.85191657109341,fixed_extratrees_representation_benchmark,SR-ATAD5,,,,,,,,,,
NYAN,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-ARE,NYAN_latent_official_cache_et160,0.50914073060148,0.819771285706963,official_nyan_checkpoint_cache_et160,SR-ARE,,,,,,,,,,
NYAN,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-ATAD5,NYAN_latent_official_cache_et160,0.27216771233506,0.829528143050908,official_nyan_checkpoint_cache_et160,SR-ATAD5,,,,,,,,,,
NYAN,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-HSE,NYAN_latent_official_cache_et160,0.262665286423419,0.773079309022811,official_nyan_checkpoint_cache_et160,SR-HSE,,,,,,,,,,
NYAN,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-MMP,NYAN_latent_official_cache_et160,0.718718605337132,0.912577385530977,official_nyan_checkpoint_cache_et160,SR-MMP,,,,,,,,,,
NYAN,,,,,,,,figure5b_sr5_endpoint_auprc_heatmap,Endocrine Disruption_SR-p53,NYAN_latent_official_cache_et160,0.389893420233656,0.859398140921319,official_nyan_checkpoint_cache_et160,SR-p53,,,,,,,,,,
AtomPair,,,,,5.0,,,figure5c_sr5_scaffold_split_mean_metrics,,AtomPair2048,,,,,0.3784955584729098,0.1599322560512973,0.7900126279621459,0.0486221268189414,,,,,,
Avalon,,,,,5.0,,,figure5c_sr5_scaffold_split_mean_metrics,,Avalon1024,,,,,0.3588557599486673,0.1458630731983878,0.7818815450637281,0.0441122648319099,,,,,,
CGP-Align,,,,,5.0,,,figure5c_sr5_scaffold_split_mean_metrics,,CGP-Align,,,,,0.465926779454426,0.1405799498164359,0.8447794995740946,0.0333904825859585,,,,,,
Morgan,,,,,5.0,,,figure5c_sr5_scaffold_split_mean_metrics,,Morgan2048,,,,,0.3553110801181259,0.1323635124385872,0.791366788089086,0.0277617969713479,,,,,,
NYAN,,,,,5.0,,,figure5c_sr5_scaffold_split_mean_metrics,,NYAN_latent,,,,,0.3806013317144536,0.1617623759095902,0.8010992127957944,0.0439838477836321,,,,,,
RDKit2D,,,,,5.0,,,figure5c_sr5_scaffold_split_mean_metrics,,RDKit2D,,,,,0.4308179242278824,0.1727876648727516,0.8376519396736729,0.0412648213912957,,,,,,
,,,,,,,,figure5d_expert_alert_complementarity_summary,,,,,,,0.5335053015198842,,,,CGP + alerts,5.0,5.0,0.0041120600933333,11.693137977746725,0.1510122857029503
,,,,,,,,figure5d_expert_alert_complementarity_summary,,,,,,,0.4876758372827581,,,,CGP-Align latent,5.0,5.0,0.0028626530653605,11.48941697805922,0.1661957222475207
,,,,,,,,figure5d_expert_alert_complementarity_summary,,,,,,,0.4076715798647162,,,,Expert alerts,5.0,5.0,0.0045768188791397,8.829235623713576,0.2766185164205495
