method,num_queries,topk,corr_threshold,directed_hits,unique_pair_hits,queries_with_hit,query_hit_rate,hit_yield_per_1000_ranked,mean_hit_rank,median_hit_corr,setting,low_tanimoto,section,query_idx,CGP-Align,RDKit2D,cgp_better,same,n_query,num_candidates,random_expected_corr,mean_functional_neighbor_rank_percentile,best_functional_neighbor_rank_percentile,top10_corr,top10_poscorr,ndcg10,retention10,functional_top10_in_top10_rate,oracle_top10_corr,top50_corr,top50_poscorr,ndcg50,retention50,functional_top10_in_top50_rate,oracle_top50_corr,top100_corr,top100_poscorr,ndcg100,retention100,functional_top10_in_top100_rate,oracle_top100_corr,num_pairs,mean_prism_response_corr,median_shared_top50_genes,mean_shared_top50_genes,mean_shared_gene_jaccard,mean_shared_gene_neglog10p,fraction_with_category_hit,mean_unique_categories,fraction_with_known_target_hit,retrieved_idx,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20,morgan_tanimoto,query_inchikey,retrieved_inchikey
RDKit2D,1856.0,100.0,0.25,2119.0,1508.0,369.0,0.1988146551724137,11.417025862068966,49.99575271354412,0.3079330623149872,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,100.0,0.25,2297.0,1598.0,384.0,0.2068965517241379,12.376077586206897,48.613408794079234,0.3085557222366333,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,100.0,0.25,1744.0,1061.0,361.0,0.1945043103448276,9.39655172413793,49.47935779816514,0.3120675086975097,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,100.0,0.25,2468.0,1678.0,393.0,0.2117456896551724,13.297413793103448,49.79902755267423,0.3099846690893173,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,100.0,0.25,2323.0,1633.0,359.0,0.193426724137931,12.516163793103448,50.73826947912183,0.312618225812912,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,100.0,0.25,1283.0,1237.0,321.0,0.1729525862068965,6.912715517241379,49.61340607950117,0.3094358146190643,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,10.0,0.3,435.0,347.0,183.0,0.0985991379310344,23.4375,5.147126436781609,0.3787873089313507,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,10.0,0.3,122.0,109.0,86.0,0.0463362068965517,6.573275862068965,5.704918032786885,0.3638290911912918,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,10.0,0.3,155.0,122.0,114.0,0.0614224137931034,8.351293103448276,5.180645161290323,0.3625262677669525,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,10.0,0.3,117.0,77.0,93.0,0.0501077586206896,6.303879310344827,5.555555555555555,0.3516162633895874,low_morgan_lt_0.15,0.15,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
