method,num_queries,topk,corr_threshold,directed_hits,unique_pair_hits,queries_with_hit,query_hit_rate,hit_yield_per_1000_ranked,mean_hit_rank,median_hit_corr,setting,low_tanimoto,section,query_idx,CGP-Align,RDKit2D,cgp_better,same,n_query,num_candidates,random_expected_corr,mean_functional_neighbor_rank_percentile,best_functional_neighbor_rank_percentile,top10_corr,top10_poscorr,ndcg10,retention10,functional_top10_in_top10_rate,oracle_top10_corr,top50_corr,top50_poscorr,ndcg50,retention50,functional_top10_in_top50_rate,oracle_top50_corr,top100_corr,top100_poscorr,ndcg100,retention100,functional_top10_in_top100_rate,oracle_top100_corr,num_pairs,mean_prism_response_corr,median_shared_top50_genes,mean_shared_top50_genes,mean_shared_gene_jaccard,mean_shared_gene_neglog10p,fraction_with_category_hit,mean_unique_categories,fraction_with_known_target_hit,retrieved_idx,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20,morgan_tanimoto,query_inchikey,retrieved_inchikey
NYAN,1856.0,10.0,0.25,346.0,274.0,199.0,0.1072198275862068,18.642241379310345,5.384393063583815,0.3262544870376587,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,10.0,0.25,279.0,177.0,186.0,0.1002155172413793,15.032327586206897,5.111111111111111,0.3364917635917663,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,10.0,0.25,309.0,236.0,181.0,0.0975215517241379,16.648706896551726,5.449838187702265,0.3290421068668365,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,10.0,0.25,288.0,214.0,173.0,0.0932112068965517,15.517241379310343,5.71875,0.3252861201763153,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,10.0,0.25,120.0,119.0,99.0,0.0533405172413793,6.465517241379311,5.35,0.3003686517477035,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,50.0,0.25,3031.0,2237.0,367.0,0.1977370689655172,32.661637931034484,23.71131639722864,0.3297236859798431,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,50.0,0.25,1337.0,1023.0,317.0,0.1707974137931034,14.407327586206897,24.594614809274496,0.3226268589496612,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,50.0,0.25,1452.0,1056.0,351.0,0.1891163793103448,15.646551724137932,24.12878787878788,0.3173625767230987,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,50.0,0.25,1127.0,713.0,334.0,0.1799568965517241,12.14439655172414,23.570541259982253,0.3252513706684112,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,50.0,0.25,1455.0,1041.0,343.0,0.1848060344827586,15.678879310344826,25.05360824742268,0.3210274577140808,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,50.0,0.25,1315.0,900.0,314.0,0.1691810344827586,14.170258620689657,24.736882129277568,0.3233618140220642,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,50.0,0.25,672.0,655.0,266.0,0.1433189655172413,7.241379310344828,26.361607142857142,0.3061753213405609,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,100.0,0.25,5342.0,3775.0,416.0,0.2241379310344827,28.782327586206897,45.54118307749906,0.325595498085022,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,100.0,0.25,2577.0,1798.0,400.0,0.2155172413793103,13.884698275862068,48.87776484284051,0.3174872100353241,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,100.0,0.25,2684.0,1844.0,407.0,0.2192887931034483,14.461206896551724,47.5424739195231,0.3151449114084244,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,100.0,0.25,2114.0,1318.0,383.0,0.2063577586206896,11.390086206896552,47.67407757805109,0.3215999454259872,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,100.0,0.25,2824.0,1907.0,411.0,0.2214439655172413,15.21551724137931,49.39695467422096,0.3183371424674988,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,100.0,0.25,2590.0,1779.0,373.0,0.2009698275862069,13.954741379310343,49.61003861003861,0.3192723989486694,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,100.0,0.25,1344.0,1308.0,343.0,0.1848060344827586,7.241379310344828,50.43452380952381,0.3059873878955841,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,10.0,0.3,507.0,390.0,208.0,0.1120689655172413,27.316810344827587,5.21301775147929,0.3733454346656799,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,10.0,0.3,187.0,162.0,132.0,0.0711206896551724,10.075431034482758,5.197860962566845,0.3664995729923248,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,10.0,0.3,211.0,169.0,135.0,0.0727370689655172,11.36853448275862,5.312796208530806,0.3699013590812683,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,10.0,0.3,191.0,121.0,138.0,0.074353448275862,10.29094827586207,5.089005235602095,0.3664995729923248,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,10.0,0.3,198.0,150.0,130.0,0.0700431034482758,10.668103448275865,5.4393939393939394,0.3657797574996948,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,10.0,0.3,184.0,136.0,120.0,0.0646551724137931,9.913793103448276,5.673913043478261,0.375185877084732,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,10.0,0.3,60.0,60.0,53.0,0.0285560344827586,3.2327586206896552,5.483333333333333,0.3646082282066345,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,50.0,0.3,1965.0,1451.0,287.0,0.1546336206896551,21.17456896551724,23.470737913486005,0.3708104193210602,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,50.0,0.3,839.0,632.0,249.0,0.1341594827586207,9.04094827586207,24.194278903456496,0.3642686009407043,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,50.0,0.3,852.0,621.0,266.0,0.1433189655172413,9.18103448275862,23.671361502347416,0.3658733069896698,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,50.0,0.3,734.0,454.0,263.0,0.1417025862068965,7.9094827586206895,22.9850136239782,0.3638567328453064,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,50.0,0.3,898.0,635.0,261.0,0.140625,9.676724137931034,24.85857461024499,0.361637532711029,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,50.0,0.3,819.0,557.0,247.0,0.1330818965517241,8.825431034482758,24.39072039072039,0.3657851815223694,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,50.0,0.3,353.0,344.0,163.0,0.0878232758620689,3.8038793103448274,26.08781869688385,0.3644147515296936,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,100.0,0.3,3374.0,2384.0,314.0,0.1691810344827586,18.17887931034483,44.53764078245406,0.3676287829875946,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,100.0,0.3,1543.0,1068.0,302.0,0.1627155172413793,8.313577586206897,47.35839274141284,0.3596370816230774,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,100.0,0.3,1566.0,1079.0,312.0,0.168103448275862,8.4375,47.3786717752235,0.361637532711029,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,100.0,0.3,1312.0,813.0,295.0,0.1589439655172413,7.068965517241379,45.80868902439025,0.3628337979316711,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,100.0,0.3,1689.0,1140.0,314.0,0.1691810344827586,9.10021551724138,48.43516873889876,0.3601930737495422,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,100.0,0.3,1563.0,1075.0,296.0,0.1594827586206896,8.421336206896552,48.67690339091491,0.3648973107337951,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,100.0,0.3,718.0,698.0,222.0,0.1196120689655172,3.868534482758621,50.45403899721448,0.3617500513792038,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,10.0,0.4,206.0,153.0,102.0,0.0549568965517241,11.099137931034482,5.101941747572815,0.472988098859787,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,10.0,0.4,67.0,56.0,57.0,0.0307112068965517,3.609913793103448,5.119402985074627,0.4737586379051208,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,10.0,0.4,78.0,62.0,60.0,0.0323275862068965,4.202586206896552,5.230769230769231,0.4559837430715561,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,10.0,0.4,65.0,41.0,50.0,0.0269396551724137,3.502155172413793,4.753846153846154,0.4649767577648163,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,10.0,0.4,62.0,46.0,50.0,0.0269396551724137,3.3405172413793105,5.741935483870968,0.4520475715398788,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,10.0,0.4,69.0,51.0,53.0,0.0285560344827586,3.717672413793104,6.072463768115942,0.4746094942092895,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,10.0,0.4,19.0,19.0,19.0,0.0102370689655172,1.0237068965517242,5.7368421052631575,0.4613930881023407,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,50.0,0.4,735.0,532.0,179.0,0.0964439655172413,7.920258620689656,22.289795918367343,0.4555748999118805,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,50.0,0.4,273.0,208.0,138.0,0.074353448275862,2.9418103448275863,22.926739926739927,0.4599573910236358,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,50.0,0.4,300.0,217.0,147.0,0.0792025862068965,3.2327586206896552,22.81,0.4559837430715561,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,50.0,0.4,239.0,146.0,132.0,0.0711206896551724,2.5754310344827585,21.702928870292887,0.4649767577648163,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,50.0,0.4,263.0,190.0,133.0,0.0716594827586206,2.834051724137931,24.695817490494296,0.4535240530967712,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,50.0,0.4,271.0,183.0,139.0,0.0748922413793103,2.9202586206896552,22.763837638376383,0.4512271583080292,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,50.0,0.4,109.0,107.0,69.0,0.037176724137931,1.174568965517241,27.623853211009173,0.4438727796077728,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,100.0,0.4,1179.0,824.0,206.0,0.1109913793103448,6.352370689655173,41.75996607294317,0.4539621770381927,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,100.0,0.4,485.0,343.0,173.0,0.0932112068965517,2.613146551724138,46.11752577319588,0.4555089473724365,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,100.0,0.4,527.0,356.0,184.0,0.0991379310344827,2.8394396551724137,45.27703984819734,0.4574241638183594,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,100.0,0.4,426.0,261.0,176.0,0.0948275862068965,2.2952586206896552,44.659624413145536,0.4567920416593551,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,100.0,0.4,511.0,345.0,178.0,0.0959051724137931,2.753232758620689,49.58904109589041,0.4518728256225586,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,100.0,0.4,509.0,345.0,183.0,0.0985991379310344,2.742456896551724,46.648330058939095,0.4501329660415649,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,100.0,0.4,211.0,206.0,99.0,0.0533405172413793,1.136853448275862,49.62559241706161,0.4452095925807953,low_morgan_lt_0.20,0.2,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,10.0,0.25,824.0,641.0,272.0,0.146551724137931,44.39655172413793,5.241504854368932,0.3390996009111404,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,10.0,0.25,376.0,301.0,186.0,0.1002155172413793,20.25862068965517,5.3138297872340425,0.3346579372882843,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,10.0,0.25,381.0,294.0,196.0,0.105603448275862,20.528017241379317,5.377952755905512,0.3312317430973053,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,10.0,0.25,353.0,236.0,190.0,0.1023706896551724,19.01939655172414,5.379603399433428,0.3434675335884094,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,10.0,0.25,344.0,265.0,191.0,0.1029094827586206,18.534482758620687,5.325581395348837,0.3266269862651825,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,10.0,0.25,342.0,245.0,189.0,0.1018318965517241,18.426724137931032,5.2368421052631575,0.3364099264144897,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,10.0,0.25,120.0,120.0,92.0,0.0495689655172413,6.465517241379311,5.1,0.325267031788826,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,50.0,0.25,3188.0,2350.0,374.0,0.2015086206896551,34.35344827586207,23.36417816813049,0.3325541317462921,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,50.0,0.25,1587.0,1150.0,335.0,0.1804956896551724,17.101293103448274,24.464398235664778,0.3271845281124115,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,50.0,0.25,1580.0,1140.0,351.0,0.1891163793103448,17.025862068965516,24.00189873417721,0.3209356963634491,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,50.0,0.25,1410.0,898.0,337.0,0.1815732758620689,15.19396551724138,23.353900709219857,0.3334035873413086,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,50.0,0.25,1588.0,1112.0,342.0,0.1842672413793103,17.11206896551724,24.63224181360201,0.3247903883457184,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalon,1856.0,50.0,0.25,1471.0,975.0,342.0,0.1842672413793103,15.851293103448276,23.889191026512577,0.3276820480823517,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Random,1856.0,50.0,0.25,685.0,680.0,273.0,0.1470905172413793,7.381465517241379,25.944525547445256,0.3210352957248688,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGP-Align,1856.0,100.0,0.25,5675.0,3993.0,425.0,0.2289870689655172,30.57650862068965,45.711718061674006,0.3273986577987671,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDKit2D,1856.0,100.0,0.25,2889.0,1954.0,401.0,0.2160560344827586,15.565732758620689,47.81481481481482,0.321254700422287,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYAN,1856.0,100.0,0.25,2899.0,1978.0,411.0,0.2214439655172413,15.619612068965518,47.38392549154881,0.3162253499031067,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan,1856.0,100.0,0.25,2451.0,1513.0,394.0,0.2122844827586207,13.205818965517242,44.90167278661771,0.3265226483345032,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtomPair,1856.0,100.0,0.25,3034.0,2042.0,412.0,0.2219827586206896,16.34698275862069,48.59986816084377,0.3209424912929535,low_morgan_lt_0.25,0.25,figure6_panel_b_functional_neighbour_enrichment_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
