source,mean_lift50,mapped_edges_mean,name,source_order,above_random_ranking,leave_one_source_out_auprc,leave_one_source_out_auroc,cosine_auprc,cosine_auroc,delta_auprc,delta_auroc
dgidb,3.4650982096407925,8670.0,DGIdb,2,True,0.5449939071066665,0.8371082,0.1975768175296858,0.5495238314814815,0.3474170895769807,0.2875843685185184
drugrep,2.415779752859864,6049.5,DrugRep,3,True,0.559856388589262,0.8544000777777777,0.1886705856757886,0.5361846814814815,0.3711858029134733,0.3182153962962962
hetionet,2.457723443066904,6721.0,Hetionet,4,True,0.4523733884248376,0.780161374074074,0.1870091753864819,0.5322477555555555,0.2653642130383556,0.2479136185185185
openbiolink,1.7606301486668177,16505.5,OpenBioLink,5,True,0.4211910784569659,0.7678012814814815,0.1867731893127832,0.5339822481481481,0.2344178891441827,0.2338190333333334
pharmebinet,2.159962856461477,10853.5,PharMeBINet,6,True,0.4287803177258119,0.7670446000000001,0.1844976253732656,0.5260523055555556,0.2442826923525462,0.2409922944444444
