schema,kind,seed,raw_dir,split_sha256,input_sha256,output_sha256,parameters_sha256,entity_table_sha256,fit_feature_rows,fit_entities,fit_val_overlap,fit_test_overlap,gene_group_disjoint,correction_order,unseen_label_policy,scope
strict_train_fit_v1,compound,31,/home/sdz/projects/cgp_align_cpg_full/output/cgp_align/profile_preprocess_version_matrix/compound_raw_common3180_v1_20260604_0155/raw_common3180_compound,23f5b4401413a7a69093947e525bf8ddc2c1f0c50dc43489eb984e5f2c748f88,ba4996a0887f5ffd906fc397e9ab64180da878c05bc3d013918cd09690254d09,89d4b6153bf6b3bcbcbe7991538e09d4a4fcd11088edadbff68a05d7edd1712d,0ffdcde976ab8fb76cff87dcf1f399b3e06b60f2839cae48a5bd519e1b4b9bb0,86e9f0ed07ae0dc0291878b9e78b14fa9fcdb18e73cbad0e2d4c065c9bd6d81a,520844,92629,0,0,,"modality zscore (compound pooled), plate then well, two passes",zero correction; never fit held-out rows,project-level corrections only; upstream public profile processing is unchanged
strict_train_fit_v1,gene,31,/home/sdz/projects/cgp_align_cpg_full/output/cgp_align/profile_preprocess_version_matrix/gene_raw_common3180_v1_20260604_0155/raw_common3180_reagent,33e664d544beba3f727269cad36e594e9df5d1c59839ef1a9f00699e287ca0a0,10b41e57ec1d5cd62feae98bcdeb7fd46d5eebc597ee171a4426a61ca3ea71e4,00782d3247bc17253c1cefd24c7342bb09ca02325732bbc30b6117889e8079d3,38a6cb6d525dc3d2fd8a28146b62854a24db8fdd277610dee653f65c699ae453,e8bd3b903d84ead9bfb191a52f2dacdd7de326cc1209e4bf04b308dd7e54b377,95391,18502,0,0,True,"modality zscore (compound pooled), plate then well, two passes",zero correction; never fit held-out rows,project-level corrections only; upstream public profile processing is unchanged
strict_train_fit_v1,compound,37,/home/sdz/projects/cgp_align_cpg_full/output/cgp_align/profile_preprocess_version_matrix/compound_raw_common3180_v1_20260604_0155/raw_common3180_compound,73100a97dbac83a752b8fa028f094bce1acb968dfc6fd9721cff3b829387cc55,ba4996a0887f5ffd906fc397e9ab64180da878c05bc3d013918cd09690254d09,dcf16b67a60b458ad4fdc8f34edf1c2ed10ecc4aaf52a306f5deb10d6642e8ee,09c31670d49b0f979d5c66f0bbf39a0b4bafe6a617dcac3008dce0f626be99fa,86e9f0ed07ae0dc0291878b9e78b14fa9fcdb18e73cbad0e2d4c065c9bd6d81a,518766,92629,0,0,,"modality zscore (compound pooled), plate then well, two passes",zero correction; never fit held-out rows,project-level corrections only; upstream public profile processing is unchanged
strict_train_fit_v1,gene,37,/home/sdz/projects/cgp_align_cpg_full/output/cgp_align/profile_preprocess_version_matrix/gene_raw_common3180_v1_20260604_0155/raw_common3180_reagent,f9f9154ada5238123363fb47fea7b8f2cf62f4e37773349f0a7268481a89a69d,10b41e57ec1d5cd62feae98bcdeb7fd46d5eebc597ee171a4426a61ca3ea71e4,456daabeebd5e157cf075c5f6c0aaae92ec76438b9f84ee8ca4f665448b3f732,a7c3730f68d21e2c9d55632cb36d4fe7c381f76e5e851d96f8e52fc554f334d9,e8bd3b903d84ead9bfb191a52f2dacdd7de326cc1209e4bf04b308dd7e54b377,95492,18514,0,0,True,"modality zscore (compound pooled), plate then well, two passes",zero correction; never fit held-out rows,project-level corrections only; upstream public profile processing is unchanged
strict_train_fit_v1,compound,41,/home/sdz/projects/cgp_align_cpg_full/output/cgp_align/profile_preprocess_version_matrix/compound_raw_common3180_v1_20260604_0155/raw_common3180_compound,26542225a33fbe01db21dd296461a7952e94fd87df83eee742dbb8dc44388d15,ba4996a0887f5ffd906fc397e9ab64180da878c05bc3d013918cd09690254d09,f91ea751af84b7cf5f880c835be983f2f9588eb51a1bc55a7fac9a46736b28ed,867d36d4cd11d3e0b269fe29c84f22c129cc36b495524c07091570ae2366f84c,86e9f0ed07ae0dc0291878b9e78b14fa9fcdb18e73cbad0e2d4c065c9bd6d81a,520096,92629,0,0,,"modality zscore (compound pooled), plate then well, two passes",zero correction; never fit held-out rows,project-level corrections only; upstream public profile processing is unchanged
strict_train_fit_v1,gene,41,/home/sdz/projects/cgp_align_cpg_full/output/cgp_align/profile_preprocess_version_matrix/gene_raw_common3180_v1_20260604_0155/raw_common3180_reagent,d3245f9ae8cf8f4ccd9f3440cb7db29b22aee88e5034a70e1823026d3761a8d1,10b41e57ec1d5cd62feae98bcdeb7fd46d5eebc597ee171a4426a61ca3ea71e4,73becebb655b23928c0829c497d0f9a2bad1a867514e59888e4b746c23a03a82,ed42a4aef1b92b4928a1288550d9c8b385e2881487f9ebfe3bc86e57642c2efb,e8bd3b903d84ead9bfb191a52f2dacdd7de326cc1209e4bf04b308dd7e54b377,95129,18441,0,0,True,"modality zscore (compound pooled), plate then well, two passes",zero correction; never fit held-out rows,project-level corrections only; upstream public profile processing is unchanged
