variant,seed,epoch,ratio,compound_to_profile,profile_to_compound,gene_to_profile,profile_to_gene,mean,hmean
Full model,31,220,100,0.8363707030575227,0.5495838698533339,0.617776797529775,0.35784388507500636,0.5903938138789094,0.5384723062080757
Full model,37,90,100,0.8384867852824321,0.5156397319075231,0.594538188277087,0.34109294320137695,0.5724394121671048,0.5164160161536387
Full model,41,160,100,0.8431162549663155,0.5399447301757888,0.5917512130569034,0.3405932130951363,0.578851352823536,0.5219158576503222
No source indicator,31,220,100,0.836508896182415,0.5510034232593197,0.5971327745919719,0.3327061615391135,0.579337813893205,0.5201127660550395
No source indicator,37,90,100,0.8394195888754534,0.5245033511559607,0.5821047957371226,0.3155335628227195,0.565390324647814,0.5009390387571304
No source indicator,41,210,100,0.8397737087579893,0.5488892300606432,0.5674018526687252,0.31059919651252244,0.56666599699997,0.5003339173961987
No pretraining,31,220,100,0.8131888063568837,0.4725573945541911,0.5824437582708426,0.31008560047461653,0.5445688899141335,0.4826434358084082
No pretraining,37,260,100,0.8278372775954397,0.4772091271933128,0.5531083481349911,0.2908433734939759,0.5372495316044299,0.4678513076415336
No pretraining,41,210,100,0.8202366557263776,0.4650019190911185,0.5647992942214379,0.29042653218223774,0.535116100305293,0.46601356438165864
