method_label,n_independent_runs,tasks,mean_auprc,sem_auprc,mean_lift_at_top50,sem_lift_at_top50
CGP + alerts,5,5,0.5335053015198842,0.004112060093333348,11.693137977746725,0.15101228570295036
CGP-Align latent,5,5,0.4876758372827581,0.0028626530653605253,11.48941697805922,0.16619572224752077
Expert alerts,5,5,0.4076715798647162,0.004576818879139705,8.829235623713576,0.2766185164205495
