setting,method,num_queries,num_candidates,random_expected_corr,mean_functional_neighbor_rank_percentile,best_functional_neighbor_rank_percentile,top10_corr,top10_poscorr,ndcg10,retention10,functional_top10_in_top10_rate,oracle_top10_corr,top50_corr,top50_poscorr,ndcg50,retention50,functional_top10_in_top50_rate,oracle_top50_corr,top100_corr,top100_poscorr,ndcg100,retention100,functional_top10_in_top100_rate,oracle_top100_corr
all_candidates,CGP-Align,1856,1855.0,0.032934701275631466,0.3964478015846446,0.06654152949819589,0.06633042663970985,0.07379175965119941,0.27259383194095693,0.11153416949946947,0.03545258620689655,0.24100404565688224,0.05581595454667333,0.06382788181671167,0.29595330781029294,0.10057270581065043,0.09326508620689657,0.19311613361808827,0.05278504022149008,0.06094174362421292,0.3188786396412673,0.10339710648336736,0.14730603448275864,0.17018113829199513
all_candidates,RDKit2D,1856,1855.0,0.032934701275631466,0.42709056955138935,0.06934912398169847,0.060404663956259444,0.06798413585969848,0.26415606286592325,0.09822961063718351,0.036422413793103445,0.24100404565688224,0.04700008871010196,0.05555084766415994,0.27556319444030886,0.0678177440426959,0.08168103448275864,0.19311613361808827,0.04343193789303663,0.05233779429564706,0.2926648986458135,0.060028340586690106,0.12279094827586207,0.17018113829199513
all_candidates,NYAN,1856,1855.0,0.032934701275631466,0.4312648211695123,0.07281553398058253,0.054300263037175625,0.06268172027137255,0.24693565793909086,0.07572893388843115,0.026400862068965518,0.24100404565688224,0.045766337888701006,0.054499737626999285,0.2668892719788642,0.05979250977168304,0.07074353448275862,0.19311613361808827,0.04323772716615261,0.05216107071953015,0.28730379510170717,0.05709167572521489,0.11303879310344828,0.17018113829199513
all_candidates,Morgan,1856,1855.0,0.032934701275631466,0.4446057336420786,0.06885770049845627,0.058118145210804606,0.06613496567139741,0.25600950328482747,0.08645370914134276,0.03502155172413793,0.24100404565688224,0.04440833791179953,0.053462141721371,0.26673550324995565,0.05361674480636015,0.07914870689655172,0.19311613361808827,0.040876828856398977,0.050166104635430274,0.283186636493891,0.04513730147844067,0.11616379310344829,0.17018113829199513
all_candidates,AtomPair,1856,1855.0,0.032934701275631466,0.4365025352918201,0.07138107726072239,0.05477483101005923,0.06287560978178174,0.2480520929476641,0.07644746669030726,0.02747844827586207,0.24100404565688224,0.045903219248010975,0.054509439851417964,0.2674251911177668,0.06044752115598984,0.06982758620689657,0.19311613361808827,0.04367760291522026,0.052492026140080944,0.28838976321604326,0.05897689391925438,0.1136853448275862,0.17018113829199513
all_candidates,Avalon,1856,1855.0,0.032934701275631466,0.4459210107223896,0.07571757709333035,0.05498478843941428,0.06309968134629336,0.24688487195527956,0.07700670290061373,0.02931034482758621,0.24100404565688224,0.04442874815436236,0.05340858486752884,0.263481618056295,0.05263144903717673,0.07015086206896551,0.19311613361808827,0.041909514175386645,0.051086711732123986,0.28258891530973085,0.04781224530634925,0.10646551724137933,0.17018113829199513
all_candidates,Random,1856,1855.0,0.032934701275631466,0.49778423515790654,0.08990899220697095,0.03341097497950523,0.043497392987647356,0.18294621092994753,0.0033466007861434333,0.0049030172413793115,0.24100404565688224,0.03317709488486513,0.04325739300424955,0.21725697559270873,0.001057318257450761,0.027316810344827587,0.19311613361808827,0.03313400661712576,0.043186109378545966,0.2420116470311059,0.0012987766298311442,0.054310344827586204,0.17018113829199513
low_morgan_lt_0.15,CGP-Align,1856,1604.157327586207,0.0321966285025406,0.40832881591143055,0.07222703803645947,0.0541639464678894,0.062151010194523584,0.24459947510533975,0.07922003764344608,0.020096982758620693,0.227878924157342,0.0507002533579927,0.058886644277714756,0.28493628777346364,0.08907975044477559,0.07785560344827586,0.18359098091360246,0.04836611360911208,0.0567225135588581,0.31179221145497354,0.0922272578370551,0.13561422413793106,0.16154131988629472
low_morgan_lt_0.15,RDKit2D,1856,1604.157327586207,0.0321966285025406,0.44721472387672573,0.07994168827788409,0.03966021779797875,0.04850814480477019,0.20923343819490112,0.035328340392796545,0.010129310344827589,0.227878924157342,0.03847173434710838,0.04776150613846543,0.2460085184097696,0.03507494713413382,0.04612068965517241,0.18359098091360246,0.03815159226159936,0.04746405487554828,0.27338630208739007,0.03818325003396751,0.09030172413793104,0.16154131988629472
low_morgan_lt_0.15,NYAN,1856,1604.157327586207,0.0321966285025406,0.4465785191120663,0.08089759662040838,0.041589534994013064,0.05063746126900908,0.2127009568764006,0.03579400072035612,0.012877155172413793,0.227878924157342,0.03963487968167721,0.048834105659527706,0.24884907289490457,0.03755557946469361,0.051670258620689656,0.18359098091360246,0.03884707597125329,0.04807376883588823,0.2751532292337875,0.039192649669614964,0.09278017241379312,0.16154131988629472
low_morgan_lt_0.15,Morgan,1856,1604.157327586207,0.0321966285025406,0.47250095266025954,0.08137470951193328,0.035791582642574656,0.04549090748837845,0.1950661610631153,0.014172888427280834,0.007435344827586207,0.227878924157342,0.0352135395147947,0.04494797537426449,0.23257921668325854,0.016232216753141945,0.039116379310344826,0.18359098091360246,0.03515008737619119,0.044922778565613594,0.2602937569528213,0.01905442213908073,0.07860991379310345,0.16154131988629472
low_morgan_lt_0.15,AtomPair,1856,1604.157327586207,0.0321966285025406,0.45467356190429303,0.08021333977296528,0.04007798743619103,0.04897029134934991,0.20583855209455376,0.030732340772873113,0.01029094827586207,0.227878924157342,0.03979344274957839,0.048917111387991895,0.24703768379149527,0.03852198630841421,0.04886853448275862,0.18359098091360246,0.039223049663541155,0.048453171505955454,0.2748089615925461,0.04119639987139747,0.09391163793103449,0.16154131988629472
low_morgan_lt_0.15,Avalon,1856,1604.157327586207,0.0321966285025406,0.46179633028713013,0.0816405632466244,0.03849186418159973,0.04784263849000722,0.20284976349256428,0.023840975873639782,0.01007543103448276,0.227878924157342,0.037602916959797505,0.04713749578631183,0.24040578470047638,0.0263924895608496,0.042079741379310344,0.18359098091360246,0.037613560160662245,0.04711706941882956,0.26856137763705096,0.03095167521771888,0.08636853448275862,0.16154131988629472
low_morgan_lt_0.15,Random,1856,1604.157327586207,0.0321966285025406,0.49972581419574147,0.09186729905333267,0.032651222507909625,0.042623152761794715,0.18548331296947468,0.0011760927307162695,0.006734913793103448,0.227878924157342,0.03216972704564975,0.04222690847370329,0.22107846244544999,-0.00048079773400600174,0.03195043103448276,0.18359098091360246,0.03228543136954548,0.04234017701949771,0.2478038171660174,0.00041712285043680146,0.06109913793103448,0.16154131988629472
low_morgan_lt_0.20,CGP-Align,1856,1797.719827586207,0.03260497016607088,0.40554267671198696,0.07078617630969805,0.05575952501166287,0.06378392383081995,0.24495376516797032,0.08059132078629591,0.01875,0.2340920058926086,0.05223650871415635,0.06036072717976169,0.282759453303845,0.08996103164483932,0.07489224137931035,0.18896691391035786,0.050114460509691136,0.05838137174193585,0.30891849055431053,0.09463288574288956,0.13017241379310346,0.1670218144034052
low_morgan_lt_0.20,RDKit2D,1856,1797.719827586207,0.03260497016607088,0.44159569851568986,0.07707143447604302,0.042131296923349965,0.05091689929602963,0.21366067569465247,0.04118343028852758,0.011584051724137932,0.2340920058926086,0.04063063425449664,0.04963625455780479,0.24807441591204094,0.042613351862617145,0.0494073275862069,0.18896691391035786,0.039695558857108654,0.04890560697854664,0.27255860250035946,0.04230679547079672,0.09084051724137933,0.1670218144034052
low_morgan_lt_0.20,NYAN,1856,1797.719827586207,0.03260497016607088,0.4422837063181587,0.07822648188901155,0.04363834649392833,0.0525477733011134,0.2141809704974876,0.04144660815055356,0.013254310344827587,0.2340920058926086,0.04147344255557196,0.05051387239220934,0.24903959850437146,0.04294384958074942,0.051346982758620686,0.18896691391035786,0.040359732323401,0.049459536430928104,0.2736806375048978,0.0441190151235773,0.09143318965517243,0.1670218144034052
low_morgan_lt_0.20,Morgan,1856,1797.719827586207,0.03260497016607088,0.4636777619827707,0.07740562979566289,0.03883779119356628,0.04828544059956557,0.20141755330931244,0.024711699941787915,0.010614224137931037,0.2340920058926086,0.037068679917617114,0.04673407592808906,0.2353241539250419,0.022997418800025225,0.04207974137931035,0.18896691391035786,0.03678802135523201,0.0463980295535424,0.26078101792704456,0.025572455567165545,0.07941810344827586,0.1670218144034052
