display,auprc_mean,auroc_mean,auprc_sd,auroc_sd,n_task,auprc_se,auroc_se
AtomPair,0.43276440381756415,0.8347569954162841,0.1773900800014985,0.04560548268212493,5,0.07933125548349533,0.020395391884784154
Avalon,0.4136903489283836,0.8239494992484244,0.18820039317026804,0.05294971837535614,5,0.08416577450418129,0.02367983393535321
CGP-Align,0.49367243746476286,0.8628412522976481,0.14435562279664874,0.03926396739066353,5,0.06455779710152497,0.01755938003037174
Morgan,0.39717544994332815,0.8217866912562819,0.16947527350563524,0.03835146526880189,5,0.07579164641279389,0.017151296675552655
NYAN,0.4305171509861494,0.8388708528465957,0.18982941435674636,0.05156216986808547,5,0.08489429492613187,0.023059303378486093
RDKit2D,0.4658894960243313,0.8604179030698313,0.19177775528707672,0.048421794000222174,5,0.08576561947884465,0.021654884595397647
