dataset,factor,groups,mean_r2,median_r2,max_r2,p90_r2
Compound,entity,115786,0.3067368853752599,0.3071688230536583,0.4711651412603226,0.3443830218642079
Compound,plate,1668,0.0011705574763158,0.0010839428004012,0.0027284742855164,0.0017878875582558
Compound,well,1526,0.0020840494172376,0.0019912608665319,0.0047450941152797,0.0028641822392184
Gene,entity,23100,0.4335269690817769,0.4278821861926725,0.6465555061224083,0.513410795674376
Gene,plate,366,0.0007753636394422,0.0007661711886201,0.0013216498691059,0.0008890614904402
Gene,well,380,0.0018755764864074,0.0018272985735675,0.0031847025826403,0.0022714689490773
