display,representation,n_task,mean_auprc,sd_endpoint_auprc,mean_auroc,sd_endpoint_auroc
AtomPair,AtomPair2048,5,0.37849555847290983,0.15993225605129738,0.7900126279621459,0.04862212681894142
Avalon,Avalon1024,5,0.35885575994866736,0.1458630731983878,0.7818815450637281,0.04411226483190991
CGP-Align,CGP-Align,5,0.46592677945442607,0.14057994981643598,0.8447794995740946,0.033390482585958545
Morgan,Morgan2048,5,0.35531108011812595,0.1323635124385872,0.791366788089086,0.027761796971347903
NYAN,NYAN_latent,5,0.38060133171445365,0.16176237590959028,0.8010992127957944,0.04398384778363213
RDKit2D,RDKit2D,5,0.43081792422788245,0.1727876648727516,0.8376519396736729,0.04126482139129575
