CGP-Align,RDKit2D,active_label,active_lift,active_queries,active_threshold,best_functional_neighbor_rank_percentile,candidate_active_rate,cgp_better,directed_active_hits,functional_top10_in_top100_rate,functional_top10_in_top10_rate,functional_top10_in_top50_rate,hit_yield_per_1000_ranked,low_tanimoto,mean_functional_neighbor_rank_percentile,method,method_score,morgan_tanimoto,n_query,ndcg10,ndcg100,ndcg50,num_active_compounds,num_candidates,num_queries,oracle_top100_corr,oracle_top10_corr,oracle_top50_corr,pair,query_hit_rate,query_inchikey,query_moa,query_name,query_u2os_lfc,random_expected_corr,rank,retention10,retention100,retention50,retrieved_inchikey,retrieved_moa,retrieved_name,retrieved_u2os_lfc,same,setting,source_file,tan_label,top100_corr,top100_poscorr,top10_corr,top10_poscorr,top50_corr,top50_poscorr,top_active_fraction,top_mean_absdiff,top_mean_lfc,top_median_absdiff,topk,u2os_absdiff,unique_active_pairs
,,LFC <= -1,1.6598346203095449,187,-1,,0.09869096702207704,,1512,,,,161.71122994652407,0.2,,RDKit2D,,,,,,,187,,,,,,,0.962566844919786,,,,,,,,,,,,,,,low_morgan_lt_0.20,figure6_panel_a_u2os_yield_source.csv,,,,,,,,0.1617112299465241,2.069738362508858,-0.25947430751138284,2.1801205494367633,50,,1173
,,LFC <= -1,1.7240325782647474,187,-1,,0.09869096702207704,,1574,,,,168.34224598930481,0.2,,NYAN,,,,,,,187,,,,,,,0.9786096256684492,,,,,,,,,,,,,,,low_morgan_lt_0.20,figure6_panel_a_u2os_yield_source.csv,,,,,,,,0.16834224598930483,2.0673920972517106,-0.27694970529433716,2.1608437781342316,50,,1151
,,LFC <= -1,1.2618944881969856,187,-1,,0.09869096702207704,,1154,,,,123.42245989304811,0.2,,Morgan,,,,,,,187,,,,,,,0.983957219251337,,,,,,,,,,,,,,,low_morgan_lt_0.20,figure6_panel_a_u2os_yield_source.csv,,,,,,,,0.12342245989304812,2.1369453241064886,-0.1642032615547218,2.2363390457395584,50,,740
,,LFC <= -1,1.785774933759453,187,-1,,0.09869096702207704,,1627,,,,174.01069518716577,0.2,,AtomPair,,,,,,,187,,,,,,,0.9893048128342246,,,,,,,,,,,,,,,low_morgan_lt_0.20,figure6_panel_a_u2os_yield_source.csv,,,,,,,,0.17401069518716578,2.0335914905574346,-0.3072895986887746,2.1275989222682683,50,,1167
,,LFC <= -1,1.5295007220005206,187,-1,,0.09869096702207704,,1401,,,,149.83957219251337,0.2,,Avalon,,,,,,,187,,,,,,,0.9786096256684492,,,,,,,,,,,,,,,low_morgan_lt_0.20,figure6_panel_a_u2os_yield_source.csv,,,,,,,,0.1498395721925134,2.099973018216573,-0.2471907293261091,2.208649812449102,50,,981
,,LFC <= -1,1.031300535264314,187,-1,,0.09869096702207704,,952,,,,101.81818181818184,0.2,,Random,,,,,,,187,,,,,,,1,,,,,,,,,,,,,,,low_morgan_lt_0.20,figure6_panel_a_u2os_yield_source.csv,,,,,,,,0.10181818181818184,2.15490181075973,-0.112528474270777,2.249179057443868,50,,931
,,,1.2618944881969856,187,-1,,0.09869096702207704,,1154,,,,123.42245989304811,0.2,,Morgan,,,,,,,187,,,,,,,0.983957219251337,,,,,,,,,,,,,,,low_morgan_lt_0.20,figure6_panel_b_u2os_pairs_source.csv,,,,,,,,0.12342245989304812,2.1369453241064886,-0.1642032615547218,2.2363390457395584,50,,740
,,,1.5295007220005206,187,-1,,0.09869096702207704,,1401,,,,149.83957219251337,0.2,,Avalon,,,,,,,187,,,,,,,0.9786096256684492,,,,,,,,,,,,,,,low_morgan_lt_0.20,figure6_panel_b_u2os_pairs_source.csv,,,,,,,,0.1498395721925134,2.099973018216573,-0.2471907293261091,2.208649812449102,50,,981
,,,1.7240325782647474,187,-1,,0.09869096702207704,,1574,,,,168.34224598930481,0.2,,NYAN,,,,,,,187,,,,,,,0.9786096256684492,,,,,,,,,,,,,,,low_morgan_lt_0.20,figure6_panel_b_u2os_pairs_source.csv,,,,,,,,0.16834224598930483,2.0673920972517106,-0.27694970529433716,2.1608437781342316,50,,1151
,,,1.785774933759453,187,-1,,0.09869096702207704,,1627,,,,174.01069518716577,0.2,,AtomPair,,,,,,,187,,,,,,,0.9893048128342246,,,,,,,,,,,,,,,low_morgan_lt_0.20,figure6_panel_b_u2os_pairs_source.csv,,,,,,,,0.17401069518716578,2.0335914905574346,-0.3072895986887746,2.1275989222682683,50,,1167
