evaluation,independent_run,direction,direction_short,candidate_setting,metric,value,unit,negative_count,positive_count_mean,source_family
full_gallery,37,Profile to compound,P-C,all held-out candidates,Recall@5,2.29,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,37,Profile to compound,P-C,all held-out candidates,Recall@10,3.79,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,37,Profile to compound,P-C,all held-out candidates,MRR,1.87,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,37,Profile to compound,P-C,all held-out candidates,Median rank,870.00,rank,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,37,Gene to profile,G-P,all held-out candidates,Recall@1,0.93,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,37,Gene to profile,G-P,all held-out candidates,Recall@5,3.42,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,37,Gene to profile,G-P,all held-out candidates,Recall@10,5.15,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,37,Gene to profile,G-P,all held-out candidates,MRR,2.63,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,37,Gene to profile,G-P,all held-out candidates,Median rank,593.50,rank,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,37,Profile to gene,P-G,all held-out candidates,Recall@1,0.91,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,37,Profile to gene,P-G,all held-out candidates,Recall@5,2.79,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,37,Profile to gene,P-G,all held-out candidates,Recall@10,4.56,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,37,Profile to gene,P-G,all held-out candidates,MRR,2.45,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,37,Profile to gene,P-G,all held-out candidates,Median rank,506.50,rank,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Compound to profile,C-P,all held-out candidates,Recall@1,1.06,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Compound to profile,C-P,all held-out candidates,Recall@5,3.85,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Compound to profile,C-P,all held-out candidates,Recall@10,6.18,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Compound to profile,C-P,all held-out candidates,MRR,2.91,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Compound to profile,C-P,all held-out candidates,Median rank,712.00,rank,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Profile to compound,P-C,all held-out candidates,Recall@1,0.65,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Profile to compound,P-C,all held-out candidates,Recall@5,2.38,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Profile to compound,P-C,all held-out candidates,Recall@10,3.88,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Profile to compound,P-C,all held-out candidates,MRR,1.95,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Profile to compound,P-C,all held-out candidates,Median rank,856.00,rank,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Gene to profile,G-P,all held-out candidates,Recall@1,0.97,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Gene to profile,G-P,all held-out candidates,Recall@5,3.57,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Gene to profile,G-P,all held-out candidates,Recall@10,5.25,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Gene to profile,G-P,all held-out candidates,MRR,2.68,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Gene to profile,G-P,all held-out candidates,Median rank,636.00,rank,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Profile to gene,P-G,all held-out candidates,Recall@1,0.76,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Profile to gene,P-G,all held-out candidates,Recall@5,2.59,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Profile to gene,P-G,all held-out candidates,Recall@10,4.15,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Profile to gene,P-G,all held-out candidates,MRR,2.24,percent,,,Primary CGP-Align metric files used for Fig. 2
full_gallery,41,Profile to gene,P-G,all held-out candidates,Median rank,541.00,rank,,,Primary CGP-Align metric files used for Fig. 2
