entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,stage_key,stage_label,pca1,pca2
9128,IAPP|crispr|JCP2022_803308,gene,gene_embedding,gene_embedding::crispr,IAPP,crispr,IAPP::crispr,branch_pretrained,Before joint training,-0.59256756,0.3997084
9153,ID3|orf|JCP2022_906011,gene,gene_embedding,gene_embedding::orf,ID3,orf,ID3::orf,branch_pretrained,Before joint training,-0.6723741,-0.4973339
9164,IDH3G|crispr|JCP2022_803324,gene,gene_embedding,gene_embedding::crispr,IDH3G,crispr,IDH3G::crispr,branch_pretrained,Before joint training,-0.58875823,0.3915997
9165,IDH3G|orf|JCP2022_906012,gene,gene_embedding,gene_embedding::orf,IDH3G,orf,IDH3G::orf,branch_pretrained,Before joint training,-0.67802185,-0.44993725
9166,IDH3G|orf|JCP2022_912943,gene,gene_embedding,gene_embedding::orf,IDH3G,orf,IDH3G::orf,branch_pretrained,Before joint training,-0.67802185,-0.44993725
9167,IDI1|crispr|JCP2022_803325,gene,gene_embedding,gene_embedding::crispr,IDI1,crispr,IDI1::crispr,branch_pretrained,Before joint training,-0.5568917,0.38661623
9168,IDI1|orf|JCP2022_910158,gene,gene_embedding,gene_embedding::orf,IDI1,orf,IDI1::orf,branch_pretrained,Before joint training,-0.67139804,-0.37206826
9169,IDI1|orf|JCP2022_914460,gene,gene_embedding,gene_embedding::orf,IDI1,orf,IDI1::orf,branch_pretrained,Before joint training,-0.67139804,-0.37206826
9174,IDO1|crispr|JCP2022_803328,gene,gene_embedding,gene_embedding::crispr,IDO1,crispr,IDO1::crispr,branch_pretrained,Before joint training,-0.572338,0.34905916
9175,IDO1|orf|JCP2022_900813,gene,gene_embedding,gene_embedding::orf,IDO1,orf,IDO1::orf,branch_pretrained,Before joint training,-0.70524365,-0.4832979
9256,IGFBP1|orf|JCP2022_906021,gene,gene_embedding,gene_embedding::orf,IGFBP1,orf,IGFBP1::orf,branch_pretrained,Before joint training,-0.6944279,-0.4865975
9312,IGSF6|orf|JCP2022_907086,gene,gene_embedding,gene_embedding::orf,IGSF6,orf,IGSF6::orf,branch_pretrained,Before joint training,-0.6561351,-0.41025534
9319,IKBKB|crispr|JCP2022_803352,gene,gene_embedding,gene_embedding::crispr,IKBKB,crispr,IKBKB::crispr,branch_pretrained,Before joint training,-0.55593956,0.41687378
9329,IKZF2|orf|JCP2022_902517,gene,gene_embedding,gene_embedding::orf,IKZF2,orf,IKZF2::orf,branch_pretrained,Before joint training,-0.6596808,-0.4384596
9342,IL11RA|crispr|JCP2022_803364,gene,gene_embedding,gene_embedding::crispr,IL11RA,crispr,IL11RA::crispr,branch_pretrained,Before joint training,-0.58864236,0.3948114
9343,IL12A|orf|JCP2022_900804,gene,gene_embedding,gene_embedding::orf,IL12A,orf,IL12A::orf,branch_pretrained,Before joint training,-0.64995474,-0.34828874
9364,IL17RB|crispr|JCP2022_803372,gene,gene_embedding,gene_embedding::crispr,IL17RB,crispr,IL17RB::crispr,branch_pretrained,Before joint training,-0.5902175,0.3780275
9378,IL1R2|crispr|JCP2022_803378,gene,gene_embedding,gene_embedding::crispr,IL1R2,crispr,IL1R2::crispr,branch_pretrained,Before joint training,-0.5817517,0.38770795
9379,IL1R2|orf|JCP2022_901708,gene,gene_embedding,gene_embedding::orf,IL1R2,orf,IL1R2::orf,branch_pretrained,Before joint training,-0.70016444,-0.47532263
9406,IL23A|orf|JCP2022_914828,gene,gene_embedding,gene_embedding::orf,IL23A,orf,IL23A::orf,branch_pretrained,Before joint training,-0.6773542,-0.44237372
9441,IL5RA|crispr|JCP2022_803401,gene,gene_embedding,gene_embedding::crispr,IL5RA,crispr,IL5RA::crispr,branch_pretrained,Before joint training,-0.57007575,0.34649503
9443,IL5RA|orf|JCP2022_906029,gene,gene_embedding,gene_embedding::orf,IL5RA,orf,IL5RA::orf,branch_pretrained,Before joint training,-0.6638881,-0.36403868
9525,INPP4A|crispr|JCP2022_803430,gene,gene_embedding,gene_embedding::crispr,INPP4A,crispr,INPP4A::crispr,branch_pretrained,Before joint training,-0.5619921,0.43083745
9526,INPP4A|orf|JCP2022_906042,gene,gene_embedding,gene_embedding::orf,INPP4A,orf,INPP4A::orf,branch_pretrained,Before joint training,-0.6845778,-0.4722583
9532,INPP5D|crispr|JCP2022_803434,gene,gene_embedding,gene_embedding::crispr,INPP5D,crispr,INPP5D::crispr,branch_pretrained,Before joint training,-0.57406056,0.40798756
9542,INS|orf|JCP2022_900819,gene,gene_embedding,gene_embedding::orf,INS,orf,INS::orf,branch_pretrained,Before joint training,-0.6480782,-0.452939
9547,INSL3|orf|JCP2022_906043,gene,gene_embedding,gene_embedding::orf,INSL3,orf,INSL3::orf,branch_pretrained,Before joint training,-0.6484928,-0.43282387
9564,INTS5|orf|JCP2022_903955,gene,gene_embedding,gene_embedding::orf,INTS5,orf,INTS5::orf,branch_pretrained,Before joint training,-0.7126311,-0.47871885
