independent_run,direction,short,branch,candidate_setting,metric,observed,random_ranking,fold_enrichment,positive_count_mean,negative_count,num_queries,num_gallery
41,Compound to profile,C-P,compound-profile,full gallery,Recall@1,0.007514251166004491,8.63707030575155e-05,87.00000000000743,5.625755743651753,65129.374244256345,11578,65135
41,Compound to profile,C-P,compound-profile,full gallery,Recall@5,0.029193297633442736,0.00043163456168780675,67.63429119134743,5.625755743651753,65129.374244256345,11578,65135
41,Compound to profile,C-P,compound-profile,full gallery,Recall@10,0.04724477457246502,0.0008627249762617015,54.762265927645586,5.625755743651753,65129.374244256345,11578,65135
41,Profile to compound,P-C,compound-profile,1:100 sampled,Top1,0.13455438704229677,0.009900990099009908,13.589993091271964,1.0,100.0,65135,11578
41,Profile to compound,P-C,compound-profile,1:100 sampled,Top10,0.511956705304368,0.0990099009900991,5.1707627235741125,1.0,100.0,65135,11578
41,Profile to compound,P-C,compound-profile,full gallery,Recall@1,0.004820756889537115,8.637070305750338e-05,55.81472326707332,1.0,11577.0,65135,11578
41,Profile to compound,P-C,compound-profile,full gallery,Recall@5,0.018331158363399096,0.00043185351528762794,42.44763030628562,1.0,11577.0,65135,11578
41,Profile to compound,P-C,compound-profile,full gallery,Recall@10,0.031043217931987412,0.0008637070305751449,35.94183772165852,1.0,11577.0,65135,11578
41,Gene to profile,G-P,gene-profile,1:100 sampled,Top1,0.19400088222320247,0.04901493559424498,3.9579952492272743,5.160564622849581,100.0,2267,11699
41,Gene to profile,G-P,gene-profile,1:100 sampled,Top10,0.6533745037494486,0.40755641230098605,1.6031510829644915,5.160564622849581,100.0,2267,11699
41,Gene to profile,G-P,gene-profile,full gallery,Recall@1,0.012792236435818262,0.0004411116012350925,29.00000000000131,5.160564622849581,11693.839435377151,2267,11699
41,Gene to profile,G-P,gene-profile,full gallery,Recall@5,0.033083370092633436,0.0022039378784242513,15.011026588592888,5.160564622849581,11693.839435377151,2267,11699
41,Gene to profile,G-P,gene-profile,full gallery,Recall@10,0.05205116894574327,0.004403829188626529,11.819524944376202,5.160564622849581,11693.839435377151,2267,11699
41,Profile to gene,P-G,gene-profile,1:100 sampled,Top1,0.06835626976664673,0.00990099009900991,6.903983246431314,1.0,100.0,11699,2267
41,Profile to gene,P-G,gene-profile,1:100 sampled,Top10,0.34155910761603553,0.0990099009900991,3.449746986921956,1.0,100.0,11699,2267
41,Profile to gene,P-G,gene-profile,full gallery,Recall@1,0.005470553038721258,0.00044111160123516685,12.401743738779563,1.0,2266.0,11699,2267
41,Profile to gene,P-G,gene-profile,full gallery,Recall@5,0.025814172151465937,0.002205558006175612,11.704145653474393,1.0,2266.0,11699,2267
41,Profile to gene,P-G,gene-profile,full gallery,Recall@10,0.042225831267629715,0.004411116012351002,9.572595948371923,1.0,2266.0,11699,2267
