compound_id,method,hits_at_50,best_positive_rank
WLLOFQROROXOMO-UHFFFAOYSA-N,Structure feature baseline,0,597
WTFSEHWTZOIQTF-UHFFFAOYSA-N,Structure feature baseline,0,988
NAEXBFKTMHQWFM-UHFFFAOYSA-N,Structure feature baseline,0,255
OYTFTYXFAYZEJQ-UHFFFAOYSA-N,Structure feature baseline,0,254
RBPCOBANNCRIGB-UHFFFAOYSA-N,Structure feature baseline,0,454
AMVQKYZUUAAEMJ-UHFFFAOYSA-N,Structure feature baseline,0,976
VRLZULCIPZFSKZ-UHFFFAOYSA-N,Structure feature baseline,0,441
YXJUHBWJTYLCDH-UHFFFAOYSA-N,Structure feature baseline,0,1563
MDLMYXJWJAKLGV-UHFFFAOYSA-N,Structure feature baseline,0,267
VJMVIPHYPAAYCX-UHFFFAOYSA-N,Structure feature baseline,0,1072
WJGFBUXKBPZADL-UHFFFAOYSA-N,Structure feature baseline,0,197
VSLRDMCBABHKEU-UHFFFAOYSA-N,Structure feature baseline,2,2
LFUAXBLCUVVLFT-UHFFFAOYSA-N,Structure feature baseline,0,413
FRXDLLDPQIYSRD-UHFFFAOYSA-N,Structure feature baseline,0,1827
JYVRASXLNCLXOB-UHFFFAOYSA-N,Structure feature baseline,0,1480
SNESRUOFSCJAOM-UHFFFAOYSA-N,Structure feature baseline,0,537
TYPPIJPVDZFTQR-UHFFFAOYSA-N,Structure feature baseline,0,2880
RTPUFTQNWMZXBZ-UHFFFAOYSA-N,Structure feature baseline,0,431
MIXBEGYERQFBPX-UHFFFAOYSA-N,Structure feature baseline,0,284
YGGPMRHZIGSIOX-UHFFFAOYSA-N,Structure feature baseline,0,846
DHXOFBFXVQTYFQ-UHFFFAOYSA-N,Structure feature baseline,0,523
BOHLAJCRAWENCC-UHFFFAOYSA-N,Structure feature baseline,1,12
KYDCSYHFIYUODF-UHFFFAOYSA-N,Structure feature baseline,0,318
GFMPJDRSKOVISV-UHFFFAOYSA-N,Structure feature baseline,0,1782
UHFHBXNMDGIZDX-UHFFFAOYSA-N,Structure feature baseline,0,777
LNSCZOSZGROZEL-UHFFFAOYSA-N,Structure feature baseline,1,43
LHGVFZTZFXWLCP-UHFFFAOYSA-N,Structure feature baseline,1,27
DVFBNHDQAXZGST-UHFFFAOYSA-N,Structure feature baseline,0,270
MRIIBFPACCDAPA-UHFFFAOYSA-N,Structure feature baseline,0,945
SGAUWIYBLBTXLZ-UHFFFAOYSA-N,Structure feature baseline,0,2319
QLFFGWSTOJENHR-UHFFFAOYSA-N,Structure feature baseline,0,234
QHTOCNIUJMLPKA-UHFFFAOYSA-N,Structure feature baseline,0,1619
KCRRTSPBAVBYCI-UHFFFAOYSA-N,Structure feature baseline,0,65
MIBZLKQQLDBEEL-UHFFFAOYSA-N,Structure feature baseline,0,269
NVWFCLOBNVFWGR-UHFFFAOYSA-N,Structure feature baseline,0,759
GKLDKDJHPVFYRO-UHFFFAOYSA-N,Structure feature baseline,0,249
YYFNAUMKSAMZPX-UHFFFAOYSA-N,Structure feature baseline,0,838
UJHSXUDBJCOARA-UHFFFAOYSA-N,Structure feature baseline,1,16
ZOAAMYKNYQEADJ-UHFFFAOYSA-N,Structure feature baseline,0,522
IDUBYBGCCODKBB-UHFFFAOYSA-N,Structure feature baseline,2,3
QZTKDVCDBIDYMD-UHFFFAOYSA-N,Structure feature baseline,0,143
NKNMJBYYBPVIEC-UHFFFAOYSA-N,Structure feature baseline,0,52
WGVDNVHWCMJSIY-UHFFFAOYSA-N,Structure feature baseline,0,97
LFIDWCREKDYWTB-UHFFFAOYSA-N,Structure feature baseline,0,730
NGLAEEZDGNTAPW-UHFFFAOYSA-N,Structure feature baseline,0,1597
LXRDKCONIKGHKU-UHFFFAOYSA-N,Structure feature baseline,0,318
CBXGJFOBNJJZNK-UHFFFAOYSA-N,Structure feature baseline,0,51
FZNCGRZWXLXZSZ-UHFFFAOYSA-N,Structure feature baseline,1,19
FZVSXXPDCUJTCD-UHFFFAOYSA-N,Structure feature baseline,0,1568
FYZGRPKPTZFLHI-UHFFFAOYSA-N,Structure feature baseline,0,103
RFKJTPMILUSGRM-UHFFFAOYSA-N,Structure feature baseline,1,17
ZNWCBZBEDNZFMY-UHFFFAOYSA-N,Structure feature baseline,0,2887
MFHOZHNRKURQCA-UHFFFAOYSA-N,Structure feature baseline,0,607
YDFVFQNAAMMOQK-UHFFFAOYSA-N,Structure feature baseline,0,524
UNWAGXXLLQGMDU-UHFFFAOYSA-N,Structure feature baseline,0,342
PVZAAFDWYBDOJJ-UHFFFAOYSA-N,Structure feature baseline,0,1004
PPQUYPDQNLCGNW-UHFFFAOYSA-N,Structure feature baseline,1,31
XIMXRGCFBPQVDG-UHFFFAOYSA-N,Structure feature baseline,0,2162
LXLWJVTVALRHOL-UHFFFAOYSA-N,Structure feature baseline,0,452
UJPRLOZSIQTLON-UHFFFAOYSA-N,Structure feature baseline,0,690
NOIIUHRQUVNIDD-UHFFFAOYSA-N,Structure feature baseline,0,423
QFUJEGWHMGYJGQ-UHFFFAOYSA-N,Structure feature baseline,0,1428
LTZCLWKHPQPYDE-UHFFFAOYSA-N,Structure feature baseline,0,968
LCGHSAKNPGTFHS-UHFFFAOYSA-N,Structure feature baseline,0,188
KZVBQSWKYHZWKT-UHFFFAOYSA-N,Structure feature baseline,0,711
SEINYRIQYWBMFP-UHFFFAOYSA-N,Structure feature baseline,0,511
CGAWCGBZOHMJMU-UHFFFAOYSA-N,Structure feature baseline,0,1069
GDDZAIWDRXDZOP-UHFFFAOYSA-N,Structure feature baseline,0,828
XQAQETNVKPDCNG-UHFFFAOYSA-N,Structure feature baseline,0,1266
CCVLVNUMBZTHNK-UHFFFAOYSA-N,Structure feature baseline,0,1344
DBDKPCWPDCPMOD-UHFFFAOYSA-N,Structure feature baseline,0,553
UJJNRJKNNJJNNY-UHFFFAOYSA-N,Structure feature baseline,0,713
WZXNLRBQNURCOD-UHFFFAOYSA-N,Structure feature baseline,0,188
RDYHINJVSIBMHP-UHFFFAOYSA-N,Structure feature baseline,0,877
AQJDPAHFVGNUJL-UHFFFAOYSA-N,Structure feature baseline,0,1698
CEFLWSAIARGPKJ-UHFFFAOYSA-N,Structure feature baseline,0,1445
FNYOYEPUQZFJJU-UHFFFAOYSA-N,Structure feature baseline,0,1448
NLIAETDSSMFGED-UHFFFAOYSA-N,Structure feature baseline,1,45
FFIUWCSPDKEXRB-UHFFFAOYSA-N,Structure feature baseline,0,1161
YGFHVYMVFLSQPF-UHFFFAOYSA-N,Structure feature baseline,0,267
UTMJCUYUAFTLCK-UHFFFAOYSA-N,Structure feature baseline,0,811
OTBBZSWJRJHNTB-UHFFFAOYSA-N,Structure feature baseline,0,416
PAQRWPBNUWPHKT-UHFFFAOYSA-N,Structure feature baseline,0,174
CQRJQTWPVAFTGK-UHFFFAOYSA-N,Structure feature baseline,0,4724
VEWWNDBQFWKMQY-UHFFFAOYSA-N,Structure feature baseline,0,1552
YEBMRJJDTDKJLY-UHFFFAOYSA-N,Structure feature baseline,0,161
BMENPHKNTXOUFR-UHFFFAOYSA-N,Structure feature baseline,0,150
STGPJICGCFDXMA-UHFFFAOYSA-N,Structure feature baseline,0,1560
