stage_order,stage_key,stage_label,entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,pca_scope,pca_panel,pca1,pca2,latent_dim1,latent_dim2
3,joint_aligned,After CGP-Align alignment,110250,YVTCGVUVNFBOCB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,YVTCGVUVNFBOCB-UHFFFAOYSA-N,shared,Shared latent,-0.2538814,-0.33563352,-0.2538814,-0.33563352
3,joint_aligned,After CGP-Align alignment,110385,YWKZUBDNNZWSAR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,YWKZUBDNNZWSAR-UHFFFAOYSA-N,shared,Shared latent,-0.21128035,-0.22510195,-0.21128035,-0.22510195
3,joint_aligned,After CGP-Align alignment,110603,YXMRAQGFQPXKED-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,YXMRAQGFQPXKED-UHFFFAOYSA-N,shared,Shared latent,0.018871874,0.19262256,0.018871874,0.19262256
3,joint_aligned,After CGP-Align alignment,110747,YYGHISZHOVFORD-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,YYGHISZHOVFORD-UHFFFAOYSA-N,shared,Shared latent,-0.35552976,-0.27397874,-0.35552976,-0.27397874
3,joint_aligned,After CGP-Align alignment,110821,YYPNJNDODFVZLE-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,YYPNJNDODFVZLE-UHFFFAOYSA-N,shared,Shared latent,-0.2734571,0.1511361,-0.2734571,0.1511361
3,joint_aligned,After CGP-Align alignment,110822,YYPOKRVBQDTFLG-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,YYPOKRVBQDTFLG-UHFFFAOYSA-N,shared,Shared latent,-0.2968408,-0.03912256,-0.2968408,-0.03912256
3,joint_aligned,After CGP-Align alignment,110948,YZKCOWZQMVGRAW-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,YZKCOWZQMVGRAW-UHFFFAOYSA-N,shared,Shared latent,-0.15270284,-0.30117458,-0.15270284,-0.30117458
3,joint_aligned,After CGP-Align alignment,111267,ZBADNDZGPVJEDL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZBADNDZGPVJEDL-UHFFFAOYSA-N,shared,Shared latent,-0.09236707,0.053857975,-0.09236707,0.053857975
3,joint_aligned,After CGP-Align alignment,111483,ZCCNPRQLFQFIKA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZCCNPRQLFQFIKA-UHFFFAOYSA-N,shared,Shared latent,0.07399273,0.11523417,0.07399273,0.11523417
3,joint_aligned,After CGP-Align alignment,111758,ZDTPCJRCMSXXTF-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZDTPCJRCMSXXTF-UHFFFAOYSA-N,shared,Shared latent,0.06588459,0.21675104,0.06588459,0.21675104
3,joint_aligned,After CGP-Align alignment,111953,ZEZMVIDRCLXFGB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZEZMVIDRCLXFGB-UHFFFAOYSA-N,shared,Shared latent,-0.24298237,-0.17246926,-0.24298237,-0.17246926
3,joint_aligned,After CGP-Align alignment,112128,ZGAAECTVEOBXOK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZGAAECTVEOBXOK-UHFFFAOYSA-N,shared,Shared latent,-0.28765914,0.11587268,-0.28765914,0.11587268
3,joint_aligned,After CGP-Align alignment,112188,ZGIFHBGXHOMSAO-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZGIFHBGXHOMSAO-UHFFFAOYSA-N,shared,Shared latent,-0.44079518,0.038413852,-0.44079518,0.038413852
3,joint_aligned,After CGP-Align alignment,112206,ZGKRCALNLNWBGL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZGKRCALNLNWBGL-UHFFFAOYSA-N,shared,Shared latent,-0.037219614,0.03832539,-0.037219614,0.03832539
3,joint_aligned,After CGP-Align alignment,112251,ZGQSSFHSPCVRBU-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZGQSSFHSPCVRBU-UHFFFAOYSA-N,shared,Shared latent,-0.24590033,-0.058919676,-0.24590033,-0.058919676
3,joint_aligned,After CGP-Align alignment,112336,ZHAOAOADOMXAJV-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZHAOAOADOMXAJV-UHFFFAOYSA-N,shared,Shared latent,-0.14651945,-0.22327459,-0.14651945,-0.22327459
3,joint_aligned,After CGP-Align alignment,112489,ZHXNZTQIHHWLGB-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZHXNZTQIHHWLGB-UHFFFAOYSA-N,shared,Shared latent,-0.26734984,-0.17064217,-0.26734984,-0.17064217
3,joint_aligned,After CGP-Align alignment,112506,ZIAMHCWETSUHSI-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZIAMHCWETSUHSI-UHFFFAOYSA-N,shared,Shared latent,-0.09778613,-0.0982664,-0.09778613,-0.0982664
3,joint_aligned,After CGP-Align alignment,112550,ZIGIXWZXXFLIRL-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZIGIXWZXXFLIRL-UHFFFAOYSA-N,shared,Shared latent,-0.13927838,0.12631375,-0.13927838,0.12631375
3,joint_aligned,After CGP-Align alignment,112627,ZIPIAVASCUUAGW-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZIPIAVASCUUAGW-UHFFFAOYSA-N,shared,Shared latent,-0.3400384,-0.33713225,-0.3400384,-0.33713225
3,joint_aligned,After CGP-Align alignment,112681,ZIXCPZCIOVHVRC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZIXCPZCIOVHVRC-UHFFFAOYSA-N,shared,Shared latent,-0.11437717,-0.17909291,-0.11437717,-0.17909291
3,joint_aligned,After CGP-Align alignment,112745,ZJFZEJNQZFLQPC-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZJFZEJNQZFLQPC-UHFFFAOYSA-N,shared,Shared latent,0.09978673,0.3251639,0.09978673,0.3251639
3,joint_aligned,After CGP-Align alignment,112751,ZJHCJYYBQKUOHR-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZJHCJYYBQKUOHR-UHFFFAOYSA-N,shared,Shared latent,-0.3470669,-0.34450635,-0.3470669,-0.34450635
3,joint_aligned,After CGP-Align alignment,112775,ZJMLDNRAZWLIIK-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZJMLDNRAZWLIIK-UHFFFAOYSA-N,shared,Shared latent,0.038616955,0.080038086,0.038616955,0.080038086
3,joint_aligned,After CGP-Align alignment,112836,ZJUODEFZQSZWNZ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZJUODEFZQSZWNZ-UHFFFAOYSA-N,shared,Shared latent,-0.11632925,0.16843267,-0.11632925,0.16843267
3,joint_aligned,After CGP-Align alignment,112928,ZKHGSUBHWMZFOZ-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZKHGSUBHWMZFOZ-UHFFFAOYSA-N,shared,Shared latent,-0.30627513,-0.48855764,-0.30627513,-0.48855764
3,joint_aligned,After CGP-Align alignment,113152,ZLKFUJXXNYZPNA-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZLKFUJXXNYZPNA-UHFFFAOYSA-N,shared,Shared latent,-0.11070317,-0.08047009,-0.11070317,-0.08047009
3,joint_aligned,After CGP-Align alignment,113157,ZLKMBYIAWQJUPM-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZLKMBYIAWQJUPM-UHFFFAOYSA-N,shared,Shared latent,-0.34429577,-0.45517504,-0.34429577,-0.45517504
3,joint_aligned,After CGP-Align alignment,113220,ZLVOBCFPADRLNE-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZLVOBCFPADRLNE-UHFFFAOYSA-N,shared,Shared latent,-0.27032387,-0.45792508,-0.27032387,-0.45792508
3,joint_aligned,After CGP-Align alignment,113231,ZLXJKPOADWUKCT-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZLXJKPOADWUKCT-UHFFFAOYSA-N,shared,Shared latent,-0.08844678,-0.059188016,-0.08844678,-0.059188016
3,joint_aligned,After CGP-Align alignment,113409,ZMZAMSYWXNSYBY-UHFFFAOYSA-N,compound,compound_structure,compound_structure,,,ZMZAMSYWXNSYBY-UHFFFAOYSA-N,shared,Shared latent,-0.27639848,0.055837266,-0.27639848,0.055837266
