scope,method,k,n_query,n_gallery,hit_at_k,recall_at_k,precision_enrichment,mean_best_positive_rank
compound_to_compound,CGP-Align entity,50,11578,11577,0.1543444463637934,0.021031266194506824,4.8695793746761105,698.7829504232164
compound_to_compound,CGP-Align entity,100,11578,11577,0.23777854551736052,0.03531698048022111,4.088646830195198,698.7829504232164
compound_to_compound,CGP entity -> profile anchor,50,11578,11577,0.20219381585766108,0.04110381758507514,9.5171779236483,787.1167731905338
compound_to_compound,CGP entity -> profile anchor,100,11578,11577,0.29530143375367074,0.06660908619796164,7.711333909138021,787.1167731905338
compound_to_compound,CGP profile encoder,50,11578,11577,0.4218345137329418,0.11351701502850234,26.28372965969943,390.1614268440145
compound_to_compound,CGP profile encoder,100,11578,11577,0.5268612886508897,0.154672655035412,17.906453273449646,390.1614268440145
compound_to_compound,Structure feature baseline,50,11578,11577,0.09898082570392124,0.011089998272585938,2.5677782000345486,879.1108136120228
compound_to_compound,Structure feature baseline,100,11578,11577,0.1572810502677492,0.01837968561064087,2.1278162031438934,879.1108136120228
orf_to_orf,CGP-Align entity,50,1479,1478,0.3772819472616633,0.05449628127112914,1.6109100743745772,113.74509803921569
orf_to_orf,CGP-Align entity,100,1479,1478,0.5835023664638269,0.09655172413793103,1.4270344827586208,113.74509803921569
orf_to_orf,CGP entity -> profile anchor,50,1479,1478,0.3522650439486139,0.06558485463150777,1.9386883029073698,144.9709263015551
orf_to_orf,CGP entity -> profile anchor,100,1479,1478,0.5226504394861393,0.11291413116970926,1.6688708586883028,144.9709263015551
orf_to_orf,CGP profile encoder,50,1479,1478,0.8066260987153482,0.23705206220419203,7.007258958755917,35.524678837052065
orf_to_orf,CGP profile encoder,100,1479,1478,0.9019607843137255,0.3140635564570656,4.64185936443543,35.524678837052065
orf_to_orf,ESM-2 baseline,50,1479,1478,0.32724814063556457,0.04110885733603786,1.2151778228532792,125.2576064908722
orf_to_orf,ESM-2 baseline,100,1479,1478,0.5402298850574713,0.07829614604462475,1.157217038539554,125.2576064908722
crispr_to_crispr,CGP-Align entity,50,788,787,0.516497461928934,0.07525380710659899,1.1844949238578681,68.33629441624366
crispr_to_crispr,CGP-Align entity,100,788,787,0.7436548223350253,0.14200507614213198,1.1175799492385787,68.33629441624366
crispr_to_crispr,CGP entity -> profile anchor,50,788,787,0.43908629441624364,0.09124365482233503,1.4361751269035532,105.03680203045685
crispr_to_crispr,CGP entity -> profile anchor,100,788,787,0.6434010152284264,0.17017766497461928,1.339298223350254,105.03680203045685
crispr_to_crispr,CGP profile encoder,50,788,787,0.9365482233502538,0.3762690355329949,5.92247461928934,14.281725888324873
crispr_to_crispr,CGP profile encoder,100,788,787,0.9822335025380711,0.5048223350253808,3.972951776649746,14.281725888324873
crispr_to_crispr,ESM-2 baseline,50,788,787,0.48223350253807107,0.06548223350253807,1.0306903553299493,74.85406091370558
