setting,metric,mean,sd,random_ranking_mean,random_ranking_sd,summary_type
CGP-Align,HMean Top-1,0.14171131780967824,0.0032932528989134,0.01658912831903973,1.9905198433209243e-5,HMean
CGP-Align,HMean Top-10,0.5338633674670715,0.01449478247025603,0.16043421636535513,1.727233854868e-4,HMean
CGP-Align,Mean Top-1,0.2038644389369789,0.0068029889081161,0.03055414350699893,2.1264834794177e-4,Mean
CGP-Align,Mean Top-10,0.5934990946108022,0.00832881298916171,0.26102391129936453,0.00131265072397452,Mean
