method_key,method_label,n_independent_runs,mean_top10,sd_top10,label,label_x
cgp_align_main,CGP-Align,3,0.6889719007312719,0.017388945957285042,68.9%,0.7163608466885569
matched_molformer_smiles,SMILES-LM profile (MoLFormer),3,0.5970907468186791,0.004890989076174951,59.7%,0.611981735894854
matched_chemberta_smiles,SMILES-LM profile (ChemBERTa),3,0.5677722116658029,0.005829824653454125,56.8%,0.5836020363192571
matched_rdkit_morgan,Fingerprint-profile baseline,3,0.5659353947141129,0.004221714353688387,56.6%,0.5801571090678013
