independent_run,direction,short,branch,candidate_setting,metric,observed,random_ranking,fold_enrichment,positive_count_mean,negative_count,num_queries,num_gallery
37,Gene to profile,G-P,gene-profile,full gallery,Recall@10,0.0515097690941385,0.004433348441407636,11.618705313806462,5.159857904085258,11614.840142095914,2252,11620
37,Profile to gene,P-G,gene-profile,full gallery,Recall@1,0.0091222030981067,0.000444049733570151,20.5432013769367,1.0,2251.0,11620,2252
37,Profile to gene,P-G,gene-profile,full gallery,Recall@10,0.0456110154905335,0.00444049733570151,10.27160068846835,1.0,2251.0,11620,2252
41,Compound to profile,C-P,compound-profile,full gallery,Recall@1,0.0106235964760753,8.63707030576144e-05,122.99999999986949,5.625755743651753,65129.374244256345,11578,65135
41,Compound to profile,C-P,compound-profile,full gallery,Recall@10,0.0617550526861288,0.000863431043054419,71.52285429496261,5.625755743651753,65129.374244256345,11578,65135
41,Profile to compound,P-C,compound-profile,full gallery,Recall@1,0.006540262531665,8.637070305750338e-05,75.72315959163447,1.0,11577.0,65135,11578
41,Profile to compound,P-C,compound-profile,full gallery,Recall@10,0.0387656405926153,0.0008637070305751449,44.88285867813436,1.0,11577.0,65135,11578
41,Gene to profile,G-P,gene-profile,full gallery,Recall@1,0.0097044552271724,0.00044111160123505577,22.000000000002657,5.160564622849581,11693.839435377151,2267,11699
41,Gene to profile,G-P,gene-profile,full gallery,Recall@10,0.0524922805469783,0.0044040611473142866,11.919062608608304,5.160564622849581,11693.839435377151,2267,11699
41,Profile to gene,P-G,gene-profile,full gallery,Recall@1,0.0076074878194717,0.0004411116012351668,17.24617488674022,1.0,2266.0,11699,2267
41,Profile to gene,P-G,gene-profile,full gallery,Recall@10,0.0415420121377895,0.004411116012351002,9.417574151637142,1.0,2266.0,11699,2267
31,All directions,HMean,all,1:100 sampled,HMean Top10,0.5502731845304462,0.16027163956606616,3.433378394457717,,100,,
37,All directions,HMean,all,1:100 sampled,HMean Top10,0.5285110273955576,0.16061555453333387,3.290534524698673,,100,,
41,All directions,HMean,all,1:100 sampled,HMean Top10,0.5228058904752109,0.16041545499666537,3.259074323518757,,100,,
