row,source,split_mode,fold,epoch,mapped_edges,positive_pairs,train_pos,auroc,auprc,cosine_auroc,cosine_auprc,num_pos,num_neg
final_seed31,all,source_holdout_dgidb,val,220,28242,28242,10000,0.8501558666666668,0.535386284126413,0.5666062000000001,0.20490693155165418,3000,15000
final_seed31,all,source_holdout_dgidb,test,220,28242,28242,10000,0.8871571555555556,0.6293290589088365,0.5464167,0.18969282883772492,3000,15000
final_seed31,all,source_holdout_drugrep,val,220,28242,28242,10000,0.8614653111111111,0.5709891587487819,0.5738572777777777,0.2081122636664505,3000,15000
final_seed31,all,source_holdout_drugrep,test,220,28242,28242,10000,0.8682030222222223,0.5756801565923884,0.5347282111111111,0.18167366886731773,3000,15000
final_seed31,all,source_holdout_hetionet,val,220,28242,28242,10000,0.8532531777777776,0.5477313292661926,0.5479155111111111,0.19094181734995344,3000,15000
final_seed31,all,source_holdout_hetionet,test,220,28242,28242,10000,0.8750892888888888,0.5879372089944849,0.5726237222222222,0.211798105380725,3000,15000
final_seed31,all,source_holdout_openbiolink,val,220,28242,28242,8504,0.9128918273893354,0.6956894510364715,0.5498083667073383,0.20252011170316564,1501,7505
final_seed31,all,source_holdout_openbiolink,test,220,28242,28242,8504,0.7845645777777779,0.43481202780104883,0.560780488888889,0.1990737631843279,3000,15000
final_seed31,all,source_holdout_pharmebinet,val,220,28242,28242,10000,0.8481980666666666,0.5441320072828283,0.5512071666666667,0.19586417741935075,3000,15000
final_seed31,all,source_holdout_pharmebinet,test,220,28242,28242,10000,0.8661443333333334,0.5740772967846687,0.5727025111111111,0.21153012890382283,3000,15000
final_seed37,all,source_holdout_dgidb,val,90,28242,28242,10000,0.8509716,0.5382685630649844,0.4944876333333334,0.16254192133929718,3000,15000
final_seed37,all,source_holdout_dgidb,test,90,28242,28242,10000,0.8716169333333335,0.5995709000092402,0.517921788888889,0.17412872826047135,3000,15000
final_seed37,all,source_holdout_drugrep,val,90,28242,28242,10000,0.857581488888889,0.5658515766845711,0.5014287666666667,0.16590921667155065,3000,15000
final_seed37,all,source_holdout_drugrep,test,90,28242,28242,10000,0.8621226000000001,0.5839322475284136,0.5121307888888889,0.1722016866900243,3000,15000
final_seed37,all,source_holdout_hetionet,val,90,28242,28242,10000,0.8527719333333333,0.5545711405640255,0.49970258888888885,0.1653808270991385,3000,15000
final_seed37,all,source_holdout_hetionet,test,90,28242,28242,10000,0.8764847555555556,0.5796644925986119,0.49324009999999996,0.1633249886648273,3000,15000
final_seed37,all,source_holdout_openbiolink,val,90,28242,28242,8504,0.9151948889503378,0.6920632689323949,0.5021796261963487,0.16649355051729012,1501,7505
final_seed37,all,source_holdout_openbiolink,test,90,28242,28242,8504,0.7795323777777777,0.43319034745029095,0.49774924444444446,0.1618283092358711,3000,15000
final_seed37,all,source_holdout_pharmebinet,val,90,28242,28242,10000,0.8577838444444444,0.5751783445220663,0.5053520444444445,0.16677435271626323,3000,15000
final_seed37,all,source_holdout_pharmebinet,test,90,28242,28242,10000,0.8664181555555556,0.5628484945072857,0.4842382333333334,0.15889855194896568,3000,15000
final_seed41,all,source_holdout_dgidb,val,160,28242,28242,10000,0.8426289111111112,0.515378638760901,0.5307331444444444,0.1927349906522092,3000,15000
final_seed41,all,source_holdout_dgidb,test,160,28242,28242,10000,0.8737016000000001,0.6066061068412529,0.5766909666666667,0.22382608059860154,3000,15000
final_seed41,all,source_holdout_drugrep,val,160,28242,28242,10000,0.8481572444444444,0.5294542920615426,0.5365658222222223,0.19325074618557772,3000,15000
final_seed41,all,source_holdout_drugrep,test,160,28242,28242,10000,0.863013688888889,0.5871771374172035,0.5578309555555556,0.2085284823382047,3000,15000
final_seed41,all,source_holdout_hetionet,val,160,28242,28242,10000,0.846727,0.5361692114289334,0.5416268777777777,0.19671643265439825,3000,15000
final_seed41,all,source_holdout_hetionet,test,160,28242,28242,10000,0.8738575111111111,0.5706407374789702,0.5663881333333333,0.21253556709474697,3000,15000
final_seed41,all,source_holdout_openbiolink,val,160,28242,28242,8504,0.8990351091721662,0.6390200938955979,0.5685100894318289,0.22090979965581597,1501,7505
final_seed41,all,source_holdout_openbiolink,test,160,28242,28242,8504,0.7793196666666666,0.4450015888412684,0.5342181666666667,0.19268644040367647,3000,15000
final_seed41,all,source_holdout_pharmebinet,val,160,28242,28242,10000,0.8539632888888887,0.5462860195356525,0.5335886666666666,0.19524418983420194,3000,15000
final_seed41,all,source_holdout_pharmebinet,test,160,28242,28242,10000,0.8629764666666668,0.5500153361145832,0.5555415777777778,0.20626979316086966,3000,15000
