id,x,y,symbol,label
0,4.269,-2.5591,Cl,Cl
1,9.6846,0.12,O,O
2,6.0812,0.2456,N,N
3,7.6811,2.3529,N,N
4,6.0812,-1.3638,N,N
5,4.269,0.4409,N,N
6,3.403,-1.0591,N,N
7,2.5369,0.4409,N,NH2
8,6.3919,1.1962,C,
9,7.3704,1.4024,C,
10,8.0382,0.6581,C,
11,5.135,-0.0591,C,
12,9.0168,0.8643,C,
13,9.3274,1.8148,C,
14,5.135,-1.0591,C,
15,6.6648,-0.5591,C,
16,7.7276,-0.2925,C,
17,8.6596,2.5591,C,
18,10.3059,2.021,C,
19,4.269,-1.5591,C,
20,3.403,-0.0591,C,
21,10.6631,0.3262,C,
