a,b,order
0,3,2
0,4,2
0,7,1
0,17,1
1,25,1
2,27,1
5,22,2
6,24,1
6,29,1
7,15,1
7,16,1
8,12,1
8,18,1
9,18,2
9,19,1
10,18,1
10,21,2
11,19,1
12,13,1
12,14,1
13,15,1
14,16,1
19,20,2
20,21,1
20,22,1
22,23,1
23,24,2
23,25,1
24,26,1
25,27,2
26,28,2
27,28,1
