task,representation,display,model,fold,n_train,n_test,positive_train,positive_test,n_train_scaffolds,n_test_scaffolds,scaffold_overlap,auroc,auprc
Endocrine Disruption_SR-ATAD5,NYAN_latent,NYAN,extratrees_scaffold,0,5339,1398,188,54,2662,877,0,0.8096340388007055,0.19951103350688673
Endocrine Disruption_SR-ATAD5,NYAN_latent,NYAN,extratrees_scaffold,1,4149,2588,157,85,2658,881,0,0.7850461798782638,0.18304321276476127
Endocrine Disruption_SR-ATAD5,NYAN_latent,NYAN,extratrees_scaffold,2,6716,21,241,1,3526,13,0,0.7000000000000001,0.14285714285714285
Endocrine Disruption_SR-ATAD5,NYAN_latent,NYAN,extratrees_scaffold,3,5418,1319,195,47,2653,886,0,0.7701558945537268,0.12113182150453441
Endocrine Disruption_SR-ATAD5,NYAN_latent,NYAN,extratrees_scaffold,4,5326,1411,187,55,2657,882,0,0.8255832662912309,0.19903036539339192
Endocrine Disruption_SR-ATAD5,Morgan2048,Morgan,extratrees_scaffold,0,5339,1398,188,54,2662,877,0,0.8310529651675486,0.2175494633413988
Endocrine Disruption_SR-ATAD5,Morgan2048,Morgan,extratrees_scaffold,1,4149,2588,157,85,2658,881,0,0.8011915113628354,0.1567480190298201
Endocrine Disruption_SR-ATAD5,Morgan2048,Morgan,extratrees_scaffold,2,6716,21,241,1,3526,13,0,0.75,0.16666666666666666
Endocrine Disruption_SR-ATAD5,Morgan2048,Morgan,extratrees_scaffold,3,5418,1319,195,47,2653,886,0,0.7842315669744413,0.20453335080913354
Endocrine Disruption_SR-ATAD5,Morgan2048,Morgan,extratrees_scaffold,4,5326,1411,187,55,2657,882,0,0.808655135425047,0.2005002729368522
Endocrine Disruption_SR-ATAD5,AtomPair2048,AtomPair,extratrees_scaffold,0,5339,1398,188,54,2662,877,0,0.8275118496472663,0.22388766470042581
Endocrine Disruption_SR-ATAD5,AtomPair2048,AtomPair,extratrees_scaffold,1,4149,2588,157,85,2658,881,0,0.781720758619069,0.22650512073307189
Endocrine Disruption_SR-ATAD5,AtomPair2048,AtomPair,extratrees_scaffold,2,6716,21,241,1,3526,13,0,0.65,0.125
Endocrine Disruption_SR-ATAD5,AtomPair2048,AtomPair,extratrees_scaffold,3,5418,1319,195,47,2653,886,0,0.8048474508229628,0.18721579899316534
Endocrine Disruption_SR-ATAD5,AtomPair2048,AtomPair,extratrees_scaffold,4,5326,1411,187,55,2657,882,0,0.8275006704210245,0.27431019495970455
Endocrine Disruption_SR-ATAD5,Avalon1024,Avalon,extratrees_scaffold,0,5339,1398,188,54,2662,877,0,0.8150903880070547,0.2225019515097864
Endocrine Disruption_SR-ATAD5,Avalon1024,Avalon,extratrees_scaffold,1,4149,2588,157,85,2658,881,0,0.7872599938896854,0.13928357571557656
Endocrine Disruption_SR-ATAD5,Avalon1024,Avalon,extratrees_scaffold,2,6716,21,241,1,3526,13,0,0.5,0.09090909090909091
Endocrine Disruption_SR-ATAD5,Avalon1024,Avalon,extratrees_scaffold,3,5418,1319,195,47,2653,886,0,0.7492974708952227,0.2145600818417471
