task,representation,model,fold,n_train,n_test,positive_train,positive_test,auroc,auprc
Endocrine Disruption_SR-HSE,CGP_sep_k32,extratrees,2,4916,1229,267,67,0.8034783055462789,0.3649272512796878
Endocrine Disruption_SR-HSE,CGP_sep_k32,extratrees,3,4916,1229,267,67,0.8097657153132787,0.343292463362386
Endocrine Disruption_SR-HSE,CGP_sep_k32,extratrees,4,4916,1229,268,66,0.7969201907293051,0.3725566412201547
Endocrine Disruption_SR-HSE,RDKit2D,extratrees,0,4916,1229,267,67,0.8095923138181725,0.328438471197023
Endocrine Disruption_SR-HSE,RDKit2D,extratrees,1,4916,1229,267,67,0.827690292085185,0.3072889387784269
Endocrine Disruption_SR-HSE,RDKit2D,extratrees,2,4916,1229,267,67,0.8116988208698332,0.2796224536272869
Endocrine Disruption_SR-HSE,RDKit2D,extratrees,3,4916,1229,267,67,0.7525175328178386,0.3212209902380544
Endocrine Disruption_SR-HSE,RDKit2D,extratrees,4,4916,1229,268,66,0.8128403554026942,0.280651649393711
Endocrine Disruption_SR-HSE,Morgan2048,extratrees,0,4916,1229,267,67,0.8153852082102396,0.2870364628084144
Endocrine Disruption_SR-HSE,Morgan2048,extratrees,1,4916,1229,267,67,0.8096244252061552,0.2435330791092052
Endocrine Disruption_SR-HSE,Morgan2048,extratrees,2,4916,1229,267,67,0.7679438436046959,0.2113090317719911
Endocrine Disruption_SR-HSE,Morgan2048,extratrees,3,4916,1229,267,67,0.679637526652452,0.1815645007812087
Endocrine Disruption_SR-HSE,Morgan2048,extratrees,4,4916,1229,268,66,0.7923864613460485,0.2867859429966135
Endocrine Disruption_SR-HSE,AtomPair2048,extratrees,0,4916,1229,267,67,0.7876088576052612,0.2683811264318996
Endocrine Disruption_SR-HSE,AtomPair2048,extratrees,1,4916,1229,267,67,0.7760166465435303,0.2027727826274877
Endocrine Disruption_SR-HSE,AtomPair2048,extratrees,2,4916,1229,267,67,0.8046407377912503,0.2573798956166278
Endocrine Disruption_SR-HSE,AtomPair2048,extratrees,3,4916,1229,267,67,0.7235659054126955,0.2565290696018598
Endocrine Disruption_SR-HSE,AtomPair2048,extratrees,4,4916,1229,268,66,0.7802053206180464,0.2803222482905784
Endocrine Disruption_SR-HSE,Avalon1024,extratrees,0,4916,1229,267,67,0.7936008426028207,0.2347629043488879
Endocrine Disruption_SR-HSE,Avalon1024,extratrees,1,4916,1229,267,67,0.7602499550440567,0.2346067135163319
Endocrine Disruption_SR-HSE,Avalon1024,extratrees,2,4916,1229,267,67,0.7608600714157269,0.2103465700320954
Endocrine Disruption_SR-HSE,Avalon1024,extratrees,3,4916,1229,267,67,0.698191486628818,0.2059951631765495
Endocrine Disruption_SR-HSE,Avalon1024,extratrees,4,4916,1229,268,66,0.7433687693790876,0.2702398843472875
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,0,4423,1106,700,175,0.9174528157127512,0.7149339791133471
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,1,4423,1106,700,175,0.895998158661961,0.670787339949153
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,2,4423,1106,700,175,0.9004541967162804,0.7057529171191058
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,3,4423,1106,700,175,0.9208439466011968,0.7452095378182815
Endocrine Disruption_SR-MMP,CGP_sep_k32,extratrees,4,4424,1105,700,175,0.909852534562212,0.7254974715607172
Endocrine Disruption_SR-MMP,RDKit2D,extratrees,0,4423,1106,700,175,0.9299401565137334,0.7608006550162862
Endocrine Disruption_SR-MMP,RDKit2D,extratrees,1,4423,1106,700,175,0.9113365045266228,0.706468937436554
Endocrine Disruption_SR-MMP,RDKit2D,extratrees,2,4423,1106,700,175,0.9276047261009668,0.7490686839037336
Endocrine Disruption_SR-MMP,RDKit2D,extratrees,3,4423,1106,700,175,0.9365843179377014,0.7928924218451543
Endocrine Disruption_SR-MMP,RDKit2D,extratrees,4,4424,1105,700,175,0.9275975422427036,0.7528890959452985
Endocrine Disruption_SR-MMP,Morgan2048,extratrees,0,4423,1106,700,175,0.8920607641552861,0.6910721958444014
Endocrine Disruption_SR-MMP,Morgan2048,extratrees,1,4423,1106,700,175,0.8673837655362897,0.5912250897557716
Endocrine Disruption_SR-MMP,Morgan2048,extratrees,2,4423,1106,700,175,0.8603038207764309,0.6457065052944638
Endocrine Disruption_SR-MMP,Morgan2048,extratrees,3,4423,1106,700,175,0.8814515881540587,0.647093451347458
Endocrine Disruption_SR-MMP,Morgan2048,extratrees,4,4424,1105,700,175,0.8738341013824884,0.671046468270146
Endocrine Disruption_SR-MMP,AtomPair2048,extratrees,0,4423,1106,700,175,0.903584471382538,0.6936772913784253
Endocrine Disruption_SR-MMP,AtomPair2048,extratrees,1,4423,1106,700,175,0.8931686358754026,0.6513566844835948
Endocrine Disruption_SR-MMP,AtomPair2048,extratrees,2,4423,1106,700,175,0.8985514807426731,0.7285755552029345
Endocrine Disruption_SR-MMP,AtomPair2048,extratrees,3,4423,1106,700,175,0.9052478134110786,0.7120451077307168
Endocrine Disruption_SR-MMP,AtomPair2048,extratrees,4,4424,1105,700,175,0.8991490015360984,0.7097048750394535
Endocrine Disruption_SR-MMP,Avalon1024,extratrees,0,4423,1106,700,175,0.901488414914838,0.7195864545239241
Endocrine Disruption_SR-MMP,Avalon1024,extratrees,1,4423,1106,700,175,0.8733497007825687,0.6251510629173491
Endocrine Disruption_SR-MMP,Avalon1024,extratrees,2,4423,1106,700,175,0.8974528157127513,0.7190867390087141
Endocrine Disruption_SR-MMP,Avalon1024,extratrees,3,4423,1106,700,175,0.8930520177996012,0.6977579379686425
Endocrine Disruption_SR-MMP,Avalon1024,extratrees,4,4424,1105,700,175,0.8961413210445468,0.6861695721410319
Endocrine Disruption_SR-p53,CGP_sep_k32,extratrees,0,5156,1290,314,79,0.9021469859620148,0.5189917619541198
Endocrine Disruption_SR-p53,CGP_sep_k32,extratrees,1,5157,1289,314,79,0.8997227743487812,0.4319633124559131
Endocrine Disruption_SR-p53,CGP_sep_k32,extratrees,2,5157,1289,314,79,0.8691913380060676,0.4153389656878336
Endocrine Disruption_SR-p53,CGP_sep_k32,extratrees,3,5157,1289,315,78,0.8509972686273264,0.4058877201466173
Endocrine Disruption_SR-p53,CGP_sep_k32,extratrees,4,5157,1289,315,78,0.8787556374261576,0.4867118810520915
Endocrine Disruption_SR-p53,RDKit2D,extratrees,0,5156,1290,314,79,0.8594424526231068,0.3739119613951958
Endocrine Disruption_SR-p53,RDKit2D,extratrees,1,5157,1289,314,79,0.9107961083795376,0.4766257087323621
Endocrine Disruption_SR-p53,RDKit2D,extratrees,2,5157,1289,314,79,0.8844649021864212,0.4754369499762605
Endocrine Disruption_SR-p53,RDKit2D,extratrees,3,5157,1289,315,78,0.902300493340956,0.4623823216959666
Endocrine Disruption_SR-p53,RDKit2D,extratrees,4,5157,1289,315,78,0.8867062609837176,0.4561280727880832
Endocrine Disruption_SR-p53,Morgan2048,extratrees,0,5156,1290,314,79,0.8323124523095256,0.3530582462278892
Endocrine Disruption_SR-p53,Morgan2048,extratrees,1,5157,1289,314,79,0.8620200857830317,0.3930903913967514
Endocrine Disruption_SR-p53,Morgan2048,extratrees,2,5157,1289,314,79,0.8145255779893295,0.3409359203602726
Endocrine Disruption_SR-p53,Morgan2048,extratrees,3,5157,1289,315,78,0.8470801837853861,0.3158131953117284
Endocrine Disruption_SR-p53,Morgan2048,extratrees,4,5157,1289,315,78,0.8327298905333588,0.3937858134123694
Endocrine Disruption_SR-p53,AtomPair2048,extratrees,0,5156,1290,314,79,0.8069123749594957,0.3379329803679141
Endocrine Disruption_SR-p53,AtomPair2048,extratrees,1,5157,1289,314,79,0.8695365624019249,0.3941247991299083
Endocrine Disruption_SR-p53,AtomPair2048,extratrees,2,5157,1289,314,79,0.8368605502667643,0.4144002063763327
Endocrine Disruption_SR-p53,AtomPair2048,extratrees,3,5157,1289,315,78,0.8784433293103813,0.4550965073748286
Endocrine Disruption_SR-p53,AtomPair2048,extratrees,4,5157,1289,315,78,0.8406963941646023,0.3742607757282368
Endocrine Disruption_SR-p53,Avalon1024,extratrees,0,5156,1290,314,79,0.836686910075364,0.3523790805901652
Endocrine Disruption_SR-p53,Avalon1024,extratrees,1,5157,1289,314,79,0.8728475781985563,0.4447025457230876
Endocrine Disruption_SR-p53,Avalon1024,extratrees,2,5157,1289,314,79,0.8641437388848205,0.4053971605886294
Endocrine Disruption_SR-p53,Avalon1024,extratrees,3,5157,1289,315,78,0.8401829384488345,0.3424875669633764
Endocrine Disruption_SR-p53,Avalon1024,extratrees,4,5157,1289,315,78,0.8574022316796884,0.427662938432597
Endocrine Disruption_SR-ARE,NYAN_latent,extratrees,0,4429,1108,696,174,0.822017524428364,0.5414315857924282
Endocrine Disruption_SR-ARE,NYAN_latent,extratrees,1,4429,1108,696,174,0.8414863767259839,0.5311880572225136
Endocrine Disruption_SR-ARE,NYAN_latent,extratrees,2,4430,1107,696,174,0.7979358391543778,0.44101160920081445
Endocrine Disruption_SR-ARE,NYAN_latent,extratrees,3,4430,1107,696,174,0.8515171674612854,0.571519901062346
Endocrine Disruption_SR-ARE,NYAN_latent,extratrees,4,4430,1107,696,174,0.7858995207648053,0.4605524997292999
Endocrine Disruption_SR-ATAD5,NYAN_latent,extratrees,0,5389,1348,193,49,0.8414636062277105,0.2850274364327885
Endocrine Disruption_SR-ATAD5,NYAN_latent,extratrees,1,5389,1348,193,49,0.798494917597524,0.19486151757477443
Endocrine Disruption_SR-ATAD5,NYAN_latent,extratrees,2,5390,1347,194,48,0.849411406209905,0.24423485807648307
Endocrine Disruption_SR-ATAD5,NYAN_latent,extratrees,3,5390,1347,194,48,0.852643058763151,0.2460435336912052
Endocrine Disruption_SR-ATAD5,NYAN_latent,extratrees,4,5390,1347,194,48,0.8056277264562485,0.39067121590004866
Endocrine Disruption_SR-HSE,NYAN_latent,extratrees,0,4916,1229,267,67,0.7743340098132402,0.29807080070126696
Endocrine Disruption_SR-HSE,NYAN_latent,extratrees,1,4916,1229,267,67,0.8037095075397539,0.2581892648911738
Endocrine Disruption_SR-HSE,NYAN_latent,extratrees,2,4916,1229,267,67,0.7885914660775298,0.23227434533197866
Endocrine Disruption_SR-HSE,NYAN_latent,extratrees,3,4916,1229,267,67,0.7167518688827805,0.2548718882839458
Endocrine Disruption_SR-HSE,NYAN_latent,extratrees,4,4916,1229,268,66,0.7820096928007505,0.2699201329087319
Endocrine Disruption_SR-MMP,NYAN_latent,extratrees,0,4423,1106,700,175,0.9231394813564523,0.7307821831801624
Endocrine Disruption_SR-MMP,NYAN_latent,extratrees,1,4423,1106,700,175,0.904541967162805,0.7015728042245669
Endocrine Disruption_SR-MMP,NYAN_latent,extratrees,2,4423,1106,700,175,0.9013288322847937,0.7263933138148995
Endocrine Disruption_SR-MMP,NYAN_latent,extratrees,3,4423,1106,700,175,0.9204327144391591,0.7190851772530421
Endocrine Disruption_SR-MMP,NYAN_latent,extratrees,4,4424,1105,700,175,0.9134439324116743,0.7157595482129888
Endocrine Disruption_SR-p53,NYAN_latent,extratrees,0,5156,1290,314,79,0.7994021051751351,0.31497611618095234
Endocrine Disruption_SR-p53,NYAN_latent,extratrees,1,5157,1289,314,79,0.8772151898734178,0.38932027635590577
Endocrine Disruption_SR-p53,NYAN_latent,extratrees,2,5157,1289,314,79,0.8544774558008159,0.41295044942574044
Endocrine Disruption_SR-p53,NYAN_latent,extratrees,3,5157,1289,315,78,0.9000878697410489,0.4228947450079671
Endocrine Disruption_SR-p53,NYAN_latent,extratrees,4,5157,1289,315,78,0.8658080840161765,0.4093255141977156
