setting,metric,summary_type,mean,sd,random_ranking_mean,random_ranking_sd
CGP-Align,Mean Top-1,Mean,0.2047537282259758,0.005049596774206941,0.029899658268587818,2.096155743076459e-05
CGP-Align,HMean Top-1,HMean,0.14532410063434084,0.0033654621743341123,0.016522683773118718,1.9057387902383285e-06
CGP-Align,Mean Top-10,Mean,0.5979589629243455,0.00403624249269285,0.2523374878660239,0.00010158190007200516
CGP-Align,HMean Top-10,HMean,0.541464893695343,0.006783149364845733,0.1591696742008449,1.448592406084646e-05
