entity_index,entity_id,pair_kind,modality,display_group,gene_symbol,perturbation_modality,label,stage_key,stage_label,pca1,pca2
13930,PAPSS2|crispr|JCP2022_804917,gene,gene_profile,gene_profile::crispr,PAPSS2,crispr,PAPSS2::crispr,branch_pretrained,Before joint training,0.32962856,0.14613612
13931,PAPSS2|orf|JCP2022_901934,gene,gene_profile,gene_profile::orf,PAPSS2,orf,PAPSS2::orf,branch_pretrained,Before joint training,0.34859046,0.31686032
13932,PAPSS2|orf|JCP2022_913944,gene,gene_profile,gene_profile::orf,PAPSS2,orf,PAPSS2::orf,branch_pretrained,Before joint training,0.34203038,0.3169754
13939,PARG|crispr|JCP2022_804918,gene,gene_profile,gene_profile::crispr,PARG,crispr,PARG::crispr,branch_pretrained,Before joint training,0.32096693,0.104788095
14015,PCBP4|orf|JCP2022_903547,gene,gene_profile,gene_profile::orf,PCBP4,orf,PCBP4::orf,branch_pretrained,Before joint training,0.27079245,0.33231103
14031,PCDHA6|orf|JCP2022_909752,gene,gene_profile,gene_profile::orf,PCDHA6,orf,PCDHA6::orf,branch_pretrained,Before joint training,0.3074719,0.32996604
14033,PCDHA9|orf|JCP2022_902091,gene,gene_profile,gene_profile::orf,PCDHA9,orf,PCDHA9::orf,branch_pretrained,Before joint training,0.36249766,0.25679877
14079,PCK1|crispr|JCP2022_804959,gene,gene_profile,gene_profile::crispr,PCK1,crispr,PCK1::crispr,branch_pretrained,Before joint training,0.30963317,0.18111445
14105,PCSK4|crispr|JCP2022_804968,gene,gene_profile,gene_profile::crispr,PCSK4,crispr,PCSK4::crispr,branch_pretrained,Before joint training,0.2684112,0.22460446
14106,PCSK4|orf|JCP2022_914847,gene,gene_profile,gene_profile::orf,PCSK4,orf,PCSK4::orf,branch_pretrained,Before joint training,0.30951074,0.26959997
14109,PCSK6|crispr|JCP2022_804970,gene,gene_profile,gene_profile::crispr,PCSK6,crispr,PCSK6::crispr,branch_pretrained,Before joint training,0.2928551,0.15224274
14129,PDCD4|orf|JCP2022_913179,gene,gene_profile,gene_profile::orf,PDCD4,orf,PDCD4::orf,branch_pretrained,Before joint training,0.31991723,0.2736532
14195,PDHB|crispr|JCP2022_805014,gene,gene_profile,gene_profile::crispr,PDHB,crispr,PDHB::crispr,branch_pretrained,Before joint training,0.26441354,0.2462349
14196,PDHB|orf|JCP2022_901090,gene,gene_profile,gene_profile::orf,PDHB,orf,PDHB::orf,branch_pretrained,Before joint training,0.18092456,0.20491426
14199,PDIA2|crispr|JCP2022_805016,gene,gene_profile,gene_profile::crispr,PDIA2,crispr,PDIA2::crispr,branch_pretrained,Before joint training,0.26057896,0.24126539
