method,active_queries,topk,directed_active_hits,unique_active_pairs,query_hit_rate,top_active_fraction,candidate_active_rate,active_lift,top_mean_lfc,top_mean_absdiff,top_median_absdiff,hit_yield_per_1000_ranked,setting,low_tanimoto,active_threshold,num_active_compounds
AtomPair,187,100,3264,2220,1.0,0.17454545454545456,0.09869096702207703,1.7880397849886798,-0.3091991333743398,2.0348931368571623,2.1274381467999697,174.54545454545456,low_morgan_lt_0.20,0.2,-1.0,187
Avalon,187,100,2843,1973,1.0,0.15203208556149733,0.09869096702207703,1.5512242413563573,-0.2508032073597125,2.0935300257086213,2.1954727129545994,152.03208556149733,low_morgan_lt_0.20,0.2,-1.0,187
Random,187,100,1930,1869,1.0,0.10320855614973262,0.09869096702207703,1.0451319496756901,-0.11629561123247682,2.1527163788098176,2.2510316637758647,103.20855614973262,low_morgan_lt_0.20,0.2,-1.0,187
CGP-Align,88,10,265,208,0.8295454545454546,0.30113636363636365,0.04635991305811453,6.5042631365315975,-1.1373916488023084,2.104087697624742,2.128168654303326,301.1363636363636,low_morgan_lt_0.25,0.25,-2.0,88
RDKit2D,88,10,107,91,0.5795454545454546,0.1215909090909091,0.04635991305811453,2.6496238498163494,-0.4149656226686519,2.690443497760994,2.9058086711341855,121.5909090909091,low_morgan_lt_0.25,0.25,-2.0,88
NYAN,88,10,100,79,0.5909090909090909,0.11363636363636363,0.04635991305811453,2.4655755582072687,-0.3566161045898546,2.7538227770891597,2.907958803754644,113.63636363636363,low_morgan_lt_0.25,0.25,-2.0,88
Morgan,88,10,89,58,0.5454545454545454,0.10113636363636364,0.04635991305811453,2.209070171236462,-0.33120141348501253,2.770660822559611,2.92725789773778,101.13636363636364,low_morgan_lt_0.25,0.25,-2.0,88
AtomPair,88,10,70,58,0.5681818181818182,0.07954545454545454,0.04635991305811453,1.7343934009215294,-0.3036153376007198,2.768405847125475,2.8992833907349533,79.54545454545455,low_morgan_lt_0.25,0.25,-2.0,88
Avalon,88,10,91,62,0.6136363636363636,0.10340909090909092,0.04635991305811453,2.2383939484217503,-0.3511659234145719,2.7346235831291947,2.888717272574881,103.4090909090909,low_morgan_lt_0.25,0.25,-2.0,88
Random,88,10,35,35,0.3409090909090909,0.03977272727272727,0.04635991305811453,0.8537355038454393,-0.09318760444756745,2.947977389250379,3.0649189129584227,39.77272727272727,low_morgan_lt_0.25,0.25,-2.0,88
CGP-Align,88,50,1153,857,0.9545454545454546,0.2620454545454546,0.04635991305811453,5.666039937984904,-0.9888628692991781,2.2472114513205783,2.3684942530499855,262.0454545454545,low_morgan_lt_0.25,0.25,-2.0,88
RDKit2D,88,50,458,338,0.875,0.1040909090909091,0.04635991305811453,2.2642074118979982,-0.36232758154817435,2.742783988593358,2.9469591571508897,104.0909090909091,low_morgan_lt_0.25,0.25,-2.0,88
NYAN,88,50,437,311,0.9318181818181818,0.09931818181818182,0.04635991305811453,2.151280509024935,-0.32227299248176594,2.7812096334361893,2.9647634061687067,99.31818181818181,low_morgan_lt_0.25,0.25,-2.0,88
Morgan,88,50,361,229,0.9318181818181818,0.08204545454545453,0.04635991305811453,1.7828749795568002,-0.25484762513429315,2.8278809079602865,3.002994102119622,82.04545454545455,low_morgan_lt_0.25,0.25,-2.0,88
AtomPair,88,50,396,292,0.9431818181818182,0.09000000000000001,0.04635991305811453,1.954287760035624,-0.3309027431541736,2.7562969838175393,2.92618914655759,90.0,low_morgan_lt_0.25,0.25,-2.0,88
Avalon,88,50,430,296,0.9659090909090909,0.09772727272727275,0.04635991305811453,2.112077655121432,-0.29427896767648315,2.804276087638361,2.9921274706979273,97.72727272727273,low_morgan_lt_0.25,0.25,-2.0,88
Random,88,50,195,192,0.9204545454545454,0.04431818181818182,0.04635991305811453,0.9545961171219504,-0.09696589513667275,2.9503814601857314,3.0786687376715816,44.31818181818182,low_morgan_lt_0.25,0.25,-2.0,88
CGP-Align,88,100,1991,1427,0.9545454545454546,0.22625,0.04635991305811453,4.889655692796547,-0.8569161476809678,2.348638209164975,2.4950651065631644,226.25,low_morgan_lt_0.25,0.25,-2.0,88
RDKit2D,88,100,821,571,0.9318181818181818,0.09329545454545456,0.04635991305811453,2.02580983696599,-0.3275599166561138,2.772412376287321,2.9614552502832585,93.29545454545455,low_morgan_lt_0.25,0.25,-2.0,88
NYAN,88,100,791,545,0.9772727272727273,0.08988636363636364,0.04635991305811453,1.944681198574777,-0.31069357062853337,2.781536781047107,2.959348806930145,89.88636363636364,low_morgan_lt_0.25,0.25,-2.0,88
Morgan,88,100,626,396,0.9886363636363636,0.07113636363636364,0.04635991305811453,1.5430740091017332,-0.21322520073247275,2.864893634846793,3.033340922783695,71.13636363636364,low_morgan_lt_0.25,0.25,-2.0,88
AtomPair,88,100,786,548,0.9886363636363636,0.08931818181818182,0.04635991305811453,1.9354663452089134,-0.34167352924159783,2.7456262515498584,2.914143358848047,89.31818181818183,low_morgan_lt_0.25,0.25,-2.0,88
Avalon,88,100,807,547,0.9886363636363636,0.09170454545454546,0.04635991305811453,1.9839535779698865,-0.2801054533149727,2.814356286886197,3.0050097469158406,91.70454545454545,low_morgan_lt_0.25,0.25,-2.0,88
Random,88,100,414,403,0.9772727272727273,0.04704545454545455,0.04635991305811453,1.0154779070130788,-0.10853642801814369,2.941488804361943,3.080887547092888,47.04545454545454,low_morgan_lt_0.25,0.25,-2.0,88
CGP-Align,121,10,401,319,0.8099173553719008,0.33140495867768593,0.06402086859039442,5.1886621943223155,-1.032851802032491,1.946427425066652,1.9710360575647263,331.40495867768595,low_morgan_lt_0.25,0.25,-1.5,121
RDKit2D,121,10,178,152,0.6776859504132231,0.14710743801652895,0.06402086859039442,2.3129587549446886,-0.38122609397915985,2.4109464106744554,2.5798119098979457,147.10743801652893,low_morgan_lt_0.25,0.25,-1.5,121
NYAN,121,10,160,131,0.6528925619834711,0.13223140495867772,0.06402086859039442,2.0737707736683046,-0.3257988236191267,2.460995682800662,2.5808934704107154,132.2314049586777,low_morgan_lt_0.25,0.25,-1.5,121
Morgan,121,10,142,94,0.6033057851239669,0.11735537190082647,0.06402086859039442,1.8502959743650014,-0.2831276652596079,2.487551078583597,2.6204365977059187,117.35537190082644,low_morgan_lt_0.25,0.25,-1.5,121
AtomPair,121,10,166,134,0.71900826446281,0.13719008264462812,0.06402086859039442,2.158649537131508,-0.3306238472697417,2.453896271419992,2.5639999043162764,137.1900826446281,low_morgan_lt_0.25,0.25,-1.5,121
Avalon,121,10,152,105,0.6694214876033058,0.1256198347107438,0.06402086859039442,1.966860788929678,-0.33029135540320176,2.4490505541078282,2.5731408563312645,125.61983471074382,low_morgan_lt_0.25,0.25,-1.5,121
Random,121,10,59,59,0.36363636363636365,0.0487603305785124,0.06402086859039442,0.7623061846674424,-0.057882176187324275,2.6552303930620416,2.7335819086336053,48.760330578512395,low_morgan_lt_0.25,0.25,-1.5,121
CGP-Align,121,50,1790,1346,0.9338842975206612,0.2958677685950413,0.06402086859039442,4.635617753409554,-0.914328005965318,2.0692129994214756,2.1792636083406283,295.8677685950413,low_morgan_lt_0.25,0.25,-1.5,121
RDKit2D,121,50,818,599,0.8925619834710744,0.13520661157024794,0.06402086859039442,2.1244827684695045,-0.33846507947367604,2.4475028200774003,2.614089399287073,135.20661157024793,low_morgan_lt_0.25,0.25,-1.5,121
NYAN,121,50,760,552,0.9173553719008265,0.1256198347107438,0.06402086859039442,1.9684219797747695,-0.31540796983954383,2.4751507769870065,2.620214258664584,125.61983471074382,low_morgan_lt_0.25,0.25,-1.5,121
Morgan,121,50,641,407,0.9586776859504132,0.10595041322314051,0.06402086859039442,1.6645581136099448,-0.23073672989515148,2.5292163401858185,2.676143377179892,105.9504132231405,low_morgan_lt_0.25,0.25,-1.5,121
AtomPair,121,50,820,586,0.9586776859504132,0.13553719008264462,0.06402086859039442,2.1279444840439967,-0.33193762328459353,2.4487451354880747,2.5886394846203067,135.53719008264463,low_morgan_lt_0.25,0.25,-1.5,121
Avalon,121,50,694,482,0.9586776859504132,0.1147107438016529,0.06402086859039442,1.7962829275881385,-0.2755671280869168,2.509237497148396,2.6619838914311535,114.71074380165288,low_morgan_lt_0.25,0.25,-1.5,121
Random,121,50,350,341,0.9338842975206612,0.057851239669421496,0.06402086859039442,0.9036913318315695,-0.09646361504569803,2.628394848060379,2.738889031559816,57.85123966942149,low_morgan_lt_0.25,0.25,-1.5,121
CGP-Align,121,100,3205,2316,0.9752066115702479,0.2648760330578513,0.06402086859039442,4.150388853078087,-0.8026923799197467,2.1380653796631517,2.2666976917571144,264.87603305785126,low_morgan_lt_0.25,0.25,-1.5,121
RDKit2D,121,100,1533,1061,0.9421487603305785,0.12669421487603308,0.06402086859039442,1.9880437390902597,-0.3088707068174488,2.4728963309840575,2.630303494734228,126.69421487603304,low_morgan_lt_0.25,0.25,-1.5,121
NYAN,121,100,1428,964,0.9917355371900827,0.11801652892561983,0.06402086859039442,1.8480066939258488,-0.2937290269860417,2.4818740634499634,2.62694087315472,118.01652892561984,low_morgan_lt_0.25,0.25,-1.5,121
Morgan,121,100,1151,732,1.0,0.09512396694214878,0.06402086859039442,1.492402605902463,-0.19481669916715552,2.5576438599369444,2.704505409947731,95.12396694214877,low_morgan_lt_0.25,0.25,-1.5,121
AtomPair,121,100,1557,1062,1.0,0.12867768595041323,0.06402086859039442,2.0178190847497692,-0.33439950231489657,2.4419298001773235,2.583247055703666,128.67768595041323,low_morgan_lt_0.25,0.25,-1.5,121
Avalon,121,100,1385,948,0.9917355371900827,0.11446280991735538,0.06402086859039442,1.793322763271347,-0.272893188079821,2.5107707211584107,2.667007572829631,114.46280991735537,low_morgan_lt_0.25,0.25,-1.5,121
Random,121,100,757,733,1.0,0.06256198347107438,0.06402086859039442,0.9776066894305906,-0.10010609760443673,2.623655400712809,2.7455833776871295,62.56198347107438,low_morgan_lt_0.25,0.25,-1.5,121
CGP-Align,187,10,658,532,0.8128342245989305,0.3518716577540107,0.09955787156644452,3.549592818932225,-0.8608014122704056,1.718821949051926,1.7250876821665326,351.8716577540107,low_morgan_lt_0.25,0.25,-1.0,187
RDKit2D,187,10,350,294,0.732620320855615,0.18716577540106952,0.09955787156644452,1.891864822286081,-0.328409061619992,2.0223208497201197,2.1410056112189704,187.1657754010695,low_morgan_lt_0.25,0.25,-1.0,187
NYAN,187,10,341,275,0.7486631016042781,0.18235294117647063,0.09955787156644452,1.8416447133796936,-0.2992124407251183,2.0467302556779363,2.130751853351815,182.35294117647058,low_morgan_lt_0.25,0.25,-1.0,187
Morgan,187,10,287,194,0.679144385026738,0.15347593582887703,0.09955787156644452,1.5546334272489974,-0.25277018415368724,2.078932524661821,2.1661362175289343,153.475935828877,low_morgan_lt_0.25,0.25,-1.0,187
AtomPair,187,10,337,265,0.7754010695187166,0.18021390374331553,0.09955787156644452,1.8226372054118418,-0.33704497596033584,2.0311184022655926,2.103637854968021,180.2139037433155,low_morgan_lt_0.25,0.25,-1.0,187
Avalon,187,10,313,221,0.7165775401069518,0.16737967914438506,0.09955787156644452,1.6878761653864107,-0.2814808054838671,2.047049718254892,2.137917730433556,167.37967914438502,low_morgan_lt_0.25,0.25,-1.0,187
Random,187,10,182,182,0.6096256684491979,0.09732620320855616,0.09955787156644452,0.9773870814619506,-0.09035955562731275,2.168326206987177,2.248229687514417,97.32620320855615,low_morgan_lt_0.25,0.25,-1.0,187
CGP-Align,187,50,3008,2305,0.9625668449197861,0.32171122994652407,0.09955787156644452,3.2454126808451496,-0.7650089490953594,1.7959285428723566,1.8654797969170893,321.71122994652404,low_morgan_lt_0.25,0.25,-1.0,187
RDKit2D,187,50,1648,1210,0.9572192513368984,0.17625668449197857,0.09955787156644452,1.779521898496749,-0.3049114136546999,2.043484254670877,2.1583541285350574,176.25668449197863,low_morgan_lt_0.25,0.25,-1.0,187
NYAN,187,50,1626,1179,0.9732620320855615,0.17390374331550804,0.09955787156644452,1.753218579529784,-0.2926921018491061,2.0628011884094954,2.162977872069621,173.903743315508,low_morgan_lt_0.25,0.25,-1.0,187
Morgan,187,50,1289,834,0.9893048128342246,0.13786096256684494,0.09955787156644452,1.3931225802671918,-0.20733113746708481,2.106630112205708,2.2091581787183174,137.8609625668449,low_morgan_lt_0.25,0.25,-1.0,187
AtomPair,187,50,1691,1201,0.9786096256684492,0.18085561497326208,0.09955787156644452,1.8257472581055383,-0.3176343259649702,2.0339945852114973,2.1281762336913674,180.85561497326202,low_morgan_lt_0.25,0.25,-1.0,187
Avalon,187,50,1450,1007,0.9625668449197861,0.15508021390374335,0.09955787156644452,1.5625242585665726,-0.2583883061266272,2.0874670438577714,2.1940523014839037,155.08021390374333,low_morgan_lt_0.25,0.25,-1.0,187
Random,187,50,884,874,0.9893048128342246,0.09454545454545459,0.09955787156644452,0.9498000102074623,-0.10526650768390329,2.1542309114082037,2.2350074592819014,94.54545454545455,low_morgan_lt_0.25,0.25,-1.0,187
CGP-Align,187,100,5701,4170,1.0,0.3048663101604278,0.09955787156644452,3.0747668625185343,-0.6890120624459878,1.840833167164415,1.9260346409215723,304.8663101604278,low_morgan_lt_0.25,0.25,-1.0,187
RDKit2D,187,100,3155,2190,0.9946524064171123,0.16871657754010697,0.09955787156644452,1.7022196750162353,-0.27987619001491815,2.059800512734365,2.1712077010564883,168.71657754010695,low_morgan_lt_0.25,0.25,-1.0,187
NYAN,187,100,3139,2168,0.9946524064171123,0.16786096256684493,0.09955787156644452,1.6915204326315314,-0.2814396104108689,2.0660794230415376,2.1677096793144806,167.8609625668449,low_morgan_lt_0.25,0.25,-1.0,187
Morgan,187,100,2473,1597,0.9946524064171123,0.13224598930481285,0.09955787156644452,1.3342914931478889,-0.18685816690760584,2.1235956692707916,2.2268868023277517,132.2459893048128,low_morgan_lt_0.25,0.25,-1.0,187
AtomPair,187,100,3355,2277,1.0,0.17941176470588233,0.09955787156644452,1.809202457986778,-0.31807798552231303,2.0278592012823715,2.1250750131931224,179.41176470588235,low_morgan_lt_0.25,0.25,-1.0,187
Avalon,187,100,2948,2023,0.9946524064171123,0.15764705882352942,0.09955787156644452,1.588102818811067,-0.2643029532852467,2.086542377865971,2.1938769701508156,157.64705882352942,low_morgan_lt_0.25,0.25,-1.0,187
Random,187,100,1793,1745,1.0,0.09588235294117649,0.09955787156644452,0.962523441844057,-0.10562910243436471,2.1565023128333145,2.2409922526268424,95.88235294117648,low_morgan_lt_0.25,0.25,-1.0,187
CGP-Align,88,10,267,211,0.8409090909090909,0.3034090909090909,0.046587676211579554,6.518912891397951,-1.129339836168616,2.1048210715333964,2.11926972497035,303.4090909090909,low_morgan_lt_0.30,0.3,-2.0,88
RDKit2D,88,10,112,90,0.6136363636363636,0.12727272727272726,0.046587676211579554,2.741957360387819,-0.457529755964854,2.6699989998083438,2.8576975176520962,127.27272727272727,low_morgan_lt_0.30,0.3,-2.0,88
NYAN,88,10,104,80,0.6022727272727273,0.11818181818181818,0.046587676211579554,2.542212009512638,-0.3661024710888425,2.7540770682881965,2.909600679627064,118.18181818181817,low_morgan_lt_0.30,0.3,-2.0,88
Morgan,88,10,100,66,0.6590909090909091,0.11363636363636363,0.046587676211579554,2.4501858244903447,-0.33793582553592966,2.7698408320237253,2.9325881244989103,113.63636363636363,low_morgan_lt_0.30,0.3,-2.0,88
AtomPair,88,10,75,61,0.5909090909090909,0.08522727272727272,0.046587676211579554,1.8374054212588975,-0.3123949209016494,2.7620475898115813,2.9079982616590727,85.22727272727272,low_morgan_lt_0.30,0.3,-2.0,88
Avalon,88,10,94,63,0.625,0.10681818181818183,0.046587676211579554,2.2965952610750384,-0.3733682529127691,2.71070485823121,2.8448774228884512,106.81818181818181,low_morgan_lt_0.30,0.3,-2.0,88
Random,88,10,32,31,0.2840909090909091,0.03636363636363637,0.046587676211579554,0.7770022881279351,-0.04320000978993697,3.015389712561657,3.1354928185352366,36.36363636363636,low_morgan_lt_0.30,0.3,-2.0,88
CGP-Align,88,50,1152,864,0.9659090909090909,0.2618181818181818,0.046587676211579554,5.628818014421595,-0.9857981033518577,2.254139149971611,2.3748175170463086,261.8181818181818,low_morgan_lt_0.30,0.3,-2.0,88
RDKit2D,88,50,477,342,0.8977272727272727,0.10840909090909091,0.046587676211579554,2.3367335479945157,-0.37446666965737346,2.733655259728072,2.932985157705182,108.4090909090909,low_morgan_lt_0.30,0.3,-2.0,88
NYAN,88,50,434,313,0.9545454545454546,0.09863636363636363,0.046587676211579554,2.1201939211265635,-0.3228380786045587,2.7826629339808218,2.9678844044366004,98.63636363636363,low_morgan_lt_0.30,0.3,-2.0,88
Morgan,88,50,396,251,0.9318181818181818,0.09,0.046587676211579554,1.941269612187162,-0.2793848630711992,2.813182880100146,2.9893627138728998,90.0,low_morgan_lt_0.30,0.3,-2.0,88
AtomPair,88,50,412,299,0.9431818181818182,0.09363636363636364,0.046587676211579554,2.0169363729711756,-0.3424379889672855,2.7480365049697735,2.922603167791914,93.63636363636364,low_morgan_lt_0.30,0.3,-2.0,88
Avalon,88,50,428,295,0.9772727272727273,0.0972727272727273,0.046587676211579554,2.0898451966722433,-0.2957399603436616,2.8011371513947165,2.9875001229130165,97.27272727272728,low_morgan_lt_0.30,0.3,-2.0,88
Random,88,50,189,185,0.8636363636363636,0.04295454545454546,0.046587676211579554,0.9215919064279542,-0.08473658943522341,2.9651165344247024,3.0994420407312813,42.95454545454545,low_morgan_lt_0.30,0.3,-2.0,88
CGP-Align,88,100,2010,1443,0.9772727272727273,0.22840909090909092,0.046587676211579554,4.910514101537604,-0.8627744694346422,2.346471927258674,2.492170362365538,228.40909090909093,low_morgan_lt_0.30,0.3,-2.0,88
RDKit2D,88,100,848,582,0.9659090909090909,0.09636363636363637,0.046587676211579554,2.0749969926307226,-0.3361498008305352,2.766722289075637,2.958405144199126,96.36363636363636,low_morgan_lt_0.30,0.3,-2.0,88
NYAN,88,100,806,557,0.9886363636363636,0.0915909090909091,0.046587676211579554,1.9676281227172225,-0.31716080538730734,2.7773144260000913,2.955368163137543,91.5909090909091,low_morgan_lt_0.30,0.3,-2.0,88
Morgan,88,100,656,404,0.9886363636363636,0.07454545454545455,0.046587676211579554,1.6051467230732555,-0.22746649952322928,2.854426532073908,3.0212045962596843,74.54545454545455,low_morgan_lt_0.30,0.3,-2.0,88
AtomPair,88,100,803,560,1.0,0.09125000000000001,0.046587676211579554,1.9633112443039424,-0.34976761543066953,2.7401169130328675,2.90862012861577,91.25,low_morgan_lt_0.30,0.3,-2.0,88
Avalon,88,100,809,549,0.9886363636363636,0.09193181818181818,0.046587676211579554,1.9760460995944045,-0.28265546425835053,2.81229158709337,3.0030409728086935,91.93181818181819,low_morgan_lt_0.30,0.3,-2.0,88
Random,88,100,385,376,0.9886363636363636,0.04375,0.046587676211579554,0.9400403330831547,-0.0896738739080452,2.956775290623403,3.1017117460968704,43.75,low_morgan_lt_0.30,0.3,-2.0,88
CGP-Align,121,10,400,321,0.8181818181818182,0.3305785123966942,0.06425775364349977,5.156014368379365,-1.0262750332373627,1.9455994059863762,1.9668745197628024,330.57851239669424,low_morgan_lt_0.30,0.3,-1.5,121
RDKit2D,121,10,185,148,0.6859504132231405,0.15289256198347106,0.06425775364349977,2.3847836380176197,-0.4161157829506123,2.3932481000442367,2.5332887324933657,152.89256198347107,low_morgan_lt_0.30,0.3,-1.5,121
NYAN,121,10,165,132,0.6363636363636364,0.13636363636363638,0.06425775364349977,2.1239566855520264,-0.3308581281259025,2.4634078804166863,2.5811942127376435,136.36363636363635,low_morgan_lt_0.30,0.3,-1.5,121
Morgan,121,10,154,106,0.6611570247933884,0.1272727272727273,0.06425775364349977,1.9859664463595186,-0.2885060842088828,2.4901624268034865,2.626084463271093,127.27272727272727,low_morgan_lt_0.30,0.3,-1.5,121
AtomPair,121,10,162,129,0.71900826446281,0.1338842975206612,0.06425775364349977,2.0883405249004836,-0.325168310201723,2.4539585065399687,2.572883863788587,133.88429752066116,low_morgan_lt_0.30,0.3,-1.5,121
Avalon,121,10,150,102,0.6528925619834711,0.12396694214876036,0.06425775364349977,1.929511442199434,-0.3358657709580715,2.4362656411303063,2.538798544606413,123.96694214876034,low_morgan_lt_0.30,0.3,-1.5,121
Random,121,10,64,64,0.4049586776859504,0.05289256198347108,0.06425775364349977,0.8234858859670066,-0.05958986899609608,2.647790974954601,2.7536600892651397,52.892561983471076,low_morgan_lt_0.30,0.3,-1.5,121
CGP-Align,121,50,1780,1350,0.9421487603305785,0.2942148760330578,0.06425775364349977,4.589366322552678,-0.9099223301666097,2.07556083387193,2.184043751408977,294.21487603305786,low_morgan_lt_0.30,0.3,-1.5,121
RDKit2D,121,50,843,605,0.9090909090909091,0.1393388429752066,0.06425775364349977,2.1730383832601787,-0.3532599198661479,2.440160465620676,2.603249303140766,139.3388429752066,low_morgan_lt_0.30,0.3,-1.5,121
NYAN,121,50,756,553,0.9421487603305785,0.12495867768595044,0.06425775364349977,1.9457563748153763,-0.31463955031370183,2.477491450078991,2.6264791880611114,124.9586776859504,low_morgan_lt_0.30,0.3,-1.5,121
Morgan,121,50,663,428,0.9669421487603306,0.10958677685950413,0.06425775364349977,1.7103251947733649,-0.24819031047551077,2.516964706092571,2.666633146237255,109.58677685950413,low_morgan_lt_0.30,0.3,-1.5,121
AtomPair,121,50,829,589,0.9504132231404959,0.13702479338842977,0.06425775364349977,2.136410462976609,-0.3404929782843221,2.4433440006753213,2.5896656847999564,137.02479338842974,low_morgan_lt_0.30,0.3,-1.5,121
Avalon,121,50,692,480,0.9586776859504132,0.11438016528925621,0.06425775364349977,1.7821275290371539,-0.2771270433529319,2.507123266567576,2.6582411192400834,114.3801652892562,low_morgan_lt_0.30,0.3,-1.5,121
Random,121,50,344,337,0.9586776859504132,0.056859504132231405,0.06425775364349977,0.8850278906167519,-0.09447095065648006,2.6229569205510805,2.7362660020072695,56.85950413223141,low_morgan_lt_0.30,0.3,-1.5,121
CGP-Align,121,100,3220,2335,0.9834710743801653,0.26611570247933886,0.06425775364349977,4.152143856681761,-0.8064941581822586,2.1374478086351405,2.2673446622562654,266.11570247933884,low_morgan_lt_0.30,0.3,-1.5,121
RDKit2D,121,100,1560,1073,0.9669421487603306,0.12892561983471076,0.06425775364349977,2.0096773241317214,-0.3146114652345442,2.4710827420042127,2.6305177593478657,128.92561983471074,low_morgan_lt_0.30,0.3,-1.5,121
NYAN,121,100,1450,982,1.0,0.11983471074380166,0.06425775364349977,1.8654654169931815,-0.2999870357705349,2.478298660440405,2.6241138038977843,119.83471074380165,low_morgan_lt_0.30,0.3,-1.5,121
Morgan,121,100,1192,746,1.0,0.09851239669421488,0.06425775364349977,1.535845788853589,-0.20827634231564554,2.5503602449415825,2.694400802014149,98.51239669421489,low_morgan_lt_0.30,0.3,-1.5,121
AtomPair,121,100,1571,1074,1.0,0.12983471074380165,0.06425775364349977,2.023368560859094,-0.34006344839001135,2.4373254940289932,2.5792545968924516,129.83471074380165,low_morgan_lt_0.30,0.3,-1.5,121
Avalon,121,100,1392,951,0.9917355371900827,0.11504132231404961,0.06425775364349977,1.7930334479733727,-0.27589150660331674,2.509390450065411,2.6660503006880827,115.0413223140496,low_morgan_lt_0.30,0.3,-1.5,121
Random,121,100,712,696,1.0,0.05884297520661158,0.06425775364349977,0.9156404930715821,-0.09917969923672816,2.6197834237025472,2.73620008983099,58.84297520661157,low_morgan_lt_0.30,0.3,-1.5,121
CGP-Align,187,10,660,538,0.839572192513369,0.35294117647058826,0.09984842995741096,3.54445060831849,-0.8535871179802108,1.7146271164585987,1.723121093401348,352.94117647058823,low_morgan_lt_0.30,0.3,-1.0,187
RDKit2D,187,10,355,283,0.732620320855615,0.18983957219251338,0.09984842995741096,1.9072907634153986,-0.3476353038249308,2.007181407952741,2.1100809972367203,189.83957219251337,low_morgan_lt_0.30,0.3,-1.0,187
NYAN,187,10,343,274,0.7379679144385026,0.1834224598930482,0.09984842995741096,1.8412616797108488,-0.3088655069797552,2.051992089519642,2.139059014005193,183.4224598930481,low_morgan_lt_0.30,0.3,-1.0,187
Morgan,187,10,299,209,0.7005347593582888,0.15989304812834226,0.09984842995741096,1.6078020361071643,-0.25391187964926754,2.0663148312261366,2.1632873205829757,159.89304812834223,low_morgan_lt_0.30,0.3,-1.0,187
AtomPair,187,10,333,261,0.786096256684492,0.17807486631016045,0.09984842995741096,1.7890968195468369,-0.3308440628995058,2.035315457275224,2.116788914227014,178.07486631016042,low_morgan_lt_0.30,0.3,-1.0,187
Avalon,187,10,321,222,0.7058823529411765,0.17165775401069516,0.09984842995741096,1.72400486429553,-0.286177951225981,2.039603042123431,2.1137236296538546,171.6577540106952,low_morgan_lt_0.30,0.3,-1.0,187
Random,187,10,174,174,0.6363636363636364,0.09304812834224598,0.09984842995741096,0.9332378577235874,-0.07893479803855964,2.1749626043372174,2.2470539501450464,93.04812834224599,low_morgan_lt_0.30,0.3,-1.0,187
CGP-Align,187,50,2998,2308,0.9679144385026738,0.3206417112299465,0.09984842995741096,3.220050177299487,-0.7597586907238267,1.7985816231570122,1.8673429763468137,320.6417112299465,low_morgan_lt_0.30,0.3,-1.0,187
RDKit2D,187,50,1690,1211,0.9625668449197861,0.18074866310160426,0.09984842995741096,1.814419529282535,-0.3155766050224591,2.037647099886799,2.1513096288977724,180.74866310160428,low_morgan_lt_0.30,0.3,-1.0,187
NYAN,187,50,1647,1193,0.983957219251337,0.17614973262032085,0.09984842995741096,1.766771130845246,-0.29414077244736975,2.0654150061835446,2.170306521027105,176.14973262032086,low_morgan_lt_0.30,0.3,-1.0,187
Morgan,187,50,1348,878,0.9946524064171123,0.1441711229946524,0.09984842995741096,1.4482335326542646,-0.2216062275505124,2.096483963081946,2.2023687798640053,144.1711229946524,low_morgan_lt_0.30,0.3,-1.0,187
AtomPair,187,50,1705,1205,0.983957219251337,0.18235294117647055,0.09984842995741096,1.8303506574769857,-0.3227456628398056,2.0302731737018034,2.1285819058539346,182.35294117647058,low_morgan_lt_0.30,0.3,-1.0,187
Avalon,187,50,1470,1014,0.9625668449197861,0.1572192513368984,0.09984842995741096,1.5776100148878813,-0.26254851310768534,2.084060516636713,2.192325311853148,157.2192513368984,low_morgan_lt_0.30,0.3,-1.0,187
Random,187,50,900,889,0.9946524064171123,0.0962566844919786,0.09984842995741096,0.9644477316277383,-0.09528372227016932,2.1720307715262357,2.2630058767530508,96.2566844919786,low_morgan_lt_0.30,0.3,-1.0,187
CGP-Align,187,100,5718,4199,1.0,0.30577540106951867,0.09984842995741096,3.0705322236763175,-0.6914599521295044,1.840032700585067,1.9263152011740519,305.77540106951875,low_morgan_lt_0.30,0.3,-1.0,187
RDKit2D,187,100,3197,2202,1.0,0.1709625668449198,0.09984842995741096,1.7153894952137245,-0.2851726523240036,2.0592336063151637,2.172519421571602,170.9625668449198,low_morgan_lt_0.30,0.3,-1.0,187
NYAN,187,100,3185,2195,0.9946524064171123,0.17032085561497326,0.09984842995741096,1.7078471050733721,-0.28665709904688264,2.06452429827642,2.1667639793763387,170.32085561497325,low_morgan_lt_0.30,0.3,-1.0,187
Morgan,187,100,2539,1632,0.9946524064171123,0.13577540106951871,0.09984842995741096,1.3628458111795534,-0.19679104818403162,2.118398614802867,2.2205678472820827,135.77540106951872,low_morgan_lt_0.30,0.3,-1.0,187
AtomPair,187,100,3392,2303,1.0,0.1813903743315508,0.09984842995741096,1.8198476988010015,-0.322057186607287,2.0243506908098845,2.121560798194085,181.39037433155082,low_morgan_lt_0.30,0.3,-1.0,187
Avalon,187,100,2986,2038,0.9946524064171123,0.15967914438502673,0.09984842995741096,1.6017599980216781,-0.2676031947885248,2.085893465568966,2.1937711224766736,159.67914438502672,low_morgan_lt_0.30,0.3,-1.0,187
