independent_run,direction,short,branch,candidate_setting,metric,observed,random_ranking,fold_enrichment,positive_count_mean,negative_count,num_queries,num_gallery
41,Compound to profile,C-P,compound-profile,1:100 sampled,Top10,0.8392986698911729,0.4035654956487514,2.0797086939802893,5.625755743651753,100.0,11578,65135
41,Compound to profile,C-P,compound-profile,full gallery,Recall@1,0.009068923821039904,8.63707030575155e-05,105.000000000009,5.625755743651753,65129.374244256345,11578,65135
41,Compound to profile,C-P,compound-profile,full gallery,Recall@5,0.03161167731905338,0.00043163456168780675,73.2371318817549,5.625755743651753,65129.374244256345,11578,65135
41,Compound to profile,C-P,compound-profile,full gallery,Recall@10,0.05061323199170841,0.0008627249762617015,58.66670536307186,5.625755743651753,65129.374244256345,11578,65135
41,Profile to compound,P-C,compound-profile,1:100 sampled,Top1,0.14185307438397174,0.009900990099009908,14.327160512781136,1.0,100.0,65135,11578
41,Profile to compound,P-C,compound-profile,1:100 sampled,Top10,0.5270085207645658,0.0990099009900991,5.322786059722111,1.0,100.0,65135,11578
41,Profile to compound,P-C,compound-profile,full gallery,Recall@1,0.0057265678974437705,8.637070305750338e-05,66.30220311661894,1.0,11577.0,65135,11578
41,Profile to compound,P-C,compound-profile,full gallery,Recall@5,0.02101788592922392,0.00043185351528762794,48.669016657709385,1.0,11577.0,65135,11578
41,Profile to compound,P-C,compound-profile,full gallery,Recall@10,0.03431334919781991,0.0008637070305751449,39.72799570123976,1.0,11577.0,65135,11578
41,Gene to profile,G-P,gene-profile,1:100 sampled,Top1,0.19625055138950154,0.04901493559424498,4.003892874900441,5.160564622849581,100.0,2267,11699
41,Gene to profile,G-P,gene-profile,1:100 sampled,Top10,0.6569475077194531,0.40755641230098605,1.6119179772205088,5.160564622849581,100.0,2267,11699
41,Gene to profile,G-P,gene-profile,full gallery,Recall@1,0.014556682840758712,0.0004411116012350925,33.00000000000149,5.160564622849581,11693.839435377151,2267,11699
41,Gene to profile,G-P,gene-profile,full gallery,Recall@5,0.03617115130127922,0.0022039378784242513,16.412055736861557,5.160564622849581,11693.839435377151,2267,11699
41,Gene to profile,G-P,gene-profile,full gallery,Recall@10,0.0564622849580944,0.004403829188626529,12.82117960067927,5.160564622849581,11693.839435377151,2267,11699
41,Profile to gene,P-G,gene-profile,1:100 sampled,Top1,0.07387810924010599,0.00990099009900991,7.461689033250698,1.0,100.0,11699,2267
41,Profile to gene,P-G,gene-profile,1:100 sampled,Top10,0.35627831438584495,0.0990099009900991,3.598410975297031,1.0,100.0,11699,2267
41,Profile to gene,P-G,gene-profile,full gallery,Recall@1,0.007778442601931789,0.00044111160123516685,17.633729378577193,1.0,2266.0,11699,2267
41,Profile to gene,P-G,gene-profile,full gallery,Recall@5,0.026668946063766134,0.002205558006175612,12.091700145311293,1.0,2266.0,11699,2267
41,Profile to gene,P-G,gene-profile,full gallery,Recall@10,0.04384990170100009,0.004411116012351002,9.940772715616998,1.0,2266.0,11699,2267
