method,query_idx,retrieved_idx,pair_a,pair_b,rank,method_score,prism_response_corr,top_gene_k,shared_top_gene_count,shared_top_gene_jaccard,shared_gene_hypergeom_p,shared_gene_neglog10p,num_category_hits,num_unique_categories,dominant_categories,query_name,retrieved_name,query_moa,retrieved_moa,query_targets,retrieved_targets,known_target_hits_top_gene,known_target_hits_shared_gene,shared_gene_symbols_top20
CGP-Align,245,1594,245,1594,5,0.6517208814620972,0.3376070559024811,50,7,0.07526881720430108,3.209236725104128e-08,7.493598246564641,0,0,,cisapride,acetophenazine,serotonin receptor agonist,dopamine receptor antagonist,"HTR2A, HTR3A, HTR4, KCNH2","DRD1, DRD2",,,E2F5;WASL;E2F4;NF2;KCNA1;KCNA2;MYBL2
CGP-Align,1670,934,934,1670,5,0.8071765303611755,0.3370436429977417,50,25,0.3333333333333333,3.851724614109988e-44,43.414344771092615,1,1,Lipid/transport state:1,AST-1306,LY2228820,EGFR inhibitor,p38 MAPK inhibitor,"EGFR, ERBB2",MAPK14,,,CHN2;TAGAP;SYT11;MED14;KMT2C;SYT12;PRPF8;SOCS2;RUNX3;MYCT1;ASAP3;SOCS6;SLC2A11;E2F4;RD3;RUNX2;TBC1D22A;CSNK1D;EIF4G1;E2F5
CGP-Align,470,1692,470,1692,5,0.6560748219490051,0.3357905745506286,50,11,0.12359550561797752,1.2002123197780373e-14,13.920741919659442,4,2,DNA damage/repair:2; Nuclear receptor/xenobiotic:2,fenbendazole,PTC-209,tubulin polymerization inhibitor,BMI-1 inhibitor,TUBB,,,,CHN2;MDM2;REV3L;BRCA2;PRPF8;RACGAP1;GTF2I;WEE1;ARHGEF26;ARHGEF9;ANK2
CGP-Align,1080,1585,1080,1585,5,0.9105003476142884,0.3294970393180847,50,33,0.4925373134328358,1.4992566019752974e-65,64.82412403007055,6,4,Cell cycle/mitosis:2; Nuclear receptor/xenobiotic:2; MAPK/RTK:1; PI3K/AKT/mTOR:1,MPI-0479605,TAK-901,mitotic kinase inhibitor,Aurora kinase inhibitor,TTK,AURKB,,,CHN2;REV3L;CDC25A;DDX56;SOCS2;PIK3R3;POLQ;CISH;WRN;AFF3;MED14;RUNX3;SOCS3;MAP3K2;PRPF8;SYT11;RUNX2;TRRAP;PCNA;MDM2
CGP-Align,717,1119,717,1119,5,0.7241216897964478,0.326560914516449,50,21,0.26582278481012656,1.0606796405142755e-34,33.97441576724446,6,3,Cell cycle/mitosis:3; Nuclear receptor/xenobiotic:2; DNA damage/repair:1,nexturastat-a,CUDC-101,HDAC inhibitor,EGFR inhibitor,"HDAC1, HDAC6","EGFR, ERBB2",,,SOCS6;TRRAP;DDX56;ARHGEF26;FBXO5;CDC25A;SYT11;CCNA1;UBTF;SYT4;POLQ;NGEF;CDC42EP3;BRCA2;TFDP1;RACGAP1;TFDP2;ARHGEF16;SGK3;MYBBP1A
CGP-Align,227,105,105,227,5,0.8745570778846741,0.3229468762874603,50,34,0.5151515151515151,1.7276785145474666e-68,67.76253706761372,4,3,Cell cycle/mitosis:2; DNA damage/repair:1; PI3K/AKT/mTOR:1,PRT062070,buparlisib,"JAK inhibitor, syk inhibitor",PI3K inhibitor,SYK,"PIK3CA, PIK3CG",SYK,,REV3L;CISH;SOCS2;SYT11;RUNX3;SOCS3;WRN;BRCA2;DDX56;PI4KA;CHN2;RUNX2;MED14;AFF3;POLQ;SOCS6;CDC25A;MDM2;MED13;RUNX1
CGP-Align,334,1707,334,1707,5,0.6637496948242188,0.3209424912929535,50,16,0.19047619047619047,5.037496347360787e-24,23.29778525575339,7,3,Cell cycle/mitosis:3; Nuclear receptor/xenobiotic:3; DNA damage/repair:1,OSI-930,RAF265,"KIT inhibitor, VEGFR inhibitor","RAF inhibitor, VEGFR inhibitor","KDR, KIT",BRAF,,,DDX56;ARHGEF16;REV3L;TRRAP;POLQ;BRCA2;MYBBP1A;CHN2;ARHGEF9;ARHGEF25;CDC25A;CDCA3;EIF2AK1;SYK;CCNA2;UBTF
CGP-Align,265,200,200,265,5,0.883162260055542,0.3048923909664154,50,29,0.4084507042253521,2.1100714677989926e-54,53.67570283496529,8,4,Nuclear receptor/xenobiotic:4; Cell cycle/mitosis:2; MAPK/RTK:1; PI3K/AKT/mTOR:1,LGX818,CEP-32496,RAF inhibitor,RAF inhibitor,BRAF,"BRAF, RAF1",,,CHN2;RUNX3;RUNX2;TAGAP;RUNX1;POLQ;WRN;REV3L;SYT11;SOCS3;MAP3K2;CDC25A;PIK3R3;SYT12;SYK;CDK17;ARHGEF25;MED14;ARHGAP6;VGLL4
CGP-Align,33,1585,33,1585,5,0.8734573721885681,0.3037616014480591,50,29,0.4084507042253521,2.1100714677989926e-54,53.67570283496529,6,5,Cell cycle/mitosis:2; Epigenetic/chromatin:1; MAPK/RTK:1; Nuclear receptor/xenobiotic:1,torin-1,TAK-901,mTOR inhibitor,Aurora kinase inhibitor,MTOR,AURKB,MTOR,,CHN2;REV3L;CDC25A;PRPF8;AFF3;RUNX3;POLQ;DDX56;MED14;TAGAP;PIK3R3;CISH;WRN;MAP3K2;STAG1;CSNK1D;CHD6;RUNX2;SOCS3;EHMT1
CGP-Align,99,421,99,421,5,0.8194376230239868,0.3018970787525177,50,28,0.3888888888888889,9.320406357835471e-52,51.030565152547474,6,4,Cell cycle/mitosis:2; MAPK/RTK:2; DNA damage/repair:1; PI3K/AKT/mTOR:1,dabrafenib,AMG458,RAF inhibitor,MET inhibitor,"BRAF, LIMK1, NEK11, RAF1, SIK1",MET,,,CHN2;CDC25A;PCNA;DDX56;E2F4;POLQ;CSNK1D;REV3L;MAP3K2;RUNX3;MAP3K3;TAGAP;PIK3R3;RUNX2;WRN;CISH;CDC25C;AFF3;RACGAP1;SYK
CGP-Align,1527,1697,1527,1697,5,0.919558584690094,0.3016523122787475,50,38,0.6129032258064516,6.278009648477328e-81,80.20217802118181,5,3,Cell cycle/mitosis:3; Lipid/transport state:1; PI3K/AKT/mTOR:1,TWS-119,cediranib,glycogen synthase kinase inhibitor,"KIT inhibitor, VEGFR inhibitor","GSK3B, JUN, MYC","CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRA, PDGFRB",,,RUNX3;RUNX2;REV3L;WRN;CHN2;SYT11;SOCS2;RUNX1;POLQ;MED14;AFF3;AFF1;SOCS3;PI4KA;CISH;DDX56;MDM2;SLC2A11;HS1BP3;SYT12
CGP-Align,33,1196,33,1196,6,0.8703243136405945,0.5105727314949036,50,29,0.4084507042253521,2.1100714677989926e-54,53.67570283496529,7,4,Cell cycle/mitosis:3; PI3K/AKT/mTOR:2; MAPK/RTK:1; Nuclear receptor/xenobiotic:1,torin-1,WYE-125132,mTOR inhibitor,mTOR inhibitor,MTOR,MTOR,MTOR,MTOR,CHN2;REV3L;DDX56;RUNX3;CDC25A;SOCS3;MED14;CISH;AFF3;TAGAP;POLQ;RUNX2;PIK3R3;PRPF8;CCNT1;WRN;VGLL4;SYT11;MDM2;RACGAP1
CGP-Align,1637,1238,1238,1637,6,0.7992945313453674,0.4763966202735901,50,25,0.3333333333333333,3.851724614109988e-44,43.414344771092615,1,1,Cell cycle/mitosis:1,barasertib-HQPA,amsacrine,Aurora kinase inhibitor,topoisomerase inhibitor,AURKB,"KCNH2, TOP2A",,,CHN2;SYT11;PI4KA;SYT4;SOCS2;SOCS6;WRN;HS1BP3;MDM2;RUNX2;MNAT1;NSD1;TNFRSF14;MED14;AFF3;SYT1;EHMT1;REV3L;RUNX1;NCF4
CGP-Align,1835,1220,1220,1835,6,0.7318974733352661,0.4728953838348388,50,23,0.2987012987012987,2.5463133512683163e-39,38.594088152782554,3,3,Cell cycle/mitosis:1; Lipid/transport state:1; Microtubule:1,GSK1070916,cyt387,Aurora kinase inhibitor,,"AURKA, AURKB, AURKC, CYP2D6, CYP3A4","JAK1, JAK2, JAK3",,,CHN2;REV3L;POLQ;SYT11;SYT12;WRN;RUNX2;RUNX3;PCNA;AFF1;SOCS3;E2F4;TAGAP;SYT1;FBXO5;MED14;PAK1;RUNX1;PHACTR1;SLC2A11
CGP-Align,470,958,470,958,6,0.6388380527496338,0.4660179913043976,50,18,0.21951219512195122,3.819985189669634e-28,27.417938320872903,4,3,DNA damage/repair:2; Cell cycle/mitosis:1; Microtubule:1,fenbendazole,NVP-AUY922,tubulin polymerization inhibitor,HSP inhibitor,TUBB,"HSP90AA1, HSP90AB1",,,MDM2;CHN2;KIF11;MED14;REV3L;TRRAP;DDX56;RFC1;SYT11;PRPF8;BTK;BRCA2;FBXO5;RACGAP1;WEE1;SYT4;CDCA3;BMX
CGP-Align,314,685,314,685,6,0.5061839818954468,0.4348874688148498,50,5,0.05263157894736842,1.8838077889980352e-05,4.724963411753355,2,2,Cell cycle/mitosis:1; Microtubule:1,SNS-314,GW-843682X,Aurora kinase inhibitor,PLK inhibitor,"AURKA, AURKB, AURKC","PLK1, PLK3",AURKA;AURKB;PLK1,,EIF2AK1;KIF20B;STK26;PAK1;CDK18
CGP-Align,227,1486,227,1486,6,0.8723188638687134,0.4230832159519195,50,33,0.4925373134328358,1.4992566019752974e-65,64.82412403007055,5,3,Cell cycle/mitosis:2; PI3K/AKT/mTOR:2; DNA damage/repair:1,buparlisib,NVP-TAE226,PI3K inhibitor,protein tyrosine kinase inhibitor,"PIK3CA, PIK3CG",PTK2,,,RUNX3;REV3L;PI4KA;AFF3;CHN2;RUNX2;MED14;CISH;SYT11;WRN;RUNX1;SOCS2;SOCS3;SOCS6;DDX56;CDC25A;BRCA2;MED13;POLQ;TRRAP
CGP-Align,1536,1067,1067,1536,6,0.7379933595657349,0.4185321033000946,50,13,0.14942528735632185,3.1125054830830187e-18,17.506889874829348,1,1,PI3K/AKT/mTOR:1,BIX-01294,JTC-801,histone lysine methyltransferase inhibitor,opioid receptor antagonist,"EHMT1, EHMT2",OPRL1,,,MNAT1;LAMTOR1;VTI1B;KMT2C;STX8;SYT11;KMT2B;RNF19A;SFT2D2;SOCS6;MREG;PRRG4;SFTPC
CGP-Align,1236,35,35,1236,6,0.8789175748825073,0.4130055010318756,50,30,0.42857142857142855,4.2070915821666967e-57,56.37601803393101,6,2,Nuclear receptor/xenobiotic:5; Cell cycle/mitosis:1,aurora-a-inhibitor-i,CCT129202,Aurora kinase inhibitor,Aurora kinase inhibitor,AURKA,"AURKA, AURKB, AURKC",,,CHN2;TAGAP;SYT11;REV3L;MDM2;POLQ;SYT12;MED14;SYT4;ARHGEF26;SOCS6;EHMT1;RACGAP1;FBXO5;RUNX3;ARHGAP6;ARHGEF16;PAK1;PI4KA;ARHGEF9
CGP-Align,529,232,232,529,6,0.8917319774627686,0.4116740524768829,50,29,0.4084507042253521,2.1100714677989926e-54,53.67570283496529,5,3,Nuclear receptor/xenobiotic:3; Cell cycle/mitosis:1; MAPK/RTK:1,foretinib,VER-49009,VEGFR inhibitor,HSP inhibitor,"FLT1, FLT4, KDR, MET",HSP90AA1,,,RUNX3;CHN2;RUNX1;RUNX2;SYT11;MED14;WRN;PI4KA;POLQ;DDX56;TAGAP;MDM2;SYT12;REV3L;AFF3;SOCS2;SOCS3;ARHGEF16;CISH;CDC25A
CGP-Align,1186,1080,1080,1186,6,0.9004374146461487,0.4072521030902862,50,31,0.4492753623188406,7.362056947957032e-60,59.133000827464215,7,5,Cell cycle/mitosis:2; Nuclear receptor/xenobiotic:2; Lipid/transport state:1; MAPK/RTK:1,MPI-0479605,LY2801653,mitotic kinase inhibitor,MET inhibitor,TTK,MET,,,CHN2;DDX56;CDC25A;REV3L;POLQ;SYT11;SOCS3;SOCS2;CISH;SYT12;TAGAP;ARHGEF25;E2F4;RUNX3;CDCA3;PIK3R3;MED14;WRN;RUNX2;TRRAP
CGP-Align,1299,570,570,1299,6,0.7953174114227295,0.4009601473808288,50,23,0.2987012987012987,2.5463133512683163e-39,38.594088152782554,3,3,Cell cycle/mitosis:1; Epigenetic/chromatin:1; Proteostasis:1,AT13387,TAS-103,HSP antagonist,topoisomerase inhibitor,HSP90AA1,TOP1,,,SOCS6;FBXO5;CHN2;HS1BP3;SYT11;SYT4;SGK3;SNX16;PI4KA;MNAT1;REV3L;NCF4;AFF3;MDM2;NSD1;PRDM2;PIAS1;TNFRSF14;PIAS2;CRKL
CGP-Align,543,1553,543,1553,6,0.5712234377861023,0.3937478363513946,50,12,0.13636363636363635,2.0644478333310228e-16,15.685196086866643,1,1,DNA damage/repair:1,albendazole,vorinostat,tubulin polymerization inhibitor,HDAC inhibitor,"TUBA1A, TUBB, TUBB4B","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC5, HDAC6, HDAC8, HDAC9",,,MDM2;TNPO1;TCOF1;MED14;SYT4;RFC1;FBXO5;PAGR1;WEE1;WWP1;GRB7;TRIM27
CGP-Align,1692,1236,1236,1692,6,0.798414945602417,0.3858958482742309,50,28,0.3888888888888889,9.320406357835471e-52,51.030565152547474,7,5,Cell cycle/mitosis:2; Nuclear receptor/xenobiotic:2; DNA damage/repair:1; MAPK/RTK:1,CCT129202,PTC-209,Aurora kinase inhibitor,BMI-1 inhibitor,"AURKA, AURKB, AURKC",,,,CHN2;REV3L;TAGAP;MAP3K2;RACGAP1;BRCA2;POLQ;CDC25A;ARHGEF26;PIK3R3;PRPF8;MDM2;CSK;PCNA;PAK1;SYK;WRN;STK26;AFF3;E2F5
CGP-Align,673,389,389,673,6,0.8182573914527893,0.3787873089313507,50,26,0.35135135135135137,1.256351603930026e-46,45.90088880146085,3,2,Nuclear receptor/xenobiotic:2; Cell cycle/mitosis:1,AZD3463,CUDC-907,"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor",PI3K inhibitor,"ALK, IGF1R","HDAC2, PIK3R1",,,CHN2;DDX56;REV3L;MED14;PRPF8;TRRAP;SOCS6;MDM2;POLQ;FBXO5;ARHGEF26;TAGAP;SYT11;EHMT1;CRKL;E2F5;CSK;AFF3;TRIP10;CCNA2
CGP-Align,1585,1323,1323,1585,6,0.9172897934913636,0.3728303611278534,50,33,0.4925373134328358,1.4992566019752974e-65,64.82412403007055,7,4,Cell cycle/mitosis:3; Nuclear receptor/xenobiotic:2; MAPK/RTK:1; PI3K/AKT/mTOR:1,PHA-848125,TAK-901,"CDK inhibitor, growth factor receptor inhibitor",Aurora kinase inhibitor,"CDK2, CDK4, CDK7, NTRK1",AURKB,,,CHN2;REV3L;WRN;CDC25A;POLQ;RUNX3;SOCS2;CISH;AFF3;PIK3R3;TRRAP;DDX56;MED14;SYT11;RUNX2;PI4KA;MAP3K2;SOCS3;SOCS6;FBXO5
CGP-Align,841,273,273,841,6,0.8625312447547913,0.3710273206233978,50,30,0.42857142857142855,4.2070915821666967e-57,56.37601803393101,4,2,Cell cycle/mitosis:3; PI3K/AKT/mTOR:1,BX-912,AT-9283,pyruvate dehydrogenase kinase inhibitor,"Aurora kinase inhibitor, JAK inhibitor","CDK2, CHEK1, GSK3B, KDR, PDK1, PDPK1","AURKA, AURKB, JAK2, JAK3, RPS6KA6, STK17A",AURKB;PDPK1,AURKB,WRN;PI4KA;RUNX3;RUNX2;SOCS2;CHN2;RUNX1;DDX56;CDC25A;MED14;CISH;TRRAP;REV3L;SGK1;CRKL;SOCS3;AFF3;CCNA1;SYK;AURKB
CGP-Align,367,171,171,367,6,0.8341766595840454,0.3664995729923248,50,26,0.35135135135135137,1.256351603930026e-46,45.90088880146085,3,2,Nuclear receptor/xenobiotic:2; Lipid/transport state:1,WHI-P154,BIBX-1382,JAK inhibitor,EGFR inhibitor,"EGFR, JAK1, JAK2, JAK3","EGFR, ERBB2",,,RUNX3;RUNX1;MED14;RUNX2;AFF3;AFF1;CHN2;TAF1;SYT12;MDM2;SYT11;REV3L;SOCS3;TCF20;KMT2C;CREBBP;DEF6;BPTF;E2F1;ARID1A
CGP-Align,1269,881,881,1269,6,0.7993825078010559,0.3648754060268402,50,24,0.3157894736842105,1.0496823698947559e-41,40.978942096997415,4,3,PI3K/AKT/mTOR:2; Cell cycle/mitosis:1; Nuclear receptor/xenobiotic:1,PP242,voxtalisib,mTOR inhibitor,"mTOR inhibitor, PI3K inhibitor","MTOR, PASK","MTOR, PIK3CA",MTOR,MTOR,RUNX3;AFF3;MED14;RUNX2;RUNX1;CHN2;REV3L;AFF1;CCNT1;SOCS3;TAF1;MTOR;BPTF;WRN;ZFP36;PIK3R3;PI4KA;MDM2;POLQ;CRKL
CGP-Align,1564,191,191,1564,6,0.6466367840766907,0.3616823256015777,50,15,0.17647058823529413,4.846287989994581e-22,21.31459078154205,1,1,Cell cycle/mitosis:1,ethacridine-lactate-monohydrate,proflavine-hemisulfate,DNA intercalating agent,topical anesthetic,,F2,,,FBXO5;SKP2;SOCS2;IFNA1;SGK1;IFNA13;TNFRSF17;IFNA2;IFNA8;IFNA5;IFNA14;CISH;CDC25A;KSR2;REV3L
CGP-Align,685,35,35,685,6,0.8179872632026672,0.3552015721797943,50,26,0.35135135135135137,1.256351603930026e-46,45.90088880146085,4,2,Nuclear receptor/xenobiotic:3; Cell cycle/mitosis:1,aurora-a-inhibitor-i,GW-843682X,Aurora kinase inhibitor,PLK inhibitor,AURKA,"PLK1, PLK3",PLK1,,CHN2;TAGAP;SYT11;MDM2;REV3L;POLQ;SYT12;MED14;SOCS3;ARHGAP6;FBXO5;ARHGEF25;EHMT1;PAK1;ACVR1;WRN;SOCS2;TRRAP;RUNX2;RD3
CGP-Align,1401,1011,1011,1401,6,0.8652873039245605,0.3502974510192871,50,29,0.4084507042253521,2.1100714677989926e-54,53.67570283496529,5,3,Cell cycle/mitosis:2; PI3K/AKT/mTOR:2; Microtubule:1,PP-121,PI-103,protein tyrosine kinase inhibitor,"mTOR inhibitor, PI3K inhibitor","ABL1, EGFR, HCK, KDR, MTOR, PDGFRA, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC, SRC","MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PRKDC",MTOR,MTOR,RUNX3;CHN2;AFF3;RUNX2;RUNX1;REV3L;CDC25A;AFF1;WRN;MED14;PI4KA;SOCS3;POLQ;CISH;DDX56;TAGAP;VGLL4;CCNT1;PIK3R3;MTOR
CGP-Align,816,1110,816,1110,6,0.7687406539916992,0.3501773178577423,50,20,0.25,1.8231879712232907e-32,31.739168553146122,2,2,DNA damage/repair:1; Epigenetic/chromatin:1,crystal-violet,ponatinib,other antibiotic,"Bcr-Abl kinase inhibitor, FLT3 inhibitor, PDGFR tyrosine kinase receptor inhibitor",,"ABL1, BCR, FGFR1, FGFR2, FGFR3, FGFR4, FLT3, KDR, KIT, LCK, LYN, PDGFRA, RET, SRC, TEK",LYN,,PRPF8;REV3L;CHN2;MDM2;CHD6;SOCS6;DDX56;MNAT1;FBXO5;POLQ;BRCA2;PPP1R3C;E2F5;SGK3;EHMT1;UBTF;MED13;SOCS2;E2F4;SRA1
CGP-Align,1076,794,794,1076,6,0.5465702414512634,0.3415526747703552,50,8,0.08695652173913043,1.0043928957970136e-09,8.998096367770213,1,1,DNA damage/repair:1,nocodazole,BMS-387032,tubulin polymerization inhibitor,"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor",HPGDS,"CDK2, CDK7, CDK9",,,MDM2;PLEK;WEE1;GRB7;CHN2;RPA1;SYT4;RDX
CGP-Align,35,116,35,116,6,0.9000906348228455,0.338108628988266,50,28,0.3888888888888889,9.320406357835471e-52,51.030565152547474,2,1,Nuclear receptor/xenobiotic:2,aurora-a-inhibitor-i,MK-1775,Aurora kinase inhibitor,WEE1 kinase inhibitor,AURKA,WEE1,WEE1,,CHN2;SYT11;MDM2;REV3L;MED14;TAGAP;POLQ;RUNX3;SYT4;SOCS6;SOCS2;SYT12;FBXO5;EHMT1;PRPF8;RUNX2;PI4KA;WRN;RUNX1;SOCS3
CGP-Align,249,1527,249,1527,6,0.8746082186698914,0.3339807689189911,50,28,0.3888888888888889,9.320406357835471e-52,51.030565152547474,4,4,Lipid/transport state:1; MAPK/RTK:1; Nuclear receptor/xenobiotic:1; PI3K/AKT/mTOR:1,AZD8931,TWS-119,EGFR inhibitor,glycogen synthase kinase inhibitor,"EGFR, ERBB2, ERBB3","GSK3B, JUN, MYC",,,RUNX3;CHN2;REV3L;RUNX2;RUNX1;WRN;POLQ;AFF3;AFF1;MED14;RD3;MDM2;SYT11;SOCS2;TAGAP;SLC2A11;SOCS3;ACVR1;E2F4;PIK3R3
CGP-Align,1739,396,396,1739,6,0.765326976776123,0.3313668966293335,50,25,0.3333333333333333,3.851724614109988e-44,43.414344771092615,2,2,Cell cycle/mitosis:1; Lipid/transport state:1,CCT137690,NMS-E973,Aurora kinase inhibitor,HSP inhibitor,"AURKA, AURKB, AURKC",,,,CHN2;RUNX3;RUNX2;SOCS2;PI4KA;CDC25A;SYT11;FBXO5;SOCS3;POLQ;SLC2A11;HS1BP3;SOCS6;CISH;AFF3;RUNX1;KMT2C;SYT12;MED14;SYT1
CGP-Align,379,387,379,387,6,0.848590612411499,0.331254780292511,50,27,0.3698630136986301,3.636436345798233e-49,48.43932401015787,4,3,Nuclear receptor/xenobiotic:2; DNA damage/repair:1; MAPK/RTK:1,defactinib,tozasertib,focal adhesion kinase inhibitor,"Aurora kinase inhibitor, Bcr-Abl kinase inhibitor, FLT3 inhibitor, JAK inhibitor",PTK2,"AURKA, AURKB, AURKC, LCK",,,WRN;CHN2;SYT11;ARHGEF16;MDM2;REV3L;POLQ;NET1;PI4KA;RUNX2;SYT4;RUNX3;RUNX1;SOCS2;MED14;ARHGEF26;DDX56;BRCA2;CISH;TRRAP
CGP-Align,865,1119,865,1119,6,0.7141174077987671,0.3260400891304016,50,19,0.2345679012345679,2.7950081602192847e-30,29.553616919822986,2,1,Nuclear receptor/xenobiotic:2,PCI-24781,CUDC-101,HDAC inhibitor,EGFR inhibitor,"HDAC1, HDAC2, HDAC3, HDAC6","EGFR, ERBB2",,,SOCS6;PRPF8;TRRAP;CHN2;REV3L;MDM2;MED14;FBXO5;SYT11;UBTF;ARHGEF26;SYT4;CSK;SOCS2;SRA1;AFF3;MED13;EHMT1;FARP2
CGP-Align,302,1214,302,1214,6,0.8710390329360962,0.322743147611618,50,26,0.35135135135135137,1.256351603930026e-46,45.90088880146085,1,1,Cell cycle/mitosis:1,PF-05212384,NVP-TAE684,"mTOR inhibitor, PI3K inhibitor",ALK tyrosine kinase receptor inhibitor,"MTOR, PIK3CA","ALK, INSR",,,SYT11;CHN2;SOCS6;SYT12;MED14;MDM2;REV3L;TAGAP;PRPF8;RUNX3;KMT2C;EHMT1;SYT4;TRIP10;NSD1;MNAT1;AFF1;AFF3;TAF1;RUNX2
CGP-Align,1245,1553,1245,1553,6,0.578700065612793,0.316521018743515,50,16,0.19047619047619047,5.037496347360787e-24,23.29778525575339,2,2,DNA damage/repair:1; Nuclear receptor/xenobiotic:1,oxibendazole,vorinostat,tubulin polymerization inhibitor,HDAC inhibitor,"TUBB, TUBB4B","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC5, HDAC6, HDAC8, HDAC9",,,MDM2;MED14;EPHA4;TNPO1;PAGR1;FBXO5;SYT4;TCOF1;TRRAP;USP36;RFC1;PRPF8;WEE1;WWP1;AFF3;BARD1
CGP-Align,1333,0,0,1333,6,0.7976110577583313,0.3079015910625458,50,29,0.4084507042253521,2.1100714677989926e-54,53.67570283496529,3,3,Cell cycle/mitosis:1; Lipid/transport state:1; PI3K/AKT/mTOR:1,erlotinib,TPCA-1,EGFR inhibitor,IKK inhibitor,"EGFR, NR1I2",IKBKB,,,MED14;RUNX3;PAGE1;RUNX1;RUNX2;SOCS3;DDX56;CHN2;REV3L;SOCS2;WRN;SYT11;MDM2;ACVR1;CDCA3;TRRAP;POLQ;PIK3R3;SYT12;AFF1
CGP-Align,1060,1553,1060,1553,6,0.6927063465118408,0.3064996898174286,50,17,0.20481927710843373,4.6506934651641873e-26,25.33248228460693,4,4,Cell cycle/mitosis:1; DNA damage/repair:1; Nuclear receptor/xenobiotic:1; Proteostasis:1,mebendazole,vorinostat,tubulin polymerization inhibitor,HDAC inhibitor,"TUBA1A, TUBB, TUBB4B","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC5, HDAC6, HDAC8, HDAC9",,,MDM2;PSMB6;FBXO5;ARHGEF26;PRPF8;TRRAP;TNPO1;MED14;WWP1;WEE1;RFC1;SYT4;PAGR1;REV3L;CDC42EP3;AFF3;SYT11
CGP-Align,1763,309,309,1763,6,0.8689908385276794,0.3035531938076019,50,31,0.4492753623188406,7.362056947957032e-60,59.133000827464215,4,4,Cell cycle/mitosis:1; Epigenetic/chromatin:1; MAPK/RTK:1; Nuclear receptor/xenobiotic:1,crenolanib,AZ3146,PDGFR tyrosine kinase receptor inhibitor,monopolar spindle 1 kinase inhibitor,"CSF1R, FLT3, KIT, PDGFRA, PDGFRB",,,,CHN2;SOCS2;REV3L;SYT11;FBXO5;AFF3;PRPF8;SOCS6;RUNX3;PI4KA;WRN;RUNX2;CDC25A;DDX56;EHMT1;CISH;MED14;POLQ;UBTF;FGFR2
CGP-Align,965,816,816,965,6,0.6869865655899048,0.3022449314594269,50,17,0.20481927710843373,4.6506934651641873e-26,25.33248228460693,1,1,DNA damage/repair:1,crystal-violet,cetylpyridinium,other antibiotic,,,,,,CHN2;NFKBIE;BRCA2;MAT1A;RACGAP1;MDM2;NF2;TRRAP;E2F5;FRMD6;EEF1A1;WRN;E2F4;PPP1R3C;SOCS2;CISH;EHMT1
CGP-Align,820,235,235,820,7,0.7706527709960938,0.7020388841629028,50,19,0.2345679012345679,2.7950081602192847e-30,29.553616919822986,4,3,Cell cycle/mitosis:2; Nuclear receptor/xenobiotic:1; PI3K/AKT/mTOR:1,selumetinib,trametinib,MEK inhibitor,MEK inhibitor,MAP2K1,"MAP2K1, MAP2K2",,,PIK3R3;CISH;DDX56;MED14;RUNX3;SOCS2;CHN2;AFF3;TRRAP;RUNX1;CCNT1;SOCS3;RUNX2;CDC25A;SYK;ARHGEF26;DYRK2;PI4KA;TAGAP
CGP-Align,613,1236,613,1236,7,0.6550535559654236,0.645258367061615,50,8,0.08695652173913043,1.0043928957970136e-09,8.998096367770213,2,1,Cell cycle/mitosis:2,AMG900,CCT129202,Aurora kinase inhibitor,Aurora kinase inhibitor,"AURKA, AURKB, AURKC","AURKA, AURKB, AURKC",,,TAGAP;E2F4;REV3L;AFF1;CDC25A;PRPF8;PLK1;WWTR1
CGP-Align,314,1236,314,1236,7,0.4867662191390991,0.5788093209266663,50,5,0.05263157894736842,1.8838077889980352e-05,4.724963411753355,2,2,Cell cycle/mitosis:1; Nuclear receptor/xenobiotic:1,SNS-314,CCT129202,Aurora kinase inhibitor,Aurora kinase inhibitor,"AURKA, AURKB, AURKC","AURKA, AURKB, AURKC",AURKA;AURKB,,STK26;ARHGEF16;PAK1;SYK;CDC42EP3
CGP-Align,470,806,470,806,7,0.63426274061203,0.5030462741851807,50,12,0.13636363636363635,2.0644478333310228e-16,15.685196086866643,3,2,Nuclear receptor/xenobiotic:2; Microtubule:1,fenbendazole,CD-437,tubulin polymerization inhibitor,retinoid receptor agonist,TUBB,RARG,,,MDM2;KIF11;CHN2;ARHGEF9;PRPF8;MED14;ARHGEF26;RACGAP1;DDX56;TRRAP;REV3L;ZNF593
CGP-Align,1001,546,546,1001,7,0.7550799250602722,0.5013982653617859,50,18,0.21951219512195122,3.819985189669634e-28,27.417938320872903,1,1,Nuclear receptor/xenobiotic:1,thiomersal,SU3327,other antibiotic,JNK inhibitor,OXCT1,MAPK8,,,AMD1;MDM2;TNPO1;NCKIPSD;PRPF8;CARD9;IL17RD;ZBTB22;UPF1;CELF6;CTNNB1;EIF2S1;PHF3;E2F7;SOCS2;PIAS3;PIAS1;RELB
