method_key,method_label,top10_1000_sd,full_r10_sd,metric,value,sd,metric_label,label,label_x
cgp_align_main,CGP-Align,0.016796284099018715,0.00973658101426953,top10_1000,0.2885961881729717,0.016796284099018715,"Sampled 1:1000
Top-10",28.9%,0.31339247227199046
cgp_align_main,CGP-Align,0.016796284099018715,0.00973658101426953,full_r10,0.08208095813899925,0.00973658101426953,"Full-gallery
Recall@10",8.2%,0.09481753915326878
matched_molformer_smiles,SMILES-LM profile (MoLFormer),0.0026345341594462635,0.0013882148271136313,top10_1000,0.2164593769793286,0.0026345341594462635,"Sampled 1:1000
Top-10",21.6%,0.22709391113877486
matched_molformer_smiles,SMILES-LM profile (MoLFormer),0.0026345341594462635,0.0013882148271136313,full_r10,0.05625611792479992,0.0013882148271136313,"Full-gallery
Recall@10",5.6%,0.060644332751913554
matched_chemberta_smiles,SMILES-LM profile (ChemBERTa),0.0025140564213567934,0.0007069746736804683,top10_1000,0.1988656647665112,0.0025140564213567934,"Sampled 1:1000
Top-10",19.9%,0.20937972118786802
matched_chemberta_smiles,SMILES-LM profile (ChemBERTa),0.0025140564213567934,0.0007069746736804683,full_r10,0.04862670582138539,0.0007069746736804683,"Full-gallery
Recall@10",4.9%,0.052333680495065864
matched_rdkit_morgan,Fingerprint-profile baseline,0.001784920811402538,7.479922299053625e-05,top10_1000,0.20800944319686765,0.001784920811402538,"Sampled 1:1000
Top-10",20.8%,0.2177943640082702
matched_rdkit_morgan,Fingerprint-profile baseline,0.001784920811402538,7.479922299053625e-05,full_r10,0.058170668509241664,7.479922299053625e-05,"Full-gallery
Recall@10",5.8%,0.0612454677322322
