row,source,split_mode,fold,epoch,mapped_edges,positive_pairs,train_pos,auroc,auprc,cosine_auroc,cosine_auprc,num_pos,num_neg
final_seed31,all,source_holdout_dgidb,val,220,41794,41794,10000,0.7657871777777778,0.39346385620930363,0.5472034555555556,0.1960552696001436,3000,15000
final_seed31,all,source_holdout_dgidb,test,220,41794,41794,10000,0.8061585111111111,0.49124395575055324,0.5571329555555555,0.19633129595370086,3000,15000
final_seed31,all,source_holdout_drugrep,val,220,41794,41794,10000,0.7718690888888888,0.4238248160682401,0.5561255333333334,0.19560658591080948,3000,15000
final_seed31,all,source_holdout_drugrep,test,220,41794,41794,10000,0.8533940666666666,0.5607800672833925,0.5410312888888889,0.18770702714858742,3000,15000
final_seed31,all,source_holdout_hetionet,val,220,41794,41794,10000,0.8075321111111112,0.45819982378337887,0.5601145333333334,0.20073146913862172,3000,15000
final_seed31,all,source_holdout_hetionet,test,220,41794,41794,10000,0.692779688888889,0.3391542471299678,0.5338668888888889,0.18507027248863556,3000,15000
final_seed31,all,source_holdout_openbiolink,val,220,41794,41794,10000,0.7835586222222222,0.446631314594312,0.5535830666666667,0.1974697829544358,3000,15000
final_seed31,all,source_holdout_openbiolink,test,220,41794,41794,10000,0.7532057777777776,0.3965282352358337,0.5660457444444444,0.20487657202927403,3000,15000
final_seed31,all,source_holdout_pharmebinet,val,220,41794,41794,10000,0.8372442444444443,0.5167867456499071,0.5633590666666667,0.20397040209716868,3000,15000
final_seed31,all,source_holdout_pharmebinet,test,220,41794,41794,10000,0.6729757333333333,0.29767300636565974,0.5403727333333334,0.1890198798088219,3000,15000
final_seed37,all,source_holdout_dgidb,val,90,41794,41794,10000,0.7638913333333334,0.40564169561311486,0.49204407777777776,0.1633429185447492,3000,15000
final_seed37,all,source_holdout_dgidb,test,90,41794,41794,10000,0.7910300444444444,0.4879475545350048,0.5222991,0.1747358781088879,3000,15000
final_seed37,all,source_holdout_drugrep,val,90,41794,41794,10000,0.7751154222222221,0.42083903406536677,0.5079113777777778,0.16988532675522208,3000,15000
final_seed37,all,source_holdout_drugrep,test,90,41794,41794,10000,0.8460134666666667,0.5365507395760877,0.5142311777777778,0.16996293538944737,3000,15000
final_seed37,all,source_holdout_hetionet,val,90,41794,41794,10000,0.8089509777777778,0.47485213347738675,0.5216303333333333,0.17613360222000735,3000,15000
final_seed37,all,source_holdout_hetionet,test,90,41794,41794,10000,0.6792399111111111,0.3138836466567283,0.4931684555555555,0.16335310089863808,3000,15000
final_seed37,all,source_holdout_openbiolink,val,90,41794,41794,10000,0.7804339777777778,0.43219900357817703,0.5115335555555556,0.17198339225321324,3000,15000
final_seed37,all,source_holdout_openbiolink,test,90,41794,41794,10000,0.7684078888888889,0.42609787373415875,0.504511,0.1670515608140473,3000,15000
final_seed37,all,source_holdout_pharmebinet,val,90,41794,41794,10000,0.8344903555555555,0.5116281572749843,0.5136768777777778,0.16959193155707053,3000,15000
final_seed37,all,source_holdout_pharmebinet,test,90,41794,41794,10000,0.6659128222222221,0.29742297190081896,0.49422844444444447,0.16607894617713878,3000,15000
final_seed41,all,source_holdout_dgidb,val,160,41794,41794,10000,0.7502394222222222,0.388375688685036,0.5195004777777777,0.18960991374468156,3000,15000
final_seed41,all,source_holdout_dgidb,test,160,41794,41794,10000,0.7933711999999999,0.45542176836015036,0.5766814888888889,0.2267459999841542,3000,15000
final_seed41,all,source_holdout_drugrep,val,160,41794,41794,10000,0.767108,0.4112497742406871,0.5405475111111111,0.20050811701893997,3000,15000
final_seed41,all,source_holdout_drugrep,test,160,41794,41794,10000,0.8335147333333334,0.5150416884389347,0.5571557111111112,0.2119495554749,3000,15000
final_seed41,all,source_holdout_hetionet,val,160,41794,41794,10000,0.7999593777777778,0.4441936116325561,0.5533177666666667,0.20244191328265906,3000,15000
final_seed41,all,source_holdout_hetionet,test,160,41794,41794,10000,0.6836342444444443,0.3233973495945517,0.5341994,0.1859731307808325,3000,15000
final_seed41,all,source_holdout_openbiolink,val,160,41794,41794,10000,0.7856661111111111,0.44753268907778887,0.5350552888888889,0.20299406831413624,3000,15000
final_seed41,all,source_holdout_openbiolink,test,160,41794,41794,10000,0.7417511111111111,0.39176445753825617,0.5405890333333333,0.1951234849410435,3000,15000
final_seed41,all,source_holdout_pharmebinet,val,160,41794,41794,10000,0.8332197777777778,0.5010426131642315,0.5596147333333333,0.21049551649528256,3000,15000
final_seed41,all,source_holdout_pharmebinet,test,160,41794,41794,10000,0.6679289777777778,0.29123762395864705,0.5092302666666667,0.17518841972264468,3000,15000
